overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
60.0,33.0,21.0,67.0,59.0,23.0,41.0,58.0,48.5,52.0,47.0,52.0,53.0,60.0,52.0,81.0,56.0,80.0,59.0,63.0,44.0,44.0,45.0,59.0,64.0,48.0,53.0,73.0,65.0,6.0,17.0,52.0,13.0,16.0,2007
71.0,68.0,21.0,60.0,70.0,23.0,54.0,58.0,39.0,65.0,65.0,72.0,70.0,60.0,72.0,81.0,56.0,80.0,80.0,84.0,34.0,76.0,70.0,71.0,64.0,68.0,72.0,73.0,65.0,6.0,20.0,65.0,20.0,20.0,2008
68.0,63.0,21.0,60.0,65.0,23.0,52.0,58.0,39.0,60.0,62.5,71.5,70.5,60.0,69.0,81.0,56.0,80.0,78.0,83.0,34.0,75.5,69.5,69.0,64.0,67.0,67.5,68.5,65.0,6.0,20.0,60.0,20.0,20.0,2009
66.0,58.0,21.0,60.0,60.0,23.0,50.0,58.0,39.0,55.0,60.0,65.0,70.0,60.0,66.0,81.0,56.0,80.0,76.0,82.0,34.0,75.0,67.0,37.0,64.0,46.0,66.0,67.0,65.0,8.0,13.0,7.0,11.0,11.0,2010
68.0,57.0,20.0,78.0,59.0,22.0,49.0,57.0,38.0,54.0,59.0,33.0,51.0,37.0,65.0,34.0,55.0,54.0,75.0,83.0,33.0,71.0,66.0,36.0,33.0,45.0,65.0,66.0,64.0,8.0,13.0,7.0,11.0,11.0,2011
68.5,42.5,19.5,83.5,55.5,21.5,20.5,43.5,37.5,50.5,52.5,39.5,48.5,42.0,60.5,39.0,54.5,75.5,57.5,83.0,32.5,70.5,65.5,41.0,32.5,44.5,63.5,67.5,64.5,8.0,13.0,7.0,11.0,11.0,2012
67.11,42.0,21.0,82.67,51.0,21.0,20.0,43.0,37.0,49.56,49.33,34.0,45.22,44.33,57.22,31.56,53.67,74.0,53.0,85.33,32.0,69.67,65.0,46.11,30.89,44.0,60.56,65.89,63.78,8.0,13.0,7.0,11.0,11.0,2013
64.25,42.0,25.0,79.0,48.0,21.0,21.25,43.0,37.0,49.0,43.0,29.5,40.5,43.0,53.0,31.0,51.0,71.0,51.0,82.0,32.0,67.0,65.0,46.0,30.0,44.0,59.0,63.0,61.5,8.0,13.0,7.0,11.0,11.0,2014
62.75,42.38,22.75,78.88,48.38,21.38,23.12,43.38,37.38,49.38,37.38,29.0,38.5,43.0,49.38,30.25,46.88,73.25,42.62,79.12,32.38,56.38,62.38,42.38,30.38,44.38,60.12,64.12,62.12,8.38,13.38,7.38,11.38,11.38,2015
64.0,43.0,19.0,80.0,49.0,22.0,20.0,44.0,38.0,50.0,38.0,29.0,31.0,43.0,50.0,30.0,46.0,74.0,32.0,81.0,33.0,57.0,63.0,43.0,31.0,45.0,62.0,66.0,64.0,9.0,14.0,8.0,12.0,12.0,2016
