overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
85.0,64.0,91.0,87.0,68.0,84.0,85.0,73.0,69.0,37.0,82.0,83.0,82.0,76.0,68.0,76.0,82.0,86.0,80.0,65.0,83.0,62.0,78.0,78.0,78.0,71.0,20.5,31.0,22.0,14.0,16.5,37.0,18.0,17.5,2007
80.0,45.0,83.0,91.0,75.0,84.0,70.0,73.0,67.0,37.0,80.0,74.0,75.0,76.0,88.0,76.0,78.0,86.0,79.0,82.0,75.0,38.0,76.0,88.0,78.0,81.0,22.0,32.0,22.0,14.0,22.0,37.0,22.0,22.0,2008
83.5,45.0,93.0,91.5,75.0,84.0,75.0,73.0,67.0,37.0,82.0,77.0,76.5,76.0,88.0,76.0,80.0,86.0,84.5,82.5,78.0,41.5,78.0,95.0,78.0,93.0,22.0,32.0,22.0,14.0,22.0,37.0,22.0,22.0,2009
82.5,45.0,90.5,90.5,72.5,84.0,74.5,73.0,67.0,37.0,80.0,78.5,77.5,76.0,86.0,76.0,81.5,86.0,80.0,80.5,74.5,45.0,50.5,89.5,78.0,88.5,20.0,32.0,22.0,11.0,17.0,21.5,14.5,16.0,2010
80.0,48.0,86.5,86.5,70.0,82.0,70.0,73.0,60.0,38.5,78.0,76.0,77.0,75.0,81.0,67.5,76.5,85.5,73.0,75.5,67.0,40.0,20.0,86.5,77.0,81.0,23.0,37.0,27.0,8.0,12.0,6.0,7.0,10.0,2011
79.0,51.0,84.0,85.5,71.0,80.0,72.0,73.0,56.5,40.0,78.0,72.0,71.0,72.5,80.0,59.0,72.0,88.0,66.5,75.0,54.0,40.0,20.0,86.0,76.0,75.5,28.0,42.0,32.0,8.0,12.0,6.0,7.0,10.0,2012
77.43,51.0,84.0,78.0,72.0,80.29,71.57,73.0,55.0,39.43,75.29,64.43,65.43,69.0,80.14,59.0,70.0,85.57,65.0,74.0,56.29,40.57,22.86,85.0,71.14,71.0,23.71,37.57,28.0,8.0,12.0,6.0,7.0,10.0,2013
75.0,51.0,79.6,78.0,72.0,78.8,72.0,73.0,55.0,39.0,74.8,61.0,62.0,69.0,81.0,59.0,70.8,77.0,65.0,77.2,61.0,41.0,25.0,76.0,67.0,71.0,19.0,34.0,25.0,8.0,12.0,6.0,7.0,10.0,2014
73.75,51.0,77.5,80.25,71.25,76.25,69.75,73.0,53.5,40.5,75.0,61.75,62.0,69.0,73.75,59.75,71.0,79.25,61.25,75.0,58.0,47.0,22.0,81.25,65.5,74.0,19.0,30.88,25.0,8.0,12.0,6.0,7.0,10.0,2015
74.0,51.0,79.0,81.0,71.0,77.0,68.0,69.67,53.0,41.0,75.0,62.0,62.0,69.0,71.0,60.0,71.0,80.0,60.0,74.0,57.0,49.0,21.0,83.0,62.0,73.67,19.0,29.0,25.0,8.0,12.0,6.0,7.0,10.0,2016
