overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
55.0,45.0,56.0,55.0,54.0,53.0,59.0,52.0,43.0,53.0,50.0,66.0,50.0,52.0,53.0,75.0,46.0,70.0,64.0,69.0,47.0,61.0,28.0,29.0,36.0,37.0,32.0,33.0,29.0,5.0,22.0,53.0,22.0,22.0,2007
55.0,45.0,56.0,55.0,54.0,53.0,59.0,52.0,43.0,53.0,50.0,66.0,50.0,52.0,53.0,75.0,46.0,70.0,64.0,69.0,47.0,61.0,28.0,29.0,36.0,37.0,32.0,33.0,29.0,5.0,22.0,53.0,22.0,22.0,2008
55.0,45.0,56.0,55.0,54.0,53.0,59.0,52.0,43.0,53.0,50.0,66.0,50.0,52.0,53.0,75.0,46.0,70.0,64.0,69.0,47.0,61.0,28.0,29.0,36.0,37.0,32.0,33.0,29.0,5.0,22.0,53.0,22.0,22.0,2009
57.0,44.5,56.0,58.0,53.5,53.0,58.5,52.0,42.5,52.5,51.5,66.0,53.0,52.0,56.5,75.0,55.0,70.0,63.5,72.5,46.5,60.5,29.0,42.5,36.0,42.5,31.5,32.5,29.0,6.0,19.0,33.5,15.0,14.0,2010
63.0,45.0,62.0,63.5,54.0,53.0,58.5,52.0,43.0,53.0,60.5,71.0,62.5,52.0,61.0,61.5,64.5,62.0,69.5,78.0,63.0,61.0,31.0,64.0,36.0,49.0,32.0,33.0,29.0,7.0,16.0,15.0,8.0,6.0,2011
64.0,45.0,65.0,66.0,54.0,53.0,58.0,52.0,43.0,53.0,60.0,72.0,68.5,52.5,61.0,48.0,64.0,54.5,75.5,80.0,63.0,61.0,31.0,71.0,36.0,49.0,32.0,33.0,29.0,7.0,16.0,15.0,8.0,6.0,2012
67.6,45.0,71.0,64.0,54.0,53.0,71.2,52.0,43.0,53.0,76.8,73.6,68.0,50.8,61.0,48.0,64.6,54.0,75.0,80.0,63.0,61.0,31.0,71.0,36.0,49.0,32.0,33.0,29.0,7.0,16.0,15.0,8.0,6.0,2013
69.0,45.0,71.0,64.0,54.0,53.0,72.0,52.0,43.0,53.0,78.0,72.0,68.0,46.0,61.0,48.0,66.0,55.33,75.0,80.0,63.0,61.0,31.0,71.0,36.0,49.0,32.0,33.0,29.0,7.0,16.0,15.0,8.0,6.0,2014
69.0,45.0,71.0,64.0,54.0,53.0,72.0,52.0,43.0,53.0,78.0,72.0,68.0,46.0,61.0,48.0,66.0,58.0,75.0,80.0,63.0,61.0,31.0,71.0,36.0,49.0,32.0,33.0,29.0,7.0,16.0,15.0,8.0,6.0,2015
70.5,45.0,73.5,68.5,61.0,53.0,72.0,52.0,43.0,55.0,78.0,72.0,68.0,50.0,62.5,49.5,66.5,58.0,75.0,80.0,63.0,63.0,31.0,72.5,50.0,52.0,32.0,33.0,29.0,7.0,16.0,15.0,8.0,6.0,2016
