overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
60.0,58.0,52.0,65.0,58.0,57.0,75.0,67.0,53.0,61.0,51.0,65.0,64.0,72.0,61.0,67.0,77.0,82.0,58.0,68.0,66.0,76.0,33.0,39.0,47.0,29.0,17.0,19.0,21.0,6.0,15.0,9.0,11.0,10.0,2007
60.0,58.0,52.0,65.0,58.0,57.0,75.0,67.0,53.0,61.0,51.0,65.0,64.0,72.0,61.0,67.0,77.0,82.0,58.0,68.0,66.0,76.0,33.0,39.0,47.0,29.0,17.0,19.0,21.0,6.0,15.0,9.0,11.0,10.0,2008
70.0,58.0,72.0,65.0,70.0,57.0,75.0,67.0,43.0,61.0,67.0,78.0,68.0,72.0,70.0,67.0,77.0,82.0,51.0,68.0,66.0,76.0,24.0,67.0,47.0,59.0,17.0,19.0,21.0,6.0,15.0,9.0,11.0,10.0,2009
70.0,58.0,72.0,65.0,70.0,57.0,75.0,67.0,43.0,61.0,67.0,78.0,85.0,72.0,70.0,67.0,77.0,82.0,64.0,68.0,66.0,76.0,24.0,67.0,47.0,59.0,17.0,19.0,21.0,6.0,15.0,9.0,11.0,10.0,2010
70.0,58.0,72.0,65.0,70.0,57.0,75.0,67.0,43.0,61.0,67.0,78.0,85.0,72.0,70.0,67.0,77.0,82.0,64.0,68.0,66.0,76.0,24.0,67.0,47.0,59.0,17.0,19.0,21.0,6.0,15.0,9.0,11.0,10.0,2011
74.0,62.0,73.0,67.0,71.0,64.5,76.0,67.0,43.0,61.0,73.0,84.5,87.0,72.0,72.5,67.0,81.0,82.0,64.0,75.0,68.5,76.0,24.0,69.5,47.0,59.0,17.0,19.0,21.0,6.0,15.0,9.0,11.0,10.0,2012
70.83,66.67,67.83,66.83,71.83,65.0,76.0,67.0,53.0,61.0,73.0,92.0,90.0,72.0,73.0,67.0,84.0,82.0,64.83,76.83,68.83,76.0,24.0,72.17,48.5,59.0,21.0,22.0,23.5,6.0,15.0,9.0,11.0,10.0,2013
71.0,66.0,67.0,66.0,72.0,65.0,76.0,67.0,53.0,61.0,73.0,90.75,90.5,69.5,73.0,66.0,84.0,82.0,65.0,77.0,68.0,76.0,25.5,71.0,49.5,59.0,25.0,25.0,26.0,6.0,15.0,9.0,11.0,10.0,2014
72.67,69.0,68.0,67.0,71.0,68.0,73.0,68.0,54.0,62.0,74.0,90.0,91.0,67.0,74.0,64.0,86.0,81.0,68.0,77.0,69.0,75.33,28.0,70.0,59.0,60.0,18.0,31.33,27.0,7.0,16.0,10.0,12.0,11.0,2015
73.0,70.0,70.0,67.0,71.0,68.0,74.0,68.0,54.0,62.0,75.0,90.0,91.0,67.0,74.0,64.0,86.0,81.0,68.0,77.0,69.0,76.0,28.0,70.0,59.0,60.0,18.0,37.0,27.0,7.0,16.0,10.0,12.0,11.0,2016
