overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
69.0,22.0,30.0,72.0,42.0,31.0,25.0,32.0,48.0,19.5,54.0,70.0,75.0,65.0,65.0,68.0,43.0,72.0,75.0,74.0,24.0,78.0,70.0,72.0,43.0,65.0,65.0,70.0,65.0,4.0,12.0,19.5,12.0,11.5,2007
68.5,22.0,30.0,72.0,42.0,31.0,25.0,32.0,31.0,21.0,54.0,68.0,72.0,65.0,65.0,68.0,43.0,72.0,75.0,74.0,24.0,78.0,70.0,72.0,43.0,65.0,65.0,68.0,65.0,4.0,21.0,21.0,21.0,21.0,2008
68.0,31.0,36.0,70.0,56.0,31.0,42.0,32.0,31.0,53.0,55.0,68.0,67.0,65.0,66.0,68.0,33.0,72.0,65.0,70.0,32.0,72.0,63.0,69.0,43.0,67.0,71.0,70.0,65.0,4.0,21.0,53.0,21.0,21.0,2009
67.5,29.5,35.0,68.5,56.0,31.0,42.5,32.0,28.0,53.0,54.5,69.0,68.0,65.0,62.0,68.0,32.5,72.0,65.0,71.0,29.5,68.5,64.5,51.0,43.0,45.0,70.5,70.5,65.0,6.0,16.0,32.0,17.0,13.5,2010
67.0,28.0,34.0,67.0,56.0,31.0,43.0,32.0,25.0,53.0,54.0,64.0,53.0,65.0,58.0,53.0,32.0,72.0,65.0,73.0,27.0,65.0,66.0,33.0,43.0,23.0,70.0,71.0,65.0,8.0,11.0,11.0,13.0,6.0,2011
66.0,25.0,21.0,68.5,54.5,22.0,33.0,21.0,27.5,46.0,48.0,66.0,59.5,61.5,52.5,54.0,31.0,68.5,68.5,82.0,24.0,72.0,64.0,30.0,39.0,20.0,66.5,69.5,60.0,8.0,11.0,11.0,13.0,6.0,2012
64.67,22.0,21.0,68.0,53.0,22.0,33.0,21.0,30.0,48.0,45.0,68.0,66.0,58.0,55.67,55.0,30.0,58.0,77.33,84.5,26.0,78.0,60.33,29.0,29.0,20.0,62.0,66.5,60.83,8.0,11.0,11.0,13.0,6.0,2013
65.0,22.0,21.0,68.0,51.0,22.0,33.0,21.0,30.0,48.0,44.0,68.0,66.0,58.0,59.0,55.0,30.0,66.0,80.0,86.0,26.0,80.0,64.0,29.0,29.0,20.0,62.0,65.0,61.0,8.0,11.0,11.0,13.0,6.0,2014
67.5,23.0,22.0,69.0,52.0,23.0,34.0,22.0,31.0,49.0,45.0,67.0,65.0,58.0,60.0,55.0,31.0,68.0,80.0,85.0,27.0,81.0,65.0,30.0,30.0,21.0,65.0,68.0,64.0,9.0,12.0,12.0,14.0,7.0,2015
67.0,23.0,22.0,69.0,52.0,23.0,34.0,22.0,31.0,49.0,45.0,66.0,64.0,58.0,60.0,55.0,31.0,68.0,80.0,85.0,27.0,81.0,65.0,30.0,30.0,21.0,65.0,68.0,63.0,9.0,12.0,12.0,14.0,7.0,2016
