overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
54.0,52.0,28.0,49.0,50.0,42.0,38.0,48.0,33.0,43.0,42.0,64.0,65.0,68.0,64.0,63.0,51.0,69.0,63.0,54.0,37.0,65.0,30.0,30.0,59.0,31.0,54.0,51.0,67.0,9.0,21.0,43.0,21.0,21.0,2007
54.0,52.0,28.0,49.0,50.0,42.0,38.0,48.0,33.0,43.0,42.0,64.0,65.0,68.0,64.0,63.0,51.0,69.0,63.0,54.0,37.0,65.0,30.0,30.0,59.0,31.0,54.0,51.0,67.0,9.0,21.0,43.0,21.0,21.0,2008
63.0,52.0,46.0,57.0,55.0,42.0,38.0,48.0,33.0,59.0,56.0,72.0,69.0,68.0,64.0,63.0,51.0,69.0,63.0,66.0,47.0,65.0,59.0,62.0,59.0,48.0,63.0,62.0,67.0,9.0,21.0,59.0,21.0,21.0,2009
66.0,58.0,49.0,60.0,66.0,42.0,63.0,48.0,36.0,59.0,68.0,72.0,69.0,68.0,65.0,63.0,57.0,69.0,65.0,68.0,58.0,66.0,66.0,58.0,59.0,41.0,68.0,65.0,67.0,15.0,9.0,5.0,8.0,13.0,2010
68.5,63.0,49.0,63.0,67.5,44.0,64.5,55.5,36.0,62.5,68.0,75.5,75.5,75.5,68.0,68.5,59.5,75.0,71.5,67.0,58.0,64.5,66.0,52.5,59.5,43.5,70.0,69.0,69.0,15.0,9.0,5.0,8.0,13.0,2011
71.5,68.0,49.0,66.5,69.0,46.0,66.0,63.0,36.0,66.0,68.0,79.0,82.0,83.0,72.0,74.0,62.0,82.0,78.0,67.0,58.0,64.5,67.0,57.0,60.0,46.0,72.5,73.5,71.5,15.0,9.0,5.0,8.0,13.0,2012
72.29,68.29,49.0,67.29,69.0,46.0,66.0,63.0,36.0,67.0,68.0,79.0,82.0,83.0,73.29,75.0,62.0,83.0,81.0,68.0,58.0,69.0,71.29,57.0,57.43,46.0,73.0,74.0,72.0,15.0,9.0,5.0,8.0,13.0,2013
72.33,69.0,42.33,68.0,69.0,46.0,66.0,63.0,36.0,67.0,68.0,79.0,82.0,83.0,73.33,75.0,62.0,83.67,81.33,68.0,56.67,69.0,71.33,57.0,58.0,46.0,72.33,73.33,71.33,15.0,9.0,5.0,8.0,13.0,2014
72.86,68.0,39.43,68.43,69.43,46.43,66.43,63.43,36.43,67.43,68.43,79.0,80.29,83.0,73.43,75.0,62.43,86.29,82.0,68.0,56.43,71.71,71.43,57.43,58.43,46.43,72.57,73.14,72.14,15.43,9.43,5.43,8.43,13.43,2015
72.5,68.0,40.0,69.0,71.5,47.0,64.0,64.0,37.0,68.5,69.0,79.0,78.0,83.0,74.0,75.0,63.0,87.0,82.0,68.0,57.0,72.0,72.0,58.0,59.0,47.0,73.5,72.5,74.0,16.0,10.0,6.0,9.0,14.0,2016
