overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
59.0,56.0,56.0,41.0,52.0,68.0,48.0,61.0,37.0,47.0,58.0,71.0,74.0,68.0,64.0,79.0,62.0,77.0,56.0,65.0,53.0,48.0,28.0,27.0,66.0,28.0,26.0,23.0,18.0,3.0,21.0,47.0,21.0,21.0,2007
72.0,66.0,71.0,69.0,61.0,68.0,72.0,61.0,52.0,47.0,73.0,76.0,76.0,68.0,70.0,79.0,73.0,77.0,68.0,74.0,76.0,56.0,62.0,68.0,66.0,63.0,26.0,23.0,18.0,3.0,21.0,47.0,21.0,21.0,2008
68.0,58.0,71.0,66.5,58.5,68.0,62.0,61.0,51.0,47.0,70.0,69.5,72.0,68.0,70.0,79.0,73.0,77.0,65.0,75.0,71.0,49.0,60.0,58.5,66.0,60.0,26.0,23.0,18.0,3.0,21.0,47.0,21.0,21.0,2009
72.0,62.0,76.5,73.5,59.5,68.0,62.5,61.0,52.5,49.0,71.0,69.5,72.0,68.0,73.5,79.0,75.0,77.0,65.0,77.0,74.5,46.0,43.5,67.0,66.0,71.0,27.0,24.0,18.0,6.0,15.5,28.5,13.0,14.0,2010
73.0,68.0,75.0,77.0,66.0,69.0,68.0,61.0,55.0,51.0,71.0,73.0,72.0,70.0,77.0,55.0,77.0,77.0,49.0,78.0,77.0,50.0,27.0,67.0,66.0,78.0,28.0,25.0,18.0,9.0,10.0,10.0,5.0,7.0,2011
72.5,68.0,74.5,77.0,66.0,69.0,68.0,61.0,55.0,51.0,72.5,69.5,73.0,71.0,74.5,55.0,76.0,76.0,49.0,78.0,72.0,50.0,27.0,65.5,64.0,78.0,28.0,25.0,18.0,9.0,10.0,10.0,5.0,7.0,2012
74.43,68.0,76.71,78.14,68.71,70.0,68.43,61.0,55.0,53.14,74.0,67.14,75.86,72.0,74.71,55.0,75.43,76.14,58.0,79.29,67.43,51.0,28.0,73.71,63.0,78.0,28.0,25.0,22.0,9.0,10.0,10.0,5.0,7.0,2013
77.0,68.0,81.0,79.67,70.0,71.0,70.0,61.0,55.0,54.0,74.0,69.67,78.0,72.0,77.0,55.0,77.0,80.0,60.0,82.0,68.0,58.0,28.0,81.0,63.0,78.0,28.0,25.0,25.0,9.0,10.0,10.0,5.0,7.0,2014
78.0,64.5,80.0,84.25,70.62,75.0,72.25,66.0,56.0,55.0,75.0,73.0,78.25,66.38,78.0,56.0,78.0,80.0,67.75,85.12,69.0,77.0,26.0,82.88,62.0,78.75,27.0,29.88,20.5,10.0,11.0,11.0,6.0,8.0,2015
78.0,62.0,79.0,85.0,70.0,75.0,71.0,66.0,56.0,55.0,75.0,73.0,79.0,68.0,78.0,56.0,78.0,80.0,68.0,87.0,69.0,77.0,26.0,83.0,62.0,77.0,25.0,31.0,19.0,10.0,11.0,11.0,6.0,8.0,2016
