overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
72.5,68.0,54.0,70.5,72.0,53.0,81.0,60.0,67.0,65.5,76.0,84.0,86.0,66.0,73.0,77.0,75.0,77.0,83.0,80.5,60.0,79.5,63.0,38.0,68.0,80.0,57.0,67.0,76.0,13.0,16.0,65.5,14.5,13.5,2007
72.5,70.0,49.5,67.5,75.5,53.0,75.5,60.0,49.5,68.5,76.0,81.5,81.0,66.0,74.5,77.0,70.0,77.0,79.5,81.0,50.0,81.0,66.0,52.5,68.0,74.5,63.5,71.0,76.0,13.0,20.0,68.5,20.0,20.0,2008
72.5,70.5,50.5,64.5,71.5,53.0,73.5,60.0,44.0,67.5,73.5,77.0,78.5,66.0,70.5,77.0,66.5,77.0,80.5,82.5,53.0,79.0,60.0,64.5,68.0,75.5,70.5,72.5,76.0,13.0,20.0,67.5,20.0,20.0,2009
71.0,70.0,51.0,66.0,70.0,53.0,74.0,60.0,44.0,65.0,72.0,77.0,79.0,66.0,65.0,77.0,68.0,77.0,80.0,78.0,61.0,83.0,60.0,65.0,68.0,56.0,65.0,75.0,76.0,9.0,11.0,14.0,12.0,5.0,2010
70.0,73.0,52.0,62.0,68.5,54.5,74.0,59.0,46.0,66.5,73.0,79.0,81.5,72.0,64.0,70.0,68.0,77.5,76.5,79.0,62.0,77.0,61.0,61.0,61.0,56.5,61.0,73.5,75.0,9.0,11.0,14.0,12.0,5.0,2011
69.0,69.0,53.0,68.0,66.0,56.0,76.0,58.0,48.0,68.0,74.0,78.0,81.0,76.0,64.0,63.0,68.0,74.0,72.0,83.0,63.0,82.0,60.0,62.0,54.0,57.0,56.0,73.0,74.0,9.0,11.0,14.0,12.0,5.0,2012
69.0,69.0,53.0,68.0,67.33,56.0,76.0,58.0,48.0,68.0,73.22,77.56,81.0,74.67,64.89,63.0,68.0,74.78,71.33,81.11,63.0,80.44,59.56,62.44,59.56,57.22,56.22,73.0,74.0,9.0,11.0,14.0,12.0,5.0,2013
70.83,69.67,53.0,69.33,71.0,56.0,76.0,58.0,48.0,68.0,73.33,75.33,80.0,73.67,69.5,63.0,68.0,75.67,78.83,81.67,63.0,76.0,59.67,66.67,68.33,59.33,62.67,73.0,74.0,9.0,11.0,14.0,12.0,5.0,2014
72.4,71.6,56.6,68.4,73.6,56.6,77.2,58.6,48.6,68.6,75.2,71.4,76.6,70.0,69.2,63.0,68.6,75.0,77.6,80.6,63.6,76.2,63.6,71.6,70.4,66.6,67.2,74.4,76.0,9.6,11.6,14.6,12.6,5.6,2015
70.0,72.0,57.0,68.0,74.0,57.0,76.0,59.0,49.0,69.0,74.0,67.0,72.0,68.0,70.0,63.0,69.0,68.0,64.0,80.0,64.0,75.0,64.0,73.0,70.5,67.0,64.0,74.0,76.0,10.0,12.0,15.0,13.0,6.0,2016
