overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
59.0,60.0,57.0,58.0,54.0,76.0,62.0,77.0,59.0,51.0,56.0,53.0,67.0,72.0,53.0,68.0,60.0,68.0,50.0,46.0,67.0,41.0,54.0,61.0,76.0,59.0,38.0,32.0,58.0,10.0,23.0,51.0,23.0,23.0,2007
63.0,63.0,57.0,58.0,67.0,76.0,62.0,77.0,59.0,65.0,56.0,67.0,69.0,72.0,68.0,68.0,60.0,68.0,57.0,59.0,67.0,41.0,54.0,61.0,76.0,59.0,38.0,32.0,58.0,10.0,23.0,65.0,23.0,23.0,2008
72.0,73.0,60.0,58.0,76.0,76.0,75.0,77.0,66.0,70.0,75.0,76.0,75.0,72.0,72.0,68.0,75.0,68.0,75.0,69.0,76.0,63.0,60.0,65.0,76.0,69.0,48.0,55.0,58.0,9.0,23.0,70.0,23.0,23.0,2009
75.5,70.0,62.0,67.0,79.0,76.0,75.0,77.0,76.0,76.0,79.0,77.0,75.5,72.0,76.0,68.0,84.0,68.0,76.0,71.0,80.0,65.5,66.5,72.0,76.0,73.5,48.0,65.0,58.0,10.0,14.0,46.5,14.0,19.0,2010
75.0,74.0,60.0,64.0,78.0,73.0,77.5,80.0,80.0,76.0,82.0,68.5,70.5,72.5,74.0,71.0,84.0,65.0,76.5,69.0,78.0,62.0,57.5,60.0,78.0,73.0,50.0,66.0,64.5,11.0,5.0,15.0,5.0,15.0,2011
76.0,71.0,59.0,62.0,79.0,75.0,81.5,79.0,80.0,76.0,84.5,66.0,69.0,74.0,74.0,70.0,84.0,62.0,76.0,68.0,77.0,65.0,59.5,64.0,78.0,72.5,52.0,67.5,67.5,11.0,5.0,15.0,5.0,15.0,2012
81.31,81.38,60.92,57.54,84.0,78.62,83.69,80.0,80.0,75.54,84.62,80.38,80.31,76.46,79.08,76.0,90.0,60.46,77.31,71.92,84.0,69.54,71.69,78.0,80.15,78.77,55.08,69.69,69.69,11.0,5.0,15.0,5.0,15.0,2013
83.0,87.75,70.25,55.38,83.0,79.38,85.38,79.38,79.38,75.38,85.38,86.0,84.0,78.0,79.38,76.0,89.75,57.0,89.5,70.0,84.0,66.38,58.12,77.38,83.38,86.88,47.62,53.12,53.12,10.38,4.38,14.38,4.38,14.38,2014
83.0,90.0,74.25,55.0,81.25,79.0,85.75,82.0,79.0,75.0,86.5,86.75,84.75,78.75,81.25,76.0,89.75,57.0,93.0,69.25,86.75,66.0,49.0,77.0,82.25,88.0,41.0,44.0,44.0,10.0,4.0,14.0,4.0,14.0,2015
81.88,87.0,74.38,55.0,81.0,77.0,84.5,80.75,75.75,74.0,86.0,82.75,83.25,77.0,80.75,76.0,89.25,48.5,87.38,72.25,87.0,66.0,50.62,77.0,81.0,87.75,41.5,45.0,44.0,10.0,4.0,14.0,4.0,14.0,2016
