overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
82.0,47.0,80.0,60.0,77.0,89.0,70.0,85.0,69.5,55.0,78.0,74.0,86.0,85.0,71.0,73.0,87.0,65.0,83.0,64.0,90.0,89.0,69.0,79.0,89.0,50.0,33.0,40.0,36.0,12.0,18.0,55.0,16.5,18.5,2007
85.0,76.0,88.0,64.0,86.0,89.0,90.0,85.0,78.0,75.0,92.0,91.0,89.0,85.0,86.0,73.0,86.0,65.0,81.0,70.0,84.0,70.0,90.0,88.0,89.0,87.0,38.0,42.0,36.0,10.0,23.0,75.0,23.0,23.0,2008
85.5,82.5,88.0,64.5,86.0,89.0,87.0,85.0,78.5,79.0,93.5,90.5,87.5,85.0,87.5,73.0,85.0,65.0,80.5,68.0,86.0,70.0,90.0,87.5,89.0,88.5,38.0,42.0,36.0,10.0,23.0,79.0,23.0,23.0,2009
84.5,82.5,87.5,67.0,85.5,89.0,86.0,85.0,79.0,79.5,91.0,89.5,84.5,85.0,85.5,73.0,84.0,65.0,78.0,66.0,86.0,60.0,63.0,87.5,89.0,84.5,34.0,42.0,36.0,12.0,16.0,47.5,14.0,17.0,2010
85.0,83.0,89.5,69.0,84.5,86.0,86.0,85.0,84.5,79.0,90.0,89.5,83.0,88.5,85.5,81.5,82.0,56.0,70.5,59.5,85.0,60.0,33.0,88.0,85.0,81.0,26.0,38.0,32.0,14.0,9.0,15.0,5.0,11.0,2011
85.5,83.0,90.0,66.0,83.0,86.0,86.0,85.5,84.5,79.5,90.5,91.0,83.5,90.0,86.5,88.0,83.5,55.0,66.0,59.0,85.5,60.0,33.0,88.0,82.5,85.0,24.0,36.0,31.0,14.0,9.0,15.0,5.0,11.0,2012
84.3,80.0,88.6,61.5,81.2,87.5,85.5,86.0,87.0,77.0,91.5,88.8,83.8,89.6,85.3,86.2,83.0,60.0,69.6,62.5,84.0,55.0,29.0,88.0,81.6,86.4,21.5,33.0,25.0,14.0,9.0,15.0,5.0,11.0,2013
80.06,80.88,85.59,54.88,81.94,83.59,80.82,86.53,86.0,77.94,89.76,85.94,76.82,81.59,79.59,84.0,78.12,60.0,56.76,60.82,81.41,49.47,25.0,85.88,80.06,85.59,24.53,28.41,20.29,13.71,8.71,14.71,4.71,10.71,2014
78.67,80.67,84.67,56.67,80.67,80.67,81.67,86.67,84.67,78.67,89.67,84.0,74.0,80.0,76.67,84.0,76.67,60.0,55.0,60.0,80.67,48.67,19.67,86.67,80.67,83.67,21.0,28.67,20.67,13.67,8.67,14.67,4.67,10.67,2015
77.25,80.25,85.75,51.75,80.25,83.25,82.0,83.75,84.25,78.25,90.0,84.0,74.0,80.0,71.5,84.0,76.0,60.0,51.25,55.0,80.0,48.25,17.75,86.0,81.75,83.0,18.25,28.25,21.75,14.0,9.0,15.0,5.0,11.0,2016
