overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
57.0,27.0,21.0,60.0,37.0,48.0,21.0,44.0,33.0,46.0,29.0,67.0,56.0,73.0,66.0,63.0,48.0,69.0,71.0,75.0,21.0,76.0,74.0,66.0,59.0,49.0,68.0,65.0,74.0,3.0,21.0,46.0,21.0,21.0,2007
65.0,47.0,26.5,64.0,56.0,48.0,44.0,44.0,34.5,51.5,50.5,71.0,66.0,73.0,71.5,63.0,55.0,69.0,72.5,71.0,25.5,76.0,74.0,69.5,59.0,54.5,71.0,69.0,74.0,3.0,21.0,51.5,21.0,21.0,2008
71.5,66.5,32.0,60.0,70.0,48.0,64.5,44.0,36.0,57.0,67.5,73.0,76.0,73.0,75.0,63.0,58.0,69.0,72.0,67.0,30.0,75.0,74.0,72.5,59.0,60.0,73.0,75.0,74.0,3.0,21.0,57.0,21.0,21.0,2009
69.0,66.0,32.0,58.5,70.5,48.0,63.5,44.0,36.0,57.0,67.0,74.5,76.0,73.0,72.0,63.0,58.5,69.0,73.0,66.0,30.0,73.5,66.5,52.0,59.0,50.0,67.0,69.0,74.0,4.0,13.0,35.0,14.0,13.5,2010
68.0,64.0,32.0,57.0,69.0,48.0,61.5,44.0,36.0,54.5,67.0,75.0,76.5,71.5,70.5,64.5,59.0,71.5,79.0,68.5,30.0,72.5,61.0,32.5,55.0,40.0,66.0,67.5,71.5,5.0,5.0,14.0,7.0,6.0,2011
69.5,65.0,32.0,56.5,65.5,48.0,59.0,51.5,36.0,58.0,67.0,71.5,76.0,61.5,72.0,72.0,59.0,81.0,80.5,67.0,43.5,72.5,66.5,46.0,55.5,40.0,67.0,72.5,70.0,5.0,5.0,14.0,7.0,6.0,2012
74.62,76.75,32.5,57.25,64.25,48.0,62.75,59.0,36.0,66.25,70.0,75.25,79.88,67.0,78.0,72.25,59.0,81.0,91.5,68.0,57.25,79.5,74.25,61.0,59.12,40.0,69.5,78.25,73.0,5.0,5.0,14.0,7.0,6.0,2013
74.25,75.0,34.5,58.5,67.0,48.5,64.0,59.5,36.5,68.0,67.75,77.0,78.5,68.0,78.5,74.25,59.5,80.5,89.5,70.0,58.5,77.5,78.5,61.75,60.0,40.5,70.5,77.0,69.0,5.0,5.0,14.0,7.0,6.0,2014
74.0,73.5,35.5,60.5,70.5,49.5,62.5,60.5,37.5,70.0,65.5,77.5,78.25,69.25,80.0,77.0,60.5,78.0,80.5,69.75,59.5,78.5,79.5,65.5,59.5,41.5,74.5,72.5,69.5,5.5,5.5,14.5,7.5,6.5,2015
76.5,78.0,36.0,62.0,72.0,49.5,65.0,64.5,38.0,70.0,68.5,77.0,78.5,68.0,81.0,77.0,62.0,78.0,80.5,69.0,59.0,80.0,80.0,66.0,59.0,42.0,77.5,75.5,75.0,6.0,6.0,15.0,8.0,7.0,2016
