overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
47.0,49.0,42.0,41.0,49.0,66.0,49.0,43.0,51.0,41.0,48.0,52.0,51.0,52.0,49.0,63.0,44.0,68.0,33.0,42.0,48.0,48.0,51.0,40.0,64.0,41.0,51.0,48.0,24.0,1.0,22.0,41.0,22.0,22.0,2007
47.0,49.0,42.0,41.0,49.0,66.0,49.0,43.0,51.0,41.0,48.0,52.0,51.0,52.0,49.0,63.0,44.0,68.0,33.0,42.0,48.0,48.0,51.0,40.0,64.0,41.0,51.0,48.0,24.0,1.0,22.0,41.0,22.0,22.0,2008
52.0,45.5,55.0,51.5,45.5,66.0,52.0,43.0,51.0,38.5,48.5,54.5,56.5,52.0,56.0,63.0,47.5,68.0,47.0,55.0,50.0,60.0,52.5,53.5,64.0,43.5,36.0,45.0,24.0,1.0,22.0,38.5,22.0,22.0,2009
68.0,55.0,72.0,66.0,64.0,66.0,64.0,43.0,51.0,36.0,63.0,71.0,74.0,52.0,71.0,63.0,67.0,68.0,61.0,68.0,60.0,72.0,21.0,66.0,64.0,71.0,21.0,32.0,24.0,13.0,9.0,8.0,11.0,10.0,2010
69.0,54.0,72.5,72.5,70.0,65.0,65.0,42.0,50.0,35.0,68.0,69.5,71.5,57.5,71.0,63.0,68.5,72.0,60.5,65.0,59.0,74.5,20.0,69.0,68.0,70.0,20.0,31.0,23.0,13.0,9.0,8.0,11.0,10.0,2011
70.5,54.0,72.0,75.0,74.0,64.0,68.5,42.0,50.0,35.0,73.0,69.0,73.5,66.0,69.5,64.0,71.0,77.0,61.0,66.5,59.0,70.0,20.0,73.0,67.0,70.0,20.0,31.0,23.0,13.0,9.0,8.0,11.0,10.0,2012
73.0,54.0,75.0,78.2,74.0,65.0,68.0,42.0,50.0,35.0,73.0,69.0,73.2,68.0,73.2,64.0,74.0,84.2,63.0,69.0,63.0,70.0,20.0,75.2,64.0,70.0,20.0,31.0,23.0,13.0,9.0,8.0,11.0,10.0,2013
72.33,54.0,72.33,79.33,70.0,66.0,68.0,42.0,50.0,35.0,71.0,69.33,72.0,68.0,74.0,62.0,74.67,82.33,64.67,71.67,61.67,70.0,27.33,76.0,64.0,70.0,29.33,31.0,23.0,13.0,9.0,8.0,11.0,10.0,2014
72.33,54.67,71.67,78.67,70.67,65.67,68.67,42.67,50.67,35.67,70.67,64.33,74.33,66.0,74.67,58.67,73.67,81.0,65.0,74.67,61.67,70.67,31.67,76.67,64.67,70.67,34.67,31.67,23.67,13.67,9.67,8.67,11.67,10.67,2015
73.0,55.0,72.0,79.0,71.0,66.0,69.0,43.0,51.0,36.0,71.0,63.0,77.0,66.0,75.0,59.0,74.0,81.0,65.0,75.0,62.0,71.0,32.0,77.0,65.0,71.0,35.0,32.0,24.0,14.0,10.0,9.0,12.0,11.0,2016
