overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
73.5,68.0,42.5,67.0,69.0,55.0,75.0,65.0,59.5,67.5,72.5,78.0,80.5,81.0,69.5,73.0,67.5,78.0,72.0,69.5,58.0,73.0,71.0,75.0,72.0,72.5,78.5,76.5,85.0,8.0,13.5,67.5,14.0,12.0,2007
82.0,87.0,43.0,74.0,78.0,55.0,78.0,65.0,46.0,69.0,79.0,83.0,84.0,81.0,76.0,73.0,68.0,78.0,89.0,81.0,56.0,82.0,78.0,82.0,72.0,75.0,81.0,82.0,85.0,8.0,21.0,69.0,21.0,21.0,2008
82.5,85.0,43.0,75.5,79.5,55.0,78.0,65.0,46.0,71.0,79.0,83.0,84.0,81.0,79.0,73.0,68.0,78.0,89.0,82.0,56.0,83.5,79.0,82.0,72.0,78.5,83.5,82.0,85.0,8.0,21.0,71.0,21.0,21.0,2009
82.0,83.0,43.0,77.0,81.0,55.0,78.0,65.0,46.0,73.0,79.0,81.0,81.0,81.0,82.0,73.0,68.0,78.0,86.0,78.0,56.0,85.0,78.0,70.0,72.0,46.0,86.0,82.0,85.0,10.0,8.0,6.0,8.0,8.0,2010
83.0,80.0,48.0,77.0,81.5,55.0,77.0,65.0,46.0,70.5,79.5,83.0,81.0,79.0,82.5,75.5,68.0,78.0,88.0,77.5,61.0,79.5,78.0,69.5,69.5,52.0,85.0,85.0,85.0,10.0,8.0,6.0,8.0,8.0,2011
83.0,77.0,48.0,77.0,82.0,55.0,76.0,65.0,46.0,68.0,78.5,79.0,79.0,77.0,83.0,76.0,68.0,78.0,89.0,76.0,61.0,74.0,78.0,69.0,67.0,58.0,84.0,86.0,85.0,10.0,8.0,6.0,8.0,8.0,2012
80.91,73.91,48.0,77.73,79.91,55.0,75.64,65.0,46.0,68.0,77.0,74.45,75.09,73.73,82.0,75.45,68.0,83.0,83.73,76.0,61.0,74.0,78.0,65.73,67.0,58.0,81.91,83.45,84.09,10.0,8.0,6.0,8.0,8.0,2013
80.17,75.0,48.0,78.17,78.17,55.0,75.0,65.0,46.0,68.0,75.0,73.17,75.0,71.0,81.33,76.0,68.0,89.0,81.0,76.0,61.0,74.0,77.5,65.0,64.5,58.0,81.0,82.83,83.83,10.0,8.0,6.0,8.0,8.0,2014
79.4,73.4,44.8,78.4,72.8,55.4,74.2,65.4,46.4,66.4,74.4,73.2,74.2,69.4,79.4,76.0,68.4,84.8,81.0,76.8,61.4,74.4,78.4,65.4,65.6,58.4,81.4,82.0,82.8,10.4,8.4,6.4,8.4,8.4,2015
80.0,74.0,40.0,79.0,65.0,56.0,74.0,66.0,47.0,64.0,75.0,75.0,75.0,68.0,80.0,76.0,69.0,84.0,81.0,79.5,62.0,75.0,79.0,66.0,59.0,59.0,83.0,83.0,84.0,11.0,9.0,7.0,9.0,9.0,2016
