overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
60.0,32.0,62.0,63.0,40.0,70.0,54.0,34.0,31.0,35.0,59.0,67.0,71.0,70.0,56.0,82.0,60.0,79.0,61.0,78.0,58.0,24.0,54.0,66.0,66.0,46.0,22.0,25.0,23.0,18.0,22.0,35.0,22.0,22.0,2007
60.0,32.0,62.0,63.0,40.0,70.0,54.0,34.0,31.0,35.0,59.0,67.0,71.0,70.0,56.0,82.0,60.0,79.0,61.0,78.0,58.0,24.0,54.0,66.0,66.0,46.0,22.0,25.0,23.0,18.0,22.0,35.0,22.0,22.0,2008
65.0,32.0,69.0,76.0,40.0,70.0,54.0,34.0,31.0,35.0,68.0,64.0,67.0,70.0,64.0,82.0,65.0,79.0,66.0,83.0,58.0,44.0,54.0,68.0,66.0,56.0,22.0,25.0,23.0,18.0,22.0,35.0,22.0,22.0,2009
71.0,42.0,78.0,78.5,62.5,70.0,54.5,34.0,31.0,35.0,66.0,66.0,69.5,70.0,74.0,82.0,76.0,79.0,73.0,78.0,60.0,71.0,55.5,70.5,66.0,65.0,28.0,35.0,23.0,11.5,16.5,24.5,16.0,14.5,2010
70.0,42.0,76.0,78.0,65.0,70.0,53.0,34.0,31.0,42.5,67.0,62.5,66.5,67.0,72.5,65.5,76.0,62.0,71.5,79.5,56.0,74.0,44.5,73.0,66.0,66.5,28.0,35.0,23.0,5.0,11.0,14.0,10.0,7.0,2011
75.0,42.0,80.5,85.5,67.0,72.0,58.0,34.0,31.0,45.0,67.5,64.0,67.0,64.0,75.0,49.0,76.5,55.0,73.5,81.5,65.0,65.0,38.0,82.0,62.0,75.0,28.0,35.0,23.0,5.0,11.0,14.0,10.0,7.0,2012
77.33,42.0,82.67,87.5,67.0,74.5,59.83,34.0,31.0,45.0,73.17,61.5,67.0,64.0,79.0,49.0,79.5,62.0,74.17,84.5,66.0,65.0,38.0,84.33,52.0,75.0,28.0,35.0,23.0,5.0,11.0,14.0,10.0,7.0,2013
75.6,38.0,81.0,89.4,67.0,75.0,55.4,34.0,31.0,45.0,68.6,58.4,64.0,61.0,77.0,49.0,80.0,59.6,63.8,85.0,66.4,65.0,38.0,82.6,47.0,75.0,28.0,35.0,23.0,5.0,11.0,14.0,10.0,7.0,2014
76.75,37.25,84.0,87.5,66.0,77.0,52.25,34.25,31.25,43.0,68.0,57.0,62.75,53.5,79.5,45.5,81.0,56.5,63.25,83.25,68.75,65.5,38.25,84.25,48.0,75.25,28.25,36.25,22.75,5.25,11.25,14.25,10.25,7.25,2015
79.0,38.0,86.0,89.0,63.0,81.0,49.0,35.0,32.0,37.0,68.0,54.0,65.0,37.0,84.0,35.0,84.0,55.0,64.0,84.0,73.0,67.0,39.0,87.0,51.0,76.0,29.0,48.0,26.0,6.0,12.0,15.0,11.0,8.0,2016
