overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
60.0,41.5,15.5,63.5,60.0,38.0,19.0,25.0,36.5,49.5,46.5,58.5,55.0,52.0,47.0,75.0,36.0,81.0,57.0,63.5,19.0,61.0,49.0,44.0,53.0,54.5,61.0,60.0,80.0,6.0,13.5,49.5,14.5,13.0,2007
66.0,38.0,20.0,64.0,62.0,38.0,37.0,25.0,12.0,49.0,55.0,63.0,59.0,52.0,61.0,75.0,44.0,81.0,62.0,72.0,21.0,72.0,49.0,54.0,53.0,48.0,68.0,64.0,80.0,6.0,20.0,49.0,20.0,20.0,2008
75.5,38.0,20.0,76.0,65.0,38.0,42.0,25.0,12.0,52.0,59.5,70.0,74.0,52.0,77.0,75.0,44.0,81.0,65.0,75.0,21.0,73.0,78.0,79.0,53.0,48.0,79.5,77.5,80.0,6.0,20.0,52.0,20.0,20.0,2009
77.0,44.5,16.5,79.5,69.0,38.0,45.0,25.0,12.0,55.5,61.5,71.0,74.0,52.0,76.0,75.0,44.0,81.0,67.5,76.5,21.0,74.5,78.5,60.0,53.0,47.0,81.5,78.0,80.0,10.0,13.0,30.5,15.0,13.5,2010
79.0,51.0,13.0,83.0,70.5,38.0,48.0,25.0,33.0,61.5,64.5,69.5,73.0,53.5,76.5,69.0,48.0,78.0,70.5,78.0,21.0,78.0,78.5,41.0,53.0,52.0,82.5,81.5,80.5,14.0,6.0,9.0,10.0,7.0,2011
80.5,58.5,29.0,84.5,72.0,38.0,48.0,25.0,54.0,64.0,67.0,68.0,74.0,55.0,77.5,63.0,52.0,75.0,69.0,79.0,31.0,80.5,78.5,41.0,53.0,58.0,83.0,84.0,81.5,14.0,6.0,9.0,10.0,7.0,2012
81.29,63.0,53.0,84.0,74.0,38.0,56.57,36.0,54.0,64.0,69.14,67.14,73.14,56.14,80.43,63.0,62.0,77.43,69.0,80.14,31.0,80.0,82.43,41.0,56.0,56.0,83.86,84.29,82.29,14.0,6.0,9.0,10.0,7.0,2013
81.4,64.2,53.0,83.8,74.0,38.0,60.0,37.2,52.8,64.0,72.0,64.6,68.0,62.0,81.4,61.8,62.0,79.6,69.0,81.0,31.0,80.0,82.0,48.6,57.6,56.0,83.0,83.0,84.0,14.0,6.0,9.0,10.0,7.0,2014
82.25,63.25,50.5,83.25,74.0,38.0,60.0,38.0,52.0,64.0,71.5,63.75,67.75,65.0,82.0,60.25,62.0,82.0,69.0,81.0,31.0,79.75,82.75,51.0,57.0,56.0,83.5,83.25,84.0,14.0,6.0,9.0,10.0,7.0,2015
83.0,58.0,48.0,84.0,74.0,38.0,60.0,38.0,52.0,64.0,70.0,63.0,67.0,65.0,82.0,61.0,62.0,82.0,69.0,81.0,31.0,79.0,85.0,51.0,57.0,56.0,85.0,84.0,84.0,14.0,6.0,9.0,10.0,7.0,2016
