overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
74.0,54.0,57.0,69.5,74.5,61.0,62.0,68.0,63.5,67.5,73.0,71.5,75.0,72.0,68.0,74.0,63.0,64.0,68.0,72.0,62.0,75.0,76.0,75.0,75.0,75.0,77.5,84.0,69.0,8.0,17.5,67.5,16.5,16.5,2007
70.0,54.0,57.0,65.0,71.0,61.0,62.0,68.0,52.0,65.0,72.0,70.0,71.0,72.0,68.0,74.0,63.0,64.0,70.0,67.0,62.0,72.0,71.0,65.0,75.0,75.0,68.0,80.0,69.0,8.0,22.0,65.0,22.0,22.0,2008
73.0,66.5,67.0,65.0,75.0,61.0,68.0,68.0,67.0,72.0,75.5,71.5,72.5,72.0,70.5,74.0,78.5,64.0,78.0,69.5,75.0,72.0,71.0,73.0,75.0,75.0,57.0,69.0,69.0,8.0,22.0,72.0,22.0,22.0,2009
73.5,68.0,62.0,63.0,76.5,61.0,70.0,68.0,73.0,74.0,75.0,73.0,74.0,72.0,73.5,74.0,81.5,64.0,77.0,74.0,76.0,72.0,70.0,71.0,75.0,71.5,57.0,71.5,69.0,10.5,14.5,41.0,14.0,18.0,2010
74.5,67.0,49.5,64.0,78.0,61.0,70.0,68.0,74.0,77.0,76.0,73.0,72.0,71.0,74.0,71.0,82.0,66.5,75.5,69.0,77.0,71.5,70.5,70.5,75.0,68.0,62.0,73.5,72.0,13.0,7.0,11.0,6.0,14.0,2011
76.0,67.0,42.0,64.0,79.0,67.0,73.5,68.0,74.0,78.0,77.5,71.5,69.5,72.0,75.0,70.0,82.0,69.0,76.0,66.0,77.0,73.0,75.0,72.0,76.0,68.0,62.0,73.5,73.5,13.0,7.0,11.0,6.0,14.0,2012
76.57,67.0,42.0,64.0,79.0,73.86,72.57,68.0,74.0,78.71,76.57,73.29,73.29,73.43,74.29,70.0,83.43,69.29,76.71,66.29,81.29,73.0,76.71,74.0,76.0,68.0,62.0,73.57,71.86,13.0,7.0,11.0,6.0,14.0,2013
75.0,66.2,41.2,63.2,78.0,74.2,71.2,67.2,73.2,76.8,74.4,75.0,75.0,74.0,73.2,70.0,88.0,70.0,77.0,68.8,86.2,72.2,75.8,73.2,73.0,67.2,66.8,73.2,70.2,12.2,6.2,10.2,5.2,13.2,2014
71.75,66.12,42.88,63.12,74.25,74.12,70.12,67.12,73.12,72.25,72.25,67.88,69.0,70.62,70.5,69.75,84.0,70.0,76.25,69.0,78.38,72.12,73.25,70.12,67.38,67.12,66.12,69.38,67.62,12.12,6.12,10.12,5.12,13.12,2015
72.0,67.0,56.0,64.0,75.0,75.0,71.0,68.0,74.0,73.0,73.0,67.0,69.0,68.0,74.0,68.0,85.0,70.0,77.0,69.0,79.0,67.0,73.0,71.0,68.0,68.0,65.0,68.0,64.0,13.0,7.0,11.0,6.0,14.0,2016
