overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
76.0,74.0,83.0,66.0,81.0,77.0,82.0,80.0,70.0,70.0,83.0,83.0,82.0,83.0,66.0,68.0,65.0,60.0,62.0,63.0,72.0,70.0,81.0,79.0,82.0,72.0,20.0,35.0,15.0,8.0,20.0,70.0,20.0,20.0,2007
79.0,77.0,83.0,73.0,81.0,77.0,86.0,80.0,60.0,70.0,86.0,85.0,86.0,83.0,84.0,68.0,64.0,60.0,80.0,71.0,70.0,66.0,81.0,82.0,82.0,79.0,20.0,20.0,15.0,8.0,20.0,70.0,20.0,20.0,2008
78.5,76.5,83.0,60.0,81.5,77.0,87.0,80.0,60.0,70.0,86.0,85.0,87.0,83.0,82.5,68.0,63.5,60.0,75.5,57.0,71.0,52.0,81.0,82.0,82.0,79.5,20.0,20.0,15.0,8.0,20.0,70.0,20.0,20.0,2009
78.5,76.0,83.5,58.0,82.0,77.0,87.0,80.0,60.0,66.0,85.0,84.0,86.0,83.0,78.0,68.0,65.5,60.0,71.0,53.5,72.0,38.0,49.0,77.0,82.0,76.5,16.0,17.5,15.0,6.5,17.0,37.0,17.0,13.5,2010
78.0,75.0,83.0,58.0,82.0,76.0,87.0,80.0,60.0,66.0,85.0,83.5,85.5,83.5,76.0,74.5,68.0,61.0,65.0,49.5,72.0,38.0,21.0,75.0,80.0,77.0,12.0,15.0,15.0,5.0,14.0,8.0,14.0,7.0,2011
76.0,70.0,76.0,59.0,77.0,75.0,82.0,79.5,60.0,65.5,85.0,87.0,78.0,85.0,75.5,81.5,73.0,65.0,64.5,39.0,73.0,41.0,21.0,75.5,71.0,76.0,18.0,23.0,26.0,5.0,14.0,8.0,14.0,7.0,2012
78.14,70.86,75.71,57.14,81.14,76.0,84.86,81.0,60.0,66.0,86.14,86.71,83.29,85.86,73.14,83.86,76.71,65.14,67.86,36.29,72.86,41.29,26.71,74.0,71.71,75.0,18.57,23.0,26.0,5.0,14.0,8.0,14.0,7.0,2013
77.83,70.33,71.33,46.17,76.0,76.5,86.0,81.33,61.0,67.0,84.83,85.83,83.5,83.33,73.0,85.67,74.33,56.33,67.83,41.33,70.5,30.0,29.0,69.83,72.5,74.83,20.0,22.83,25.83,5.0,14.0,8.0,14.0,7.0,2014
79.83,68.0,69.83,42.0,78.5,79.0,86.0,83.0,66.0,74.5,84.0,83.33,77.0,83.0,78.83,84.0,77.0,48.0,67.0,41.0,74.0,30.0,29.0,74.5,82.5,71.0,20.0,22.0,22.0,5.0,14.0,8.0,14.0,7.0,2015
80.75,68.0,71.0,42.0,81.0,79.0,84.25,83.0,66.0,77.0,84.5,80.25,75.25,83.0,79.0,84.0,77.0,48.0,67.0,42.75,74.0,30.0,29.0,76.0,86.0,68.0,20.0,22.0,19.0,5.0,14.0,8.0,14.0,7.0,2016
