overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
70.0,68.0,72.0,67.0,67.0,53.0,73.0,58.0,52.0,69.0,69.0,75.0,78.0,67.0,67.0,58.0,67.0,62.0,70.0,62.0,59.0,53.0,55.0,73.0,51.0,52.0,59.0,61.0,27.0,2.0,22.0,69.0,22.0,22.0,2007
70.0,68.0,72.0,67.0,67.0,53.0,73.0,58.0,52.0,69.0,69.0,75.0,78.0,67.0,67.0,58.0,67.0,62.0,70.0,62.0,59.0,53.0,55.0,73.0,51.0,52.0,59.0,61.0,27.0,2.0,22.0,69.0,22.0,22.0,2008
66.0,65.5,66.0,64.0,54.5,53.0,70.5,58.0,49.5,48.5,65.5,76.0,78.0,67.0,64.5,58.0,64.5,62.0,67.5,59.5,56.5,50.5,52.5,70.5,51.0,49.5,29.0,32.0,27.0,2.0,22.0,48.5,22.0,22.0,2009
61.5,59.0,59.0,51.0,55.0,53.0,64.0,58.0,47.0,44.0,60.0,68.5,72.5,67.0,60.5,58.0,61.5,62.0,64.5,57.0,55.0,48.0,43.5,51.0,51.0,50.5,18.0,26.0,27.0,4.0,13.5,26.0,15.5,14.5,2010
63.0,62.0,59.0,51.0,56.0,58.0,64.0,58.0,47.0,52.0,65.0,75.0,78.0,71.0,59.0,74.0,62.0,63.0,64.0,56.0,58.0,48.0,37.0,54.0,51.0,54.0,17.0,26.0,27.0,6.0,5.0,8.0,9.0,7.0,2011
63.5,64.0,59.0,51.0,57.0,58.0,66.5,58.0,47.0,53.0,64.0,81.5,82.0,78.0,68.0,78.0,65.0,85.0,68.0,57.0,58.0,48.0,37.0,55.0,55.0,54.0,17.0,26.0,27.0,6.0,5.0,8.0,9.0,7.0,2012
65.0,65.0,57.0,51.0,57.0,54.0,67.0,58.0,47.0,54.0,65.0,82.0,82.0,77.0,67.0,79.0,65.0,85.0,67.0,57.5,58.0,48.0,37.0,55.0,59.0,54.0,47.0,52.0,49.0,6.0,5.0,8.0,9.0,7.0,2013
66.0,65.0,57.0,51.0,57.0,54.0,67.0,58.0,47.0,54.0,65.0,89.0,93.0,70.0,67.0,79.0,65.0,85.0,83.0,58.0,58.0,48.0,37.0,55.0,59.0,54.0,47.0,52.0,49.0,6.0,5.0,8.0,9.0,7.0,2014
65.33,64.0,57.33,51.33,57.33,54.33,67.33,58.33,47.33,54.33,63.33,90.33,93.0,70.0,57.33,79.0,64.67,85.0,83.0,58.0,58.33,48.33,37.33,55.33,59.33,54.33,47.33,51.0,49.33,6.33,5.33,8.33,9.33,7.33,2015
66.0,63.67,58.0,52.0,58.0,55.0,68.0,59.0,48.0,55.0,63.0,93.0,93.0,70.0,52.67,79.0,65.0,85.0,83.0,58.0,59.0,49.0,38.0,56.0,60.0,55.0,48.0,51.0,50.0,7.0,6.0,9.0,10.0,8.0,2016
