overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
67.0,57.0,68.0,78.0,62.0,47.0,59.0,69.0,67.0,67.0,57.0,75.0,76.0,58.0,66.0,78.0,64.0,85.0,72.0,65.0,57.0,63.0,64.0,75.0,71.0,74.0,66.0,59.0,83.0,9.0,20.0,67.0,20.0,20.0,2007
72.5,48.5,59.5,81.5,60.0,47.0,52.0,69.0,57.0,65.0,58.0,73.5,75.0,58.0,68.5,78.0,59.0,85.0,74.5,75.0,47.0,73.0,68.0,77.5,71.0,72.0,70.5,71.0,83.0,9.0,20.0,65.0,20.0,20.0,2008
78.5,40.0,51.0,85.5,58.0,47.0,45.0,69.0,47.0,63.0,59.0,72.0,74.0,58.0,71.0,78.0,54.0,85.0,78.0,85.5,37.0,84.0,72.0,80.0,71.0,70.0,75.0,83.0,83.0,9.0,20.0,63.0,20.0,20.0,2009
80.5,77.0,51.0,86.0,70.5,47.0,45.0,69.0,47.0,69.5,64.0,72.5,76.0,58.0,72.5,78.0,68.0,85.0,80.0,86.0,61.0,85.0,78.5,62.0,71.0,63.5,79.5,84.5,83.0,11.5,14.0,39.0,15.0,16.0,2010
82.5,73.0,51.0,86.0,69.0,47.0,58.0,69.0,47.0,65.0,65.0,70.0,71.5,58.0,74.0,62.5,75.0,80.5,78.0,86.0,61.0,85.0,85.0,42.0,63.5,57.0,82.0,85.5,83.5,14.0,8.0,12.0,10.0,12.0,2011
82.5,69.5,53.5,86.0,64.0,47.0,57.0,69.0,47.0,55.0,63.0,69.0,70.5,58.0,76.5,47.0,75.0,76.0,76.0,85.5,61.0,85.0,85.0,42.0,56.0,57.0,83.5,86.5,84.5,14.0,8.0,12.0,10.0,12.0,2012
82.11,71.0,56.0,86.0,65.11,47.0,57.0,69.0,47.0,55.0,63.0,63.22,66.44,57.11,81.11,47.0,73.67,75.56,77.0,85.0,61.0,85.0,85.0,42.0,56.0,57.0,84.33,86.33,83.67,14.0,8.0,12.0,10.0,12.0,2013
81.0,71.0,56.0,86.0,66.0,47.0,57.0,69.0,47.0,55.0,63.2,65.0,69.0,54.0,84.0,47.0,72.0,83.0,77.2,85.0,61.0,85.0,85.0,51.6,56.0,57.0,84.4,86.0,83.2,14.0,8.0,12.0,10.0,12.0,2014
80.33,71.67,56.67,86.67,67.33,47.67,57.67,69.67,47.67,55.67,65.67,63.67,67.0,55.0,84.67,47.0,72.67,83.0,78.0,85.0,61.67,88.33,85.0,60.67,56.67,57.67,86.67,88.0,86.67,14.67,8.67,12.67,10.67,12.67,2015
80.0,72.0,57.0,87.0,68.0,48.0,58.0,70.0,48.0,56.0,66.0,63.0,66.0,57.0,85.0,47.0,73.0,83.0,78.0,85.0,62.0,90.0,85.0,61.0,57.0,58.0,87.0,87.67,86.33,15.0,9.0,13.0,11.0,13.0,2016
