overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
60.0,55.0,58.0,51.0,52.0,61.0,58.0,63.0,53.0,34.0,57.0,65.0,70.0,75.0,69.0,47.0,56.0,65.0,69.0,47.0,51.0,32.0,49.0,45.0,62.0,54.0,20.0,20.0,58.0,1.0,20.0,34.0,20.0,20.0,2007
63.0,60.0,64.0,54.0,52.0,61.0,67.0,63.0,63.0,56.0,65.0,67.0,72.0,75.0,66.0,47.0,60.0,65.0,69.0,62.0,62.0,50.0,56.0,55.0,62.0,54.0,32.0,36.0,58.0,1.0,20.0,56.0,20.0,20.0,2008
63.0,60.0,64.0,46.0,54.0,61.0,67.0,63.0,63.0,56.0,62.0,74.0,72.0,75.0,67.0,47.0,56.0,65.0,67.0,42.0,62.0,27.0,54.0,55.0,62.0,47.0,20.0,26.0,58.0,17.0,20.0,56.0,20.0,20.0,2009
64.0,62.5,63.5,51.0,57.0,61.0,66.5,63.0,63.0,56.0,63.0,71.5,73.0,75.0,67.0,47.0,57.0,65.0,67.0,47.0,61.5,47.0,57.0,60.5,62.0,55.5,47.0,49.5,58.0,14.5,17.0,32.0,17.5,16.5,2010
64.0,65.0,63.0,56.0,60.0,61.0,64.0,61.0,63.0,56.0,63.0,73.0,75.0,78.0,67.0,59.0,58.0,67.0,70.5,52.0,61.0,67.0,60.0,66.0,63.5,64.0,62.0,60.0,58.0,12.0,14.0,8.0,15.0,13.0,2011
65.0,65.0,63.0,57.0,61.0,61.0,64.0,61.0,63.0,56.0,63.0,75.5,77.5,81.0,67.0,73.0,58.0,69.0,75.5,59.0,61.0,67.0,63.0,66.5,66.0,64.0,64.0,62.5,62.0,12.0,14.0,8.0,15.0,13.0,2012
66.0,65.0,63.0,58.0,62.0,61.0,64.0,61.0,63.0,56.0,63.0,77.0,79.0,81.0,67.0,74.0,58.0,71.29,78.0,62.0,61.0,67.0,66.0,67.0,66.0,64.0,64.0,63.0,63.0,12.0,14.0,8.0,15.0,13.0,2013
67.0,66.0,63.0,58.0,65.0,61.0,65.0,61.0,63.0,61.0,64.0,77.0,79.0,81.0,67.0,74.0,58.0,73.33,78.0,60.0,61.0,66.0,66.0,67.0,66.0,64.0,66.0,65.0,64.0,12.0,14.0,8.0,15.0,13.0,2014
66.8,66.2,63.2,58.2,65.2,60.6,64.8,60.0,63.2,61.2,63.4,73.8,75.6,80.4,67.2,74.0,60.0,74.6,78.0,62.8,61.8,63.8,66.2,65.6,65.4,64.2,69.0,66.4,64.0,12.2,14.2,8.2,15.2,13.2,2015
69.0,67.0,64.0,59.0,66.0,61.0,66.0,60.0,64.0,62.0,64.0,73.0,74.0,78.0,68.0,74.0,62.0,77.0,78.0,64.0,63.0,64.0,67.0,66.0,66.0,65.0,73.0,69.0,67.0,13.0,15.0,9.0,16.0,14.0,2016
