overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
64.0,62.0,54.0,45.5,61.0,60.0,62.0,67.0,63.5,53.0,65.0,66.0,61.0,80.0,56.0,59.0,66.0,61.0,71.0,63.0,69.0,56.0,71.0,52.0,67.0,69.0,50.5,52.0,28.0,15.0,13.5,53.0,17.0,16.5,2007
69.0,66.0,62.0,45.0,66.0,60.0,75.0,67.0,76.0,53.0,75.0,78.0,81.0,80.0,65.0,59.0,63.0,61.0,70.0,61.0,49.0,43.0,62.0,63.0,67.0,69.0,20.0,23.0,28.0,8.0,20.0,53.0,20.0,20.0,2008
68.0,65.0,61.0,44.0,65.0,60.0,74.0,67.0,75.0,52.0,74.0,77.0,80.0,80.0,64.0,59.0,62.0,61.0,69.0,60.0,48.0,42.0,61.0,62.0,67.0,68.0,20.0,22.0,28.0,8.0,20.0,52.0,20.0,20.0,2009
67.0,60.5,62.0,45.0,62.0,60.0,70.5,67.0,75.5,54.0,71.5,78.0,80.0,80.0,64.5,59.0,62.5,61.0,70.0,62.0,49.5,47.5,52.5,63.0,67.0,64.0,19.0,22.0,28.0,8.5,13.5,30.5,16.0,14.5,2010
70.0,67.5,63.0,46.0,68.5,62.0,74.5,67.0,76.0,57.0,73.5,77.5,77.5,80.5,67.0,68.0,63.0,66.5,69.0,64.0,52.0,53.0,48.0,65.5,68.5,60.0,18.0,27.5,32.5,9.0,7.0,9.0,12.0,9.0,2011
70.0,69.0,63.0,46.0,71.0,64.0,75.0,67.0,76.0,58.0,74.0,76.0,75.0,81.0,69.0,77.0,63.0,72.0,62.5,64.0,53.0,53.0,52.0,67.0,70.0,60.0,18.0,33.0,37.0,9.0,7.0,9.0,12.0,9.0,2012
71.0,68.0,63.0,53.5,71.0,64.0,75.0,67.0,72.25,58.0,74.0,76.75,77.25,81.0,69.0,77.75,64.75,72.0,62.0,64.0,53.0,53.0,52.0,67.0,70.5,60.0,24.75,33.0,37.0,9.0,7.0,9.0,12.0,9.0,2013
70.67,67.0,63.0,56.0,70.33,64.0,76.67,67.0,69.67,58.0,73.67,78.0,74.33,81.0,68.67,77.0,69.67,72.0,62.0,64.0,53.0,53.0,52.0,66.67,70.0,60.0,27.0,33.0,37.0,9.0,7.0,9.0,12.0,9.0,2014
68.27,67.27,63.27,56.27,69.73,64.27,70.64,68.09,65.09,60.09,68.91,72.73,72.27,75.73,64.0,68.45,68.55,70.55,62.0,57.73,58.73,53.27,52.27,64.82,67.27,60.27,27.27,33.27,37.27,9.27,7.27,9.27,12.27,9.27,2015
69.33,73.0,65.33,57.0,74.0,67.67,72.33,71.0,69.0,64.33,71.0,68.67,71.0,72.0,63.0,67.0,69.33,70.0,62.0,59.0,68.33,54.0,54.33,65.0,69.33,63.0,28.0,34.0,38.0,10.0,8.0,10.0,13.0,10.0,2016
