overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
78.5,63.5,62.5,54.5,81.5,78.0,76.5,77.0,78.5,75.5,82.5,73.5,65.5,74.0,63.5,66.0,74.5,70.0,78.5,78.5,86.5,63.5,75.0,69.0,82.0,73.5,60.5,64.5,58.0,11.0,17.5,75.5,17.5,17.0,2007
76.0,64.0,63.0,55.0,82.0,78.0,77.0,77.0,84.0,76.0,83.0,74.0,66.0,74.0,64.0,66.0,88.0,70.0,79.0,79.0,87.0,64.0,75.0,69.0,82.0,74.0,61.0,65.0,58.0,11.0,21.0,76.0,21.0,21.0,2008
76.0,74.5,65.0,55.0,82.0,78.0,77.0,77.0,82.0,77.0,83.0,74.0,67.5,74.0,68.0,66.0,87.0,70.0,77.0,76.5,84.0,64.0,73.5,70.5,82.0,74.0,59.0,61.0,58.0,9.5,21.0,77.0,21.0,21.0,2009
78.0,78.0,69.5,62.0,81.0,78.0,77.0,77.0,80.5,79.0,82.0,75.5,73.0,74.0,77.5,66.0,87.0,70.0,74.5,72.0,87.0,63.0,67.0,75.5,82.0,79.0,57.0,57.0,58.0,7.5,16.0,45.5,14.5,17.0,2010
78.5,76.0,67.0,58.0,80.5,81.0,76.0,81.5,81.5,80.5,82.0,74.0,70.5,75.5,75.5,72.5,87.5,69.0,62.0,55.5,85.5,68.0,60.5,75.5,81.0,81.0,53.5,57.5,60.0,5.0,11.0,13.0,8.0,13.0,2011
78.0,75.5,70.0,52.0,80.0,83.5,73.5,82.5,82.0,83.5,80.0,69.0,67.0,74.5,71.5,75.0,89.0,66.5,57.5,42.0,84.0,76.5,61.0,75.0,82.0,81.0,50.0,58.0,59.0,5.0,11.0,13.0,8.0,13.0,2012
76.2,76.0,68.0,52.0,77.0,79.8,73.6,79.0,80.6,80.0,78.0,64.2,62.8,72.0,70.0,79.6,86.4,65.0,48.2,42.0,82.8,78.0,60.2,73.0,78.6,79.0,48.8,57.2,54.8,5.0,11.0,13.0,8.0,13.0,2013
73.0,71.25,62.0,52.0,77.0,78.5,74.0,79.0,75.0,80.0,78.0,57.0,54.0,72.0,70.0,78.0,84.0,65.0,33.0,42.0,78.0,78.0,61.0,65.0,77.0,78.25,44.0,54.0,50.0,5.0,11.0,13.0,8.0,13.0,2014
74.38,76.62,62.5,52.5,79.25,78.5,74.5,79.5,76.62,80.5,78.5,53.5,51.38,72.0,73.0,78.0,85.62,65.0,42.5,49.0,81.12,78.5,61.5,70.0,78.62,77.5,44.5,54.5,50.5,5.5,11.5,13.5,8.5,13.5,2015
76.0,80.0,65.0,53.0,82.0,79.0,75.0,82.0,81.0,81.0,79.0,53.0,51.0,72.0,76.0,78.0,88.0,65.0,52.0,56.0,86.0,79.0,62.0,75.0,81.0,81.0,45.0,55.0,51.0,6.0,12.0,14.0,9.0,14.0,2016
