overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
73.0,59.0,41.0,69.0,75.0,42.0,71.0,61.0,38.0,77.0,68.0,66.0,68.0,57.0,72.0,78.0,63.0,73.0,84.0,76.0,51.0,79.0,63.0,67.0,73.0,68.0,54.0,71.0,73.0,13.0,21.0,77.0,21.0,21.0,2007
71.0,59.0,41.0,69.0,75.0,42.0,71.0,61.0,38.0,77.0,68.0,66.0,68.0,57.0,72.0,78.0,63.0,73.0,84.0,76.0,51.0,79.0,63.0,67.0,73.0,68.0,54.0,71.0,73.0,13.0,21.0,77.0,21.0,21.0,2008
71.0,59.0,41.0,69.0,75.0,42.0,71.0,61.0,38.0,77.0,68.0,66.0,68.0,57.0,72.0,78.0,63.0,73.0,84.0,76.0,51.0,79.0,63.0,67.0,73.0,68.0,54.0,71.0,73.0,3.0,21.0,77.0,21.0,21.0,2009
70.0,59.0,41.0,69.0,75.0,42.0,71.0,61.0,38.0,77.0,68.0,66.0,68.0,57.0,72.0,78.0,63.0,73.0,84.0,76.0,51.0,79.0,63.0,52.0,73.0,72.0,54.0,71.0,73.0,10.0,5.0,6.0,12.0,6.0,2010
72.0,59.0,43.5,69.0,75.0,42.0,70.0,61.0,38.0,77.0,70.0,71.0,69.5,62.5,72.0,70.0,66.0,73.0,87.0,76.0,61.5,79.0,68.5,52.0,73.0,72.0,58.0,71.0,73.0,10.0,5.0,6.0,12.0,6.0,2011
74.0,59.0,46.0,69.0,75.0,42.0,69.0,61.0,38.0,77.0,74.0,75.0,70.0,72.0,74.0,73.0,69.0,75.0,91.0,77.0,72.0,79.0,72.0,56.0,74.0,72.0,58.0,71.0,73.0,10.0,5.0,6.0,12.0,6.0,2012
74.0,59.0,46.0,69.0,74.67,42.0,69.0,57.67,58.33,77.0,74.0,71.33,69.33,68.67,72.67,66.33,71.0,75.0,91.0,80.33,72.0,79.0,73.0,56.0,70.67,68.67,58.0,74.33,69.67,10.0,5.0,6.0,12.0,6.0,2013
75.0,59.0,46.0,69.0,75.5,42.0,69.0,51.0,57.0,77.0,74.5,62.5,67.5,62.0,72.0,53.0,71.0,75.0,91.0,88.0,72.0,79.0,76.0,56.0,64.5,62.0,61.0,81.0,63.0,10.0,5.0,6.0,12.0,6.0,2014
76.14,59.43,46.43,69.43,77.14,42.43,69.43,51.43,57.43,77.14,75.43,64.29,67.0,62.0,73.57,53.0,71.43,75.0,87.57,88.43,72.43,80.14,77.14,56.43,66.86,62.0,64.43,80.43,64.86,10.43,5.43,6.43,12.43,6.43,2015
76.0,60.0,47.0,70.0,76.0,43.0,70.0,52.0,58.0,76.0,76.0,66.0,67.0,62.0,73.0,53.0,72.0,75.0,84.0,87.0,73.0,81.0,77.0,57.0,68.0,62.0,65.0,79.0,66.0,11.0,6.0,7.0,13.0,7.0,2016
