overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
46.0,45.0,43.0,49.0,47.0,47.0,37.0,48.0,41.0,43.0,51.0,53.0,50.0,64.0,42.0,54.0,46.0,57.0,47.0,45.0,46.0,47.0,46.0,43.0,72.0,45.0,39.0,39.0,35.0,10.0,20.0,43.0,20.0,20.0,2007
60.0,62.0,43.0,49.0,59.0,47.0,64.0,48.0,62.0,53.0,58.0,58.0,67.0,64.0,53.0,54.0,58.0,57.0,62.0,54.0,46.0,47.0,55.0,58.0,72.0,53.0,39.0,39.0,35.0,10.0,20.0,53.0,20.0,20.0,2008
62.0,64.0,51.0,53.0,63.0,47.0,69.0,48.0,62.0,57.0,62.0,61.0,71.0,64.0,57.0,54.0,58.0,57.0,64.0,54.0,56.0,47.0,55.0,58.0,72.0,53.0,39.0,39.0,35.0,10.0,20.0,57.0,20.0,20.0,2009
62.0,65.0,55.0,53.0,67.0,47.0,69.0,48.0,62.0,57.0,65.0,61.0,71.0,64.0,57.0,54.0,58.0,57.0,64.0,54.0,56.0,47.0,33.0,51.0,72.0,63.0,39.0,39.0,35.0,10.0,11.0,11.0,5.0,6.0,2010
64.0,64.0,54.0,52.0,66.0,46.0,68.0,47.0,61.0,56.0,64.0,74.0,72.0,73.0,56.0,61.0,57.0,56.0,62.0,73.0,55.0,46.0,32.0,50.0,71.0,62.0,38.0,38.0,34.0,10.0,11.0,11.0,5.0,6.0,2011
63.5,62.5,52.5,50.5,64.5,44.5,66.5,45.5,59.5,54.5,62.5,73.5,72.0,72.5,55.5,61.0,55.5,55.5,61.5,72.5,53.5,45.5,31.5,49.5,70.5,60.5,36.5,36.5,32.5,10.0,11.0,11.0,5.0,6.0,2012
63.25,63.0,52.0,50.0,64.0,44.0,67.0,45.0,59.0,54.0,63.0,73.0,71.0,72.0,55.0,61.0,55.0,64.0,61.0,72.5,53.0,45.0,31.0,49.0,70.0,60.0,36.0,36.0,32.0,10.0,11.0,11.0,5.0,6.0,2013
63.0,64.0,52.0,50.0,64.0,44.0,68.0,45.0,59.0,54.0,64.0,68.33,67.33,74.0,55.0,61.0,55.0,67.33,61.67,73.0,53.0,45.0,31.0,49.0,70.0,60.0,36.0,36.0,32.0,10.0,11.0,11.0,5.0,6.0,2014
64.67,64.33,52.33,50.33,64.33,44.33,68.33,45.33,59.33,54.33,64.33,58.67,66.33,71.33,67.33,61.0,55.33,69.0,56.33,74.33,53.33,45.33,31.33,65.33,73.33,60.33,36.33,36.33,32.33,10.33,11.33,11.33,5.33,6.33,2015
63.5,65.0,53.0,51.0,65.0,45.0,69.0,46.0,60.0,55.0,67.0,53.0,65.0,74.0,68.0,61.0,56.0,69.0,55.0,75.0,54.0,46.0,40.5,66.0,74.0,61.0,37.0,37.0,33.0,11.0,12.0,12.0,6.0,7.0,2016
