overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
74.0,66.0,39.0,65.0,75.0,63.0,65.0,70.0,61.0,69.0,73.0,68.0,74.0,58.0,73.0,73.0,42.0,75.0,79.0,69.0,54.0,69.0,76.0,74.0,75.0,73.0,73.0,76.0,77.0,15.0,15.5,69.0,18.0,19.0,2007
73.5,66.0,39.0,65.0,75.0,63.0,65.0,70.0,49.0,69.0,73.0,68.0,74.0,58.0,73.0,73.0,42.0,75.0,79.0,69.0,54.0,69.0,76.0,74.0,75.0,73.0,73.0,76.0,77.0,15.0,23.0,69.0,23.0,23.0,2008
75.0,66.0,47.0,69.0,75.0,63.0,65.0,70.0,49.0,73.0,73.0,69.0,75.0,58.0,74.0,73.0,42.0,75.0,79.0,73.0,54.0,70.0,81.0,79.0,75.0,74.0,77.0,76.0,77.0,15.0,23.0,73.0,23.0,23.0,2009
73.5,67.0,47.0,71.0,74.5,63.0,63.5,70.0,49.0,73.0,70.5,68.0,73.5,58.0,70.0,73.0,42.0,75.0,70.0,74.5,54.0,70.0,71.0,50.0,75.0,63.0,77.0,76.0,77.0,14.5,15.5,39.5,15.5,14.0,2010
74.5,68.5,47.0,76.5,73.5,63.0,62.0,70.0,49.0,73.0,68.5,63.0,67.5,58.0,73.0,65.5,42.0,74.0,73.0,77.0,54.0,73.0,71.0,25.0,68.5,53.0,77.0,77.5,77.5,14.0,8.0,6.0,8.0,5.0,2011
75.0,69.0,47.0,78.0,74.0,63.0,62.0,70.0,49.0,73.0,68.0,59.0,64.0,58.0,74.0,58.0,51.0,73.0,74.0,77.0,54.0,76.0,74.0,29.0,62.0,54.0,77.0,79.0,78.0,14.0,8.0,6.0,8.0,5.0,2012
74.8,68.6,45.8,77.2,72.2,62.2,58.0,68.2,49.0,71.8,67.4,59.0,64.0,58.0,73.6,58.0,60.0,72.0,74.0,77.8,52.8,76.0,74.0,29.0,61.6,54.0,75.2,77.8,75.8,14.0,8.0,6.0,8.0,5.0,2013
74.0,66.33,37.33,77.33,70.67,46.67,52.0,60.33,53.0,67.33,63.0,60.0,64.0,59.67,74.0,58.0,64.0,71.33,72.67,77.0,42.0,76.0,75.0,34.0,57.33,56.0,74.33,76.0,72.67,14.0,8.0,6.0,8.0,5.0,2014
74.5,71.5,30.5,78.5,70.5,34.5,52.5,59.5,61.5,68.5,59.5,58.0,64.0,62.5,74.5,58.5,72.5,71.5,61.0,77.5,30.5,76.0,77.5,44.5,50.5,60.5,75.5,75.5,73.0,14.5,8.5,6.5,8.5,5.5,2015
74.33,72.0,31.0,79.0,70.33,35.0,53.0,60.0,62.0,69.0,60.0,54.0,55.0,62.0,74.33,59.0,73.0,72.33,61.0,78.0,31.0,75.33,76.0,45.0,51.0,61.0,74.67,76.33,73.33,15.0,9.0,7.0,9.0,6.0,2016
