overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
65.0,48.0,54.0,48.0,67.0,39.0,70.0,63.0,32.0,65.0,74.0,65.0,63.0,64.0,57.0,74.0,38.0,55.0,61.0,70.0,40.0,59.0,57.0,70.0,74.0,57.0,56.0,62.0,57.0,5.0,21.0,65.0,21.0,21.0,2007
65.0,48.0,54.0,48.0,67.0,39.0,70.0,63.0,32.0,65.0,74.0,65.0,63.0,64.0,57.0,74.0,38.0,55.0,61.0,70.0,40.0,59.0,57.0,70.0,74.0,57.0,56.0,62.0,57.0,5.0,21.0,65.0,21.0,21.0,2008
69.5,55.0,50.0,52.0,72.0,39.0,74.0,63.0,37.0,68.0,76.0,67.0,69.0,64.0,67.0,74.0,45.5,55.0,69.5,74.0,45.5,59.0,61.0,72.5,74.0,68.0,60.0,63.5,57.0,5.0,21.0,68.0,21.0,21.0,2009
70.0,62.0,46.0,52.5,74.0,39.0,75.5,63.0,42.0,70.0,77.0,69.5,73.0,64.0,70.0,74.0,63.0,55.0,74.5,70.0,47.0,64.5,69.5,66.0,74.0,69.5,62.0,57.0,57.0,9.5,16.5,39.0,16.5,16.5,2010
76.0,68.0,69.0,66.5,78.0,68.0,74.0,66.0,69.0,77.0,78.0,74.0,75.5,75.5,77.5,73.0,79.5,66.5,86.5,76.0,76.5,69.5,69.5,74.5,79.0,59.5,67.5,62.5,50.5,14.0,12.0,10.0,12.0,12.0,2011
75.5,68.0,69.5,65.5,77.5,69.5,73.5,66.5,68.5,75.5,78.5,75.0,72.5,73.0,76.5,69.5,80.5,64.5,90.0,75.5,76.0,68.5,67.0,74.5,82.0,58.5,63.0,59.5,48.5,14.0,12.0,10.0,12.0,12.0,2012
74.67,68.17,68.33,64.5,76.83,68.67,72.67,66.17,68.17,73.83,77.5,75.83,69.83,68.67,75.83,69.0,79.17,64.17,88.67,75.0,75.17,68.17,65.17,73.5,81.33,58.17,59.67,56.0,43.33,14.0,12.0,10.0,12.0,12.0,2013
69.0,68.0,63.0,64.0,69.0,66.0,67.0,66.0,67.0,68.0,68.0,73.0,69.0,70.0,73.0,72.0,71.0,65.0,80.0,74.0,69.0,65.0,64.0,71.0,72.0,59.0,52.0,50.0,40.0,14.0,12.0,10.0,12.0,12.0,2014
69.8,68.6,63.6,64.6,72.6,66.6,67.6,66.6,67.6,68.6,70.4,73.0,67.2,70.0,73.6,72.0,71.6,66.2,80.6,74.0,69.6,66.6,67.2,65.6,68.6,59.6,53.2,61.6,51.0,14.6,12.6,10.6,12.6,12.6,2015
71.0,69.0,64.0,65.0,73.0,67.0,68.0,67.0,68.0,69.0,72.0,68.0,66.0,69.0,74.0,63.0,72.0,67.0,83.0,74.0,70.0,71.0,70.0,66.0,68.5,60.0,56.0,66.0,61.0,15.0,13.0,11.0,13.0,13.0,2016
