overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
63.0,32.0,23.0,61.5,66.0,62.0,48.0,32.0,41.5,65.5,60.0,64.0,71.5,70.0,63.0,76.0,58.0,79.0,68.0,67.5,28.0,66.0,89.0,79.0,75.0,60.5,66.5,65.0,72.0,6.0,13.5,65.5,13.5,13.5,2007
71.0,34.0,23.0,76.0,74.0,62.0,52.0,32.0,34.0,79.0,66.0,67.0,73.0,70.0,71.0,76.0,76.0,79.0,80.0,87.0,33.0,85.0,89.0,79.0,75.0,72.0,80.0,81.0,72.0,6.0,20.0,79.0,20.0,20.0,2008
71.0,34.0,23.0,76.0,74.0,62.0,52.0,32.0,34.0,79.0,66.0,67.0,73.0,70.0,71.0,76.0,76.0,79.0,80.0,87.0,33.0,85.0,80.0,79.0,75.0,72.0,80.0,81.0,72.0,6.0,20.0,79.0,20.0,20.0,2009
74.0,70.0,51.0,76.0,74.0,62.0,71.0,32.0,42.0,79.0,71.0,71.0,73.0,70.0,71.0,76.0,76.0,79.0,80.0,87.0,51.0,85.0,70.0,71.0,75.0,45.0,80.0,81.0,72.0,9.0,8.0,14.0,11.0,11.0,2010
75.5,74.0,53.0,76.0,80.0,59.0,75.0,60.0,52.0,79.0,77.0,72.0,72.5,72.0,72.5,72.0,71.0,77.0,80.5,74.5,55.0,85.0,72.0,68.0,77.0,49.0,75.0,75.5,70.5,9.0,8.0,14.0,11.0,11.0,2011
76.0,74.0,62.0,76.0,81.0,58.0,75.0,60.0,52.0,79.0,77.0,68.0,68.0,74.0,77.0,70.0,72.0,72.0,74.0,68.0,60.0,82.0,72.0,74.0,82.0,56.0,71.0,72.0,70.0,9.0,8.0,14.0,11.0,11.0,2012
75.0,74.0,62.0,76.0,80.0,58.0,71.0,60.0,52.0,74.0,75.0,68.0,68.0,72.2,74.0,70.4,72.0,72.0,74.0,70.4,60.0,79.4,72.8,74.0,82.0,56.0,71.4,72.4,70.4,9.0,8.0,14.0,11.0,11.0,2013
75.0,74.0,62.0,76.0,80.0,58.0,71.0,64.8,64.4,74.0,75.0,68.0,68.0,73.0,74.0,71.0,73.6,72.0,79.0,73.0,64.0,80.0,74.0,74.0,82.0,56.0,72.0,73.0,71.0,9.0,8.0,14.0,11.0,11.0,2014
75.0,73.25,62.5,74.25,80.0,58.5,72.25,70.0,71.5,75.25,75.75,66.0,66.5,72.5,74.0,71.0,73.0,72.0,74.5,73.0,65.5,79.75,73.0,73.5,79.0,56.5,70.25,73.0,71.5,9.5,8.5,14.5,11.5,11.5,2015
74.0,73.0,63.0,73.0,80.0,59.0,71.0,70.0,72.0,76.0,76.0,64.0,65.0,72.0,71.0,71.0,73.0,72.0,70.0,73.0,66.0,80.0,71.0,74.0,76.0,57.0,69.0,73.0,72.0,10.0,9.0,15.0,12.0,12.0,2016
