overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
65.0,38.0,23.0,67.0,51.0,29.0,30.0,38.0,38.0,26.0,59.0,60.0,65.0,57.0,66.0,54.0,38.0,68.0,64.0,57.0,35.0,64.0,58.0,53.0,48.0,58.0,64.0,70.0,74.0,4.0,20.0,26.0,20.0,20.0,2007
65.0,38.0,23.0,67.0,51.0,29.0,30.0,38.0,38.0,26.0,59.0,60.0,65.0,57.0,66.0,54.0,38.0,68.0,64.0,57.0,35.0,64.0,58.0,53.0,48.0,58.0,64.0,70.0,74.0,4.0,20.0,26.0,20.0,20.0,2008
65.0,38.0,23.0,67.0,51.0,29.0,30.0,38.0,38.0,26.0,59.0,60.0,65.0,57.0,66.0,54.0,38.0,68.0,64.0,57.0,35.0,64.0,58.0,53.0,48.0,58.0,64.0,70.0,74.0,4.0,20.0,26.0,20.0,20.0,2009
65.5,38.0,23.0,67.0,51.0,29.0,30.0,38.0,38.0,26.0,59.0,60.0,65.0,57.0,66.0,54.0,38.0,68.0,63.5,60.0,35.0,64.0,62.0,48.5,48.0,42.5,64.0,70.5,74.0,5.5,12.5,18.5,14.0,16.0,2010
72.0,38.0,23.0,77.5,66.5,29.0,46.0,38.0,38.0,56.0,60.0,69.0,69.0,63.0,74.5,62.5,38.0,84.0,71.0,74.0,35.0,71.5,71.5,39.0,56.0,27.0,69.0,74.5,70.5,7.0,5.0,11.0,8.0,12.0,2011
69.5,38.0,23.0,76.0,66.0,29.0,46.0,38.0,38.0,56.0,60.0,67.5,68.0,65.0,74.0,58.0,38.0,79.5,71.0,72.0,35.0,69.5,66.0,34.0,51.0,27.0,68.0,70.0,68.0,7.0,5.0,11.0,8.0,12.0,2012
68.0,38.0,23.0,73.0,66.0,29.0,46.0,38.0,38.0,56.0,60.0,66.0,68.0,64.0,72.0,58.0,38.0,73.0,71.0,70.0,35.0,68.0,66.0,34.0,51.0,27.0,67.0,70.0,67.0,7.0,5.0,11.0,8.0,12.0,2013
66.67,38.0,23.0,69.33,66.5,29.0,46.0,38.0,38.0,56.0,57.5,66.0,68.0,64.0,58.0,58.0,38.0,68.83,71.0,70.0,35.0,68.0,63.0,26.0,42.0,27.0,66.17,70.17,67.5,7.0,5.0,11.0,8.0,12.0,2014
71.0,39.0,24.0,72.0,71.0,30.0,47.0,39.0,39.0,61.0,59.0,65.0,67.0,64.0,59.0,58.0,39.0,70.0,71.0,70.0,36.0,69.0,64.0,27.0,43.0,28.0,76.0,77.0,73.0,8.0,6.0,12.0,9.0,13.0,2015
72.0,39.0,29.0,74.0,71.0,30.0,47.0,39.0,39.0,61.0,59.0,65.0,67.0,64.0,59.0,58.0,56.0,70.0,71.0,73.0,41.0,69.0,68.0,27.0,43.0,28.0,76.0,77.0,73.0,8.0,6.0,12.0,9.0,13.0,2016
