overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
46.0,42.0,60.0,66.0,45.0,56.0,61.0,72.0,65.0,42.0,50.0,46.0,46.0,76.0,52.0,81.0,68.0,71.0,30.0,27.0,59.0,38.0,31.0,30.0,50.0,26.0,44.0,52.0,49.0,3.0,22.0,42.0,22.0,22.0,2007
46.0,42.0,60.0,66.0,45.0,56.0,61.0,72.0,65.0,42.0,50.0,46.0,46.0,76.0,52.0,81.0,68.0,71.0,30.0,27.0,59.0,38.0,31.0,30.0,50.0,26.0,44.0,52.0,49.0,3.0,22.0,42.0,22.0,22.0,2008
62.0,57.0,60.0,51.0,66.0,56.0,66.0,72.0,65.0,52.0,62.0,66.0,72.0,76.0,64.0,81.0,68.0,71.0,52.0,47.0,59.0,38.0,31.0,52.0,50.0,26.0,24.0,32.0,49.0,3.0,22.0,52.0,22.0,22.0,2009
64.0,62.0,60.0,51.0,66.0,56.0,66.0,72.0,65.0,58.0,62.0,77.0,82.0,76.0,55.0,81.0,68.0,71.0,72.0,55.0,59.0,42.0,48.0,60.0,50.0,50.0,53.0,52.0,49.0,8.0,10.0,15.0,13.0,5.0,2010
64.0,62.0,60.0,51.0,66.0,56.0,66.0,72.0,65.0,58.0,62.0,77.0,82.0,76.0,55.0,81.0,68.0,71.0,72.0,55.0,59.0,42.0,48.0,60.0,50.0,50.0,53.0,52.0,49.0,8.0,10.0,15.0,13.0,5.0,2011
65.0,62.5,60.5,57.0,66.0,58.5,67.0,72.0,66.0,56.0,62.0,85.0,91.0,82.0,56.5,79.0,65.0,71.0,73.0,50.0,57.0,57.0,39.5,59.0,54.5,50.0,42.5,42.5,40.0,8.0,10.0,15.0,13.0,5.0,2012
64.17,63.5,56.0,62.0,64.0,61.0,67.5,67.0,66.0,55.0,62.0,85.0,91.0,82.0,59.17,79.0,62.0,71.0,73.17,50.0,57.0,57.17,45.33,59.0,58.0,50.0,53.0,54.0,48.5,8.0,10.0,15.0,13.0,5.0,2013
66.83,66.33,56.0,62.5,66.33,61.0,68.33,67.33,66.0,58.5,66.17,85.0,89.0,80.0,65.5,79.33,62.0,71.0,74.67,57.0,57.0,60.0,65.83,61.67,59.67,50.33,67.0,65.33,63.33,8.0,10.0,15.0,13.0,5.0,2014
71.44,71.33,54.22,65.67,69.78,60.56,72.22,68.56,66.22,65.0,70.22,85.78,88.0,78.11,70.22,78.33,62.0,72.67,78.33,62.0,58.78,61.22,68.67,68.22,60.0,52.22,73.0,70.0,68.44,8.22,10.22,15.22,13.22,5.22,2015
74.0,76.0,54.0,68.0,70.0,59.0,73.0,71.0,68.5,66.0,71.0,85.0,86.0,77.0,74.0,76.0,62.0,76.0,83.0,62.0,60.0,62.0,65.0,67.0,59.0,53.0,72.0,71.0,71.0,9.0,11.0,16.0,14.0,6.0,2016
