overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
59.0,38.5,63.5,56.0,47.0,48.0,57.0,52.0,44.5,31.0,55.5,65.0,65.5,68.0,66.0,67.0,54.5,69.0,58.0,55.0,49.0,55.0,16.0,60.0,47.0,54.5,25.0,34.0,35.0,9.0,14.0,31.0,13.0,13.5,2007
63.0,23.0,72.0,61.0,47.0,48.0,59.0,52.0,32.0,35.0,66.0,71.0,70.0,68.0,57.0,67.0,64.0,69.0,54.0,67.0,51.0,60.0,35.0,63.0,47.0,58.0,25.0,34.0,35.0,9.0,21.0,35.0,21.0,21.0,2008
63.0,23.0,72.0,61.0,47.0,48.0,59.0,52.0,32.0,35.0,66.0,71.0,70.0,68.0,57.0,67.0,64.0,69.0,54.0,67.0,51.0,60.0,35.0,63.0,47.0,58.0,25.0,34.0,35.0,9.0,21.0,35.0,21.0,21.0,2009
64.5,29.5,72.5,62.5,47.0,48.0,59.0,52.0,32.0,35.0,66.0,72.5,73.5,68.0,59.0,67.0,65.0,69.0,63.5,68.5,59.5,60.0,28.0,66.5,47.0,57.5,25.0,34.0,35.0,9.5,14.0,24.0,16.5,13.5,2010
73.0,46.0,75.5,76.5,60.0,51.5,66.0,54.0,32.0,50.0,70.5,75.0,77.0,69.0,72.0,63.0,78.5,69.5,79.0,88.0,68.5,63.0,21.0,76.5,70.0,68.5,25.0,34.0,35.0,10.0,7.0,13.0,12.0,6.0,2011
75.0,54.0,79.5,78.0,64.5,57.0,67.0,56.0,32.0,60.5,71.5,77.0,78.0,68.0,74.0,54.0,79.5,71.0,82.0,81.0,71.5,63.0,21.0,78.5,74.0,71.0,28.5,38.0,35.5,10.0,7.0,13.0,12.0,6.0,2012
74.5,62.0,77.83,76.17,66.17,59.0,68.0,56.0,32.0,63.0,72.17,65.5,69.33,67.17,74.0,55.0,79.17,72.0,83.0,76.17,73.83,63.0,21.0,81.0,61.83,72.0,32.0,38.0,36.0,10.0,7.0,13.0,12.0,6.0,2013
70.67,62.0,74.67,68.33,67.0,59.0,68.0,56.0,32.0,63.0,72.0,56.67,62.33,63.0,74.0,55.0,74.33,64.0,83.0,75.0,69.33,63.0,21.0,77.33,59.0,72.0,32.0,38.0,36.0,10.0,7.0,13.0,12.0,6.0,2014
70.0,62.25,74.25,65.25,67.25,59.25,68.25,56.25,32.25,63.25,71.25,50.25,56.5,63.0,74.25,55.0,73.25,60.0,83.0,75.0,68.25,63.25,21.25,76.25,59.25,72.25,32.25,38.25,36.25,10.25,7.25,13.25,12.25,6.25,2015
70.0,63.0,74.0,66.0,68.0,60.0,69.0,57.0,33.0,64.0,71.0,51.0,55.0,63.0,75.0,55.0,74.0,60.0,83.0,75.0,69.0,64.0,22.0,77.0,60.0,73.0,33.0,39.0,37.0,11.0,8.0,14.0,13.0,7.0,2016
