overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
57.0,35.0,24.0,35.0,27.0,29.0,23.0,42.0,45.0,49.0,36.0,61.0,60.0,62.0,59.0,71.0,45.0,75.0,62.0,68.0,25.0,63.0,52.0,45.0,28.0,62.0,26.0,23.0,36.0,57.0,56.0,49.0,47.0,61.0,2007
60.0,40.0,29.0,40.0,32.0,29.0,28.0,42.0,50.0,55.0,41.0,61.0,60.0,62.0,59.0,71.0,50.0,75.0,62.0,68.0,30.0,68.0,57.0,50.0,28.0,67.0,31.0,28.0,36.0,63.0,57.0,55.0,59.0,61.0,2008
60.0,40.0,29.0,31.0,32.0,29.0,28.0,42.0,31.5,55.0,41.0,61.0,60.0,62.0,59.0,71.0,50.0,75.0,62.0,68.0,30.0,68.0,57.0,50.0,28.0,67.0,31.0,28.0,36.0,63.0,57.0,55.0,59.0,61.0,2009
64.0,30.5,21.0,18.5,32.0,29.0,28.0,42.0,13.0,47.0,38.0,61.0,59.0,62.0,61.5,71.0,50.0,75.0,63.5,71.0,21.5,68.0,40.0,31.5,28.0,52.5,17.0,28.0,36.0,65.5,60.5,64.5,63.5,65.0,2010
65.5,14.5,13.0,15.0,32.0,15.0,13.0,14.0,13.0,36.0,35.0,61.0,58.0,62.0,64.0,62.5,42.5,75.0,52.0,74.0,13.0,68.0,23.0,13.0,23.0,33.5,12.0,13.0,13.0,64.0,64.0,72.0,66.0,66.0,2011
71.0,8.0,13.0,15.0,32.0,15.0,13.0,14.0,13.0,33.0,35.0,61.0,58.0,62.0,64.0,43.0,35.0,75.0,52.0,74.0,13.0,68.0,23.0,13.0,18.0,29.0,12.0,13.0,13.0,71.0,72.0,70.5,70.5,72.0,2012
71.33,13.67,17.0,18.33,32.0,18.33,17.0,17.67,17.0,33.0,34.0,57.67,53.33,58.0,64.0,43.0,35.0,69.33,45.0,68.0,17.0,54.67,23.67,17.0,20.33,29.0,16.33,17.0,17.0,74.67,68.0,72.0,69.67,75.0,2013
71.0,25.0,25.0,25.0,32.0,25.0,25.0,25.0,25.0,33.0,32.0,41.0,44.0,50.0,61.67,43.0,35.0,58.0,31.0,56.0,25.0,28.0,25.0,25.0,25.0,29.0,25.0,25.0,25.0,74.67,67.0,71.0,70.0,75.0,2014
71.33,20.33,21.33,22.0,32.33,22.0,21.33,21.67,21.33,33.33,32.33,41.0,44.0,50.0,65.33,43.0,35.33,58.0,31.0,58.67,21.33,28.33,22.67,20.33,20.33,29.33,21.0,21.33,21.33,74.33,69.0,73.33,69.0,74.67,2015
72.25,11.0,14.0,16.0,33.0,16.0,14.0,15.0,14.0,34.0,33.0,41.0,44.0,50.0,66.0,43.0,36.0,58.0,31.0,60.0,14.0,29.0,18.0,11.0,38.0,30.0,13.0,14.0,14.0,75.75,70.75,74.25,70.0,76.0,2016
