overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
55.0,52.0,38.0,35.0,52.0,41.0,28.0,45.0,46.0,50.0,47.0,68.0,65.0,64.0,68.0,65.0,31.0,66.0,65.0,64.0,32.0,66.0,54.0,47.0,64.0,44.0,53.0,54.0,65.0,1.0,21.0,50.0,21.0,21.0,2007
55.0,52.0,38.0,35.0,52.0,41.0,28.0,45.0,46.0,50.0,47.0,68.0,65.0,64.0,68.0,65.0,31.0,66.0,65.0,64.0,32.0,66.0,54.0,47.0,64.0,44.0,53.0,54.0,65.0,1.0,21.0,50.0,21.0,21.0,2008
62.0,49.0,33.0,58.0,60.0,41.0,53.0,45.0,46.0,58.0,63.0,68.0,65.0,64.0,67.0,65.0,57.0,66.0,67.0,64.0,49.0,66.0,62.0,64.0,64.0,60.0,62.0,57.0,65.0,1.0,21.0,58.0,21.0,21.0,2009
65.0,53.0,33.0,64.0,64.0,41.0,53.0,45.0,46.0,62.0,63.0,63.0,68.0,64.0,67.0,65.0,57.0,66.0,71.0,67.0,49.0,66.0,64.0,55.5,64.0,57.0,64.0,66.0,65.0,6.5,17.0,38.5,14.5,16.0,2010
67.5,54.5,35.5,65.5,67.5,53.0,54.5,48.0,49.5,64.0,65.0,64.5,66.0,66.0,70.5,66.0,64.0,69.5,73.5,67.5,57.5,67.5,71.0,47.0,65.0,50.5,65.5,68.5,66.5,12.0,13.0,15.0,8.0,11.0,2011
70.0,56.0,38.0,67.0,71.0,65.0,56.0,51.0,53.0,66.0,67.0,66.0,64.0,68.0,74.0,67.0,71.0,73.0,76.0,68.0,66.0,69.0,76.0,46.0,66.0,54.0,67.0,71.0,68.0,12.0,13.0,15.0,8.0,11.0,2012
69.0,56.0,38.0,67.0,69.0,65.0,56.0,51.0,53.0,66.0,63.0,66.0,61.0,68.0,72.0,59.0,71.0,72.12,76.0,68.0,66.0,68.0,76.0,46.0,66.0,54.0,64.0,71.0,68.0,12.0,13.0,15.0,8.0,11.0,2013
68.0,56.0,38.0,67.0,68.0,65.0,56.0,51.0,53.0,66.0,63.0,62.0,56.0,60.0,67.0,60.0,70.5,67.0,73.0,68.0,65.5,68.0,76.0,46.0,63.5,54.0,64.0,69.5,66.0,12.0,13.0,15.0,8.0,11.0,2014
67.0,53.0,38.33,68.17,66.67,63.67,53.83,55.5,53.33,63.5,63.33,58.0,56.33,60.0,66.33,62.67,70.33,64.5,73.0,68.0,64.5,68.33,74.67,46.33,57.83,56.0,63.5,68.33,66.33,12.33,13.33,15.33,8.33,11.33,2015
68.0,53.0,39.0,69.0,67.0,64.0,54.0,57.0,54.0,64.0,64.0,58.0,53.0,60.0,67.0,63.0,71.0,64.0,73.0,69.0,65.0,69.0,75.0,47.0,57.0,57.0,64.0,69.0,67.0,13.0,14.0,16.0,9.0,12.0,2016
