overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
69.0,20.0,20.0,20.0,32.0,11.0,20.0,9.0,24.0,74.0,31.0,38.0,44.0,32.0,57.0,28.0,50.0,42.0,53.0,58.0,20.0,20.0,20.0,12.0,29.0,28.0,23.0,31.0,43.0,67.0,66.0,74.0,72.0,73.0,2007
69.0,20.0,20.0,20.0,32.0,11.0,20.0,9.0,24.0,74.0,31.0,38.0,44.0,32.0,57.0,28.0,50.0,42.0,53.0,58.0,20.0,20.0,20.0,12.0,29.0,28.0,23.0,31.0,43.0,67.0,66.0,74.0,72.0,73.0,2008
75.0,20.0,20.0,20.0,36.0,11.0,20.0,9.0,24.0,75.0,31.0,38.0,34.0,32.0,37.0,28.0,50.0,42.0,53.0,38.0,20.0,20.0,20.0,12.0,29.0,28.0,23.0,31.0,43.0,78.5,75.0,75.0,75.0,80.0,2009
76.0,10.0,15.0,14.0,40.0,11.0,11.0,9.0,24.0,45.0,31.0,38.0,34.0,32.0,37.0,28.0,50.0,42.0,53.0,38.0,12.0,19.0,24.0,15.0,29.0,57.0,23.0,31.0,43.0,80.0,77.0,76.0,75.0,80.0,2010
77.0,10.0,11.0,14.0,37.5,11.0,9.5,11.5,18.0,31.0,31.0,56.0,35.0,30.0,37.0,50.0,42.0,51.0,54.0,38.0,10.0,19.0,24.0,15.0,29.0,37.5,9.0,12.0,11.0,81.0,79.0,77.0,75.0,82.0,2011
77.0,10.0,7.0,14.0,35.0,11.0,8.0,9.0,12.0,31.0,31.0,34.0,34.0,30.0,37.0,50.0,34.0,46.0,54.0,38.0,8.0,19.0,24.0,15.0,29.0,25.0,9.0,12.0,11.0,81.0,79.0,77.0,75.0,82.0,2012
76.57,12.14,9.57,15.57,35.0,13.0,10.43,11.29,13.86,31.0,31.0,34.0,34.0,30.0,52.14,50.0,34.0,46.0,50.43,38.0,10.43,19.86,24.0,16.43,28.43,25.0,11.29,13.86,13.0,81.0,77.14,77.0,72.0,82.0,2013
76.25,25.0,25.0,25.0,35.0,25.0,25.0,25.0,25.0,31.0,31.0,34.0,34.0,37.0,61.0,50.0,34.0,60.5,29.0,38.0,25.0,25.0,24.0,25.0,25.0,25.0,25.0,25.0,25.0,81.5,70.0,77.0,73.75,83.0,2014
77.67,15.67,15.0,18.33,35.67,16.33,16.33,15.0,17.0,31.67,31.67,34.0,34.0,44.0,69.67,50.0,34.67,75.0,29.0,38.0,16.33,21.67,24.67,19.0,35.0,25.67,15.0,17.0,16.33,82.67,70.67,77.67,76.67,83.67,2015
78.0,11.0,10.0,15.0,36.0,12.0,12.0,10.0,13.0,32.0,32.0,34.0,34.0,44.0,70.0,50.0,35.0,75.0,29.0,38.0,12.0,20.0,25.0,16.0,40.0,26.0,10.0,13.0,12.0,83.0,71.0,78.0,77.0,84.0,2016
