overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
46.0,42.0,22.0,22.0,45.0,20.0,22.0,20.0,12.0,44.0,22.0,44.0,45.0,46.0,54.0,48.0,22.0,46.0,43.0,51.0,22.0,49.0,26.0,36.0,26.0,38.0,39.0,37.0,30.0,49.0,50.0,44.0,44.0,42.0,2007
46.0,42.0,22.0,22.0,45.0,20.0,22.0,20.0,12.0,44.0,22.0,44.0,45.0,46.0,54.0,48.0,22.0,46.0,43.0,51.0,22.0,49.0,26.0,36.0,26.0,38.0,39.0,37.0,30.0,49.0,50.0,44.0,44.0,42.0,2008
61.0,42.0,22.0,22.0,45.0,20.0,22.0,20.0,12.0,50.0,22.0,44.0,45.0,46.0,54.0,48.0,22.0,46.0,43.0,51.0,22.0,49.0,26.0,36.0,26.0,38.0,39.0,37.0,30.0,63.0,65.0,50.0,60.0,63.0,2009
59.5,26.5,16.5,17.5,45.0,20.0,20.5,20.0,12.0,47.5,22.0,44.0,45.0,46.0,54.0,48.0,16.5,46.0,43.0,52.0,20.0,49.0,23.5,24.0,26.0,49.0,17.0,37.0,30.0,62.5,63.5,51.0,58.5,58.5,2010
61.5,14.0,11.0,13.0,35.0,13.0,19.0,14.0,12.0,35.0,22.0,54.0,55.0,46.0,54.0,41.0,11.0,46.0,41.0,53.0,18.0,49.0,21.0,12.0,26.0,33.0,12.0,12.0,13.0,65.0,63.0,57.0,62.0,59.0,2011
63.0,14.0,11.0,13.0,35.0,13.0,19.0,14.0,12.0,35.0,22.0,54.0,55.0,46.0,58.0,34.0,11.0,46.0,31.0,64.0,18.0,49.0,21.0,12.0,26.0,26.0,12.0,12.0,13.0,66.0,63.0,58.0,62.0,61.0,2012
65.0,17.14,15.0,16.43,35.0,16.43,20.71,17.14,15.71,35.0,22.0,54.0,44.71,46.0,63.0,34.0,15.0,46.0,31.0,64.0,20.0,26.71,21.0,15.71,16.57,42.0,15.71,15.71,16.43,66.71,64.14,63.0,61.71,68.0,2013
66.0,25.0,25.0,25.0,35.0,25.0,25.0,25.0,25.0,35.0,22.0,54.0,43.0,46.0,63.0,34.0,25.0,46.0,31.0,64.0,25.0,23.0,21.0,25.0,25.0,42.0,25.0,25.0,25.0,71.0,65.0,64.0,61.0,69.0,2014
68.25,17.5,15.25,16.75,35.75,16.75,21.25,17.5,16.0,35.75,22.75,54.0,45.25,48.0,63.75,34.0,15.25,46.0,31.0,64.0,20.5,23.75,21.75,16.0,31.0,42.75,16.0,16.0,16.75,72.75,66.25,64.75,64.25,71.25,2015
70.0,15.0,12.0,14.0,36.0,14.0,20.0,15.0,13.0,36.0,23.0,54.0,46.0,50.0,64.0,34.0,12.0,46.0,31.0,64.0,19.0,24.0,22.0,13.0,31.0,43.0,13.0,13.0,14.0,75.0,68.0,65.0,66.0,77.0,2016
