overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
64.0,56.0,69.0,74.0,46.0,89.0,62.0,70.0,54.0,58.0,68.0,51.0,59.0,76.0,64.0,84.0,49.0,81.0,84.0,62.0,43.0,36.0,74.0,87.0,76.0,56.0,36.0,47.0,16.0,11.0,20.0,58.0,20.0,20.0,2007
70.0,59.0,77.0,74.0,68.0,89.0,67.0,70.0,54.0,48.0,68.0,73.0,74.0,76.0,66.0,84.0,71.0,81.0,74.0,62.0,67.0,46.0,64.0,77.0,76.0,56.0,20.0,22.0,16.0,5.0,20.0,48.0,20.0,20.0,2008
80.5,68.5,86.5,79.0,76.0,89.0,78.0,70.0,54.0,52.5,78.5,79.0,80.5,76.0,80.5,84.0,82.5,81.0,69.0,70.5,76.5,49.0,67.5,81.0,76.0,67.0,20.0,22.0,16.0,5.0,20.0,52.5,20.0,20.0,2009
84.5,70.0,90.5,79.0,78.0,89.0,81.5,70.0,54.0,57.0,85.0,79.0,82.0,76.0,86.5,84.0,87.0,81.0,73.0,77.5,85.0,52.0,61.0,84.0,76.0,76.0,15.5,22.0,16.0,7.0,15.5,35.0,17.5,17.5,2010
84.0,70.5,88.0,80.0,76.5,86.5,82.0,70.0,54.0,56.5,85.0,76.5,80.0,71.5,85.0,63.0,88.0,71.0,74.0,78.0,84.5,51.5,50.5,82.0,75.5,74.0,11.0,28.0,16.0,9.0,11.0,13.0,15.0,15.0,2011
83.0,70.0,84.0,80.0,76.0,84.0,82.0,70.0,54.0,59.0,85.0,69.0,74.0,62.5,83.0,59.0,88.0,59.0,73.5,80.5,84.0,51.0,50.0,82.0,75.0,74.0,11.0,28.0,16.0,9.0,11.0,13.0,15.0,15.0,2012
83.0,70.0,84.0,80.0,72.67,84.0,82.0,70.0,54.0,59.0,84.0,69.0,74.0,58.0,81.33,59.0,88.0,57.0,72.5,79.0,84.0,51.0,50.0,82.0,75.0,74.0,13.33,28.0,17.5,9.0,11.0,13.0,15.0,15.0,2013
83.0,65.33,84.0,80.0,71.67,84.0,82.0,70.0,54.0,59.0,82.67,68.83,72.67,58.0,81.0,61.0,88.0,62.17,72.0,79.67,81.17,51.0,50.0,84.0,75.5,74.0,25.0,28.0,25.0,9.0,11.0,13.0,15.0,15.0,2014
81.0,63.0,84.0,81.0,72.0,84.0,74.0,70.0,54.0,59.0,78.0,68.0,65.0,58.0,81.0,42.0,88.0,66.0,72.0,80.0,81.0,51.0,50.0,85.0,70.0,74.0,11.0,28.0,16.0,9.0,11.0,13.0,15.0,15.0,2015
80.0,63.0,81.83,80.0,72.0,76.0,74.0,67.5,54.0,59.0,78.0,68.0,65.0,58.0,78.0,42.0,86.67,66.0,72.0,80.0,75.67,51.0,50.0,84.0,70.0,72.67,11.0,28.0,16.0,9.0,11.0,13.0,15.0,15.0,2016
