overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
58.0,53.0,55.0,34.0,31.0,56.0,34.0,66.0,40.0,48.0,61.0,60.0,63.0,80.0,51.0,74.0,64.0,73.0,58.0,74.0,24.0,63.0,63.0,62.0,67.0,56.0,21.0,32.0,29.0,12.0,21.0,48.0,21.0,21.0,2007
68.0,63.0,65.0,49.0,57.0,56.0,70.0,66.0,52.0,59.0,70.0,78.0,79.0,80.0,60.0,74.0,66.0,73.0,75.0,78.0,57.0,68.0,68.0,65.0,67.0,63.0,23.0,32.0,29.0,12.0,21.0,59.0,21.0,21.0,2008
73.5,70.0,69.5,51.5,62.0,56.0,77.0,66.0,53.5,61.5,71.5,85.0,87.0,80.0,68.5,74.0,74.0,73.0,76.5,82.0,59.5,71.0,70.0,68.0,67.0,66.0,38.5,36.0,29.0,12.0,21.0,61.5,21.0,21.0,2009
74.5,72.0,70.5,54.0,67.0,56.0,74.5,66.0,55.0,62.0,74.0,87.0,89.0,80.0,75.0,74.0,77.0,73.0,68.0,77.0,62.0,74.0,53.5,71.5,67.0,66.0,20.0,26.0,29.0,11.5,17.5,38.0,17.5,17.5,2010
74.0,73.5,62.0,54.0,67.0,56.0,72.0,66.0,78.0,63.0,75.0,89.0,91.0,82.5,75.0,79.0,86.0,77.5,74.5,76.0,66.0,74.0,54.0,72.5,62.0,63.0,41.5,49.0,52.5,11.0,14.0,14.0,14.0,14.0,2011
74.0,76.5,59.5,51.0,68.0,56.0,70.5,66.0,78.0,65.0,76.0,91.0,93.0,85.0,75.0,84.0,86.0,82.0,84.0,75.0,70.0,74.0,71.0,75.5,57.0,63.0,61.5,72.0,77.5,11.0,14.0,14.0,14.0,14.0,2012
76.5,79.0,62.75,48.0,69.0,56.0,73.0,66.0,78.0,74.0,78.0,87.0,90.0,85.0,83.0,84.0,86.0,86.0,91.0,77.0,78.0,76.0,74.5,82.0,66.0,63.0,65.75,70.5,81.25,11.0,14.0,14.0,14.0,14.0,2013
76.25,79.0,62.0,53.25,69.0,56.0,73.0,66.0,78.0,74.0,77.5,85.5,88.75,82.0,80.25,79.5,86.5,85.25,91.0,76.75,81.5,76.5,74.25,79.5,65.5,63.0,68.0,72.25,80.75,11.0,14.0,14.0,14.0,14.0,2014
75.08,75.25,61.33,58.25,69.0,59.83,71.25,66.33,72.17,72.08,74.75,79.42,84.42,75.0,75.42,78.0,87.92,75.17,86.17,78.33,86.08,85.75,74.33,72.08,61.33,63.33,69.17,74.42,79.42,11.33,14.33,14.33,14.33,14.33,2015
77.0,75.0,60.0,66.0,69.0,63.0,71.0,67.0,69.0,64.0,75.0,78.0,85.0,75.0,76.0,71.0,89.0,73.0,84.0,80.0,88.0,87.0,75.0,72.0,59.0,64.0,73.0,77.0,82.0,12.0,15.0,15.0,15.0,15.0,2016
