overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
63.5,40.5,60.0,63.0,49.5,69.0,65.0,67.0,49.5,21.5,62.5,66.0,67.0,91.0,65.0,75.0,64.0,60.0,64.0,61.0,63.0,51.0,58.0,63.0,77.0,58.0,20.5,23.0,24.0,12.0,14.0,21.5,17.5,14.5,2007
68.0,71.0,60.0,63.0,58.0,69.0,76.0,67.0,41.0,41.0,75.0,77.0,74.0,91.0,65.0,75.0,64.0,60.0,64.0,61.0,63.0,51.0,58.0,63.0,77.0,58.0,28.0,23.0,24.0,12.0,23.0,41.0,23.0,23.0,2008
77.5,76.0,71.5,61.5,70.0,69.0,84.0,67.0,41.0,62.0,80.0,89.0,90.0,91.0,71.0,75.0,64.0,60.0,69.0,60.0,63.0,47.5,64.5,69.0,77.0,63.0,23.0,23.0,24.0,12.0,23.0,62.0,23.0,23.0,2009
79.5,76.5,74.0,60.0,75.0,69.0,86.5,67.0,46.0,63.0,81.0,88.5,90.5,91.0,74.5,75.0,71.0,60.0,74.0,60.5,63.0,44.0,52.5,74.0,77.0,63.5,20.5,23.0,24.0,11.0,17.5,32.5,18.5,15.0,2010
79.0,76.0,73.0,60.0,76.0,69.0,87.0,67.0,51.0,65.0,81.0,90.5,91.5,91.5,77.0,78.0,72.5,67.5,72.5,62.5,63.0,44.0,37.0,78.0,76.0,64.0,18.0,23.0,24.0,10.0,12.0,5.0,14.0,7.0,2011
78.0,74.0,71.0,60.0,75.0,75.0,87.0,73.0,51.0,63.5,81.0,92.0,91.5,89.0,77.0,81.0,75.0,68.0,67.0,58.0,61.0,44.0,37.0,76.0,75.5,64.0,18.0,34.0,35.0,10.0,12.0,5.0,14.0,7.0,2012
76.71,72.0,59.14,58.71,74.14,71.43,87.0,73.0,51.0,61.71,79.71,92.0,91.0,86.71,74.71,81.0,71.86,68.0,66.14,58.86,60.14,44.86,33.57,73.71,74.14,64.0,21.0,31.86,32.0,10.0,12.0,5.0,14.0,7.0,2013
75.7,71.1,58.0,58.0,73.4,68.0,86.3,73.0,51.0,60.0,77.1,92.0,90.7,85.0,74.0,81.0,69.0,68.0,69.8,61.5,59.0,52.5,31.0,71.9,72.6,64.0,23.0,30.0,29.0,10.0,12.0,5.0,14.0,7.0,2014
75.17,68.17,58.17,58.17,72.17,68.17,86.17,73.17,51.17,60.17,77.17,92.0,88.0,85.0,73.67,81.0,69.67,68.0,72.0,62.0,61.83,55.17,31.17,70.0,69.5,64.17,21.17,31.17,29.17,10.17,12.17,5.17,14.17,7.17,2015
75.0,65.0,56.0,59.0,73.0,69.0,86.0,74.0,52.0,61.0,78.0,92.0,88.0,85.0,72.0,81.0,73.0,68.0,72.0,62.0,64.0,56.0,32.0,70.0,67.0,65.0,22.0,32.0,30.0,11.0,13.0,6.0,15.0,8.0,2016
