overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
74.0,68.5,50.5,72.5,66.0,40.0,62.5,65.0,55.5,61.0,66.5,78.0,79.5,61.0,77.5,76.0,66.0,78.0,80.5,76.5,66.0,79.0,78.0,81.0,72.0,73.5,78.0,76.5,75.0,14.0,17.5,61.0,15.0,17.5,2007
76.0,70.0,66.0,78.0,72.0,40.0,60.0,65.0,50.0,61.0,68.0,76.0,79.0,61.0,77.0,76.0,71.0,78.0,77.0,75.0,66.0,77.0,78.0,80.0,72.0,74.0,78.0,78.0,75.0,14.0,25.0,61.0,25.0,25.0,2008
77.0,62.0,26.0,78.0,70.0,40.0,60.0,65.0,50.0,61.0,68.0,76.0,79.0,61.0,81.0,76.0,65.0,78.0,77.0,81.0,61.0,77.0,78.0,80.0,72.0,70.0,81.0,82.0,75.0,14.0,25.0,61.0,25.0,25.0,2009
76.0,62.0,26.0,78.0,70.0,40.0,54.0,65.0,50.0,61.0,64.0,75.0,77.0,61.0,75.0,76.0,60.0,78.0,75.0,79.0,56.0,75.0,76.0,40.0,72.0,59.0,81.0,81.0,75.0,9.0,10.0,10.0,11.0,15.0,2010
73.0,72.0,26.0,70.0,70.0,40.0,50.0,60.0,50.0,61.0,60.0,68.5,69.5,61.0,72.0,69.5,60.0,78.0,68.5,78.0,56.0,75.0,76.0,40.0,57.0,59.0,80.0,78.0,74.0,9.0,10.0,10.0,11.0,15.0,2011
72.5,72.0,26.0,74.0,70.0,40.0,50.0,60.0,50.0,61.0,60.0,68.0,61.0,61.0,72.0,62.0,60.0,78.0,64.0,76.5,56.0,75.0,76.0,40.0,42.0,59.0,80.0,78.0,74.0,9.0,10.0,10.0,11.0,15.0,2012
72.8,69.6,26.0,74.0,70.0,36.8,48.6,60.0,40.4,60.6,59.2,65.4,55.8,61.0,71.6,62.0,58.6,77.2,64.0,75.6,45.6,75.4,76.0,38.4,40.0,59.0,77.0,75.8,72.8,9.0,10.0,10.0,11.0,15.0,2013
75.43,58.14,25.57,75.29,59.57,30.14,49.57,59.57,36.14,59.57,63.86,53.57,56.71,50.0,71.86,62.0,55.57,74.0,64.0,76.29,38.0,73.86,81.29,34.14,38.14,54.29,78.57,79.29,77.29,8.57,9.57,9.57,10.57,14.57,2014
78.0,55.0,16.0,78.0,59.0,27.0,45.0,60.0,33.0,59.0,61.0,55.0,55.0,54.0,75.0,68.0,56.0,78.0,64.0,78.0,39.0,78.0,85.0,31.0,31.0,49.0,81.0,81.0,77.0,9.0,10.0,10.0,11.0,15.0,2015
77.25,55.0,16.0,78.0,59.0,27.0,45.0,60.0,33.0,59.0,61.0,55.0,55.0,54.0,75.0,68.0,56.0,78.0,64.0,78.0,39.0,78.0,85.0,31.0,31.0,49.0,79.5,81.0,77.0,9.0,10.0,10.0,11.0,15.0,2016
