overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
47.0,22.0,22.0,22.0,22.0,11.0,22.0,22.0,12.0,53.0,22.0,28.0,28.0,37.0,37.0,21.0,45.0,73.0,22.0,22.0,22.0,23.0,14.0,11.0,18.0,24.0,22.0,22.0,11.0,49.0,44.0,53.0,44.0,53.0,2007
47.0,22.0,22.0,22.0,22.0,11.0,22.0,22.0,12.0,53.0,22.0,28.0,28.0,37.0,37.0,21.0,45.0,73.0,22.0,22.0,22.0,23.0,14.0,11.0,18.0,24.0,22.0,22.0,11.0,49.0,44.0,53.0,44.0,53.0,2008
51.0,22.0,22.0,22.0,22.0,11.0,22.0,22.0,12.0,55.0,22.0,28.0,28.0,37.0,37.0,21.0,45.0,73.0,23.0,22.0,22.0,23.0,14.0,11.0,18.0,24.0,22.0,22.0,11.0,52.5,52.0,55.0,51.0,53.0,2009
66.0,27.0,13.0,12.0,19.0,11.0,7.0,22.0,12.0,26.0,17.0,28.0,28.0,37.0,37.0,21.0,45.0,73.0,56.0,69.0,14.0,57.0,28.0,12.0,18.0,12.0,9.0,10.0,11.0,66.0,74.0,51.0,68.0,65.0,2010
68.5,11.0,13.0,12.0,19.0,11.0,12.0,15.5,12.0,26.0,17.0,28.0,28.0,37.0,37.0,31.0,39.5,73.0,56.0,69.0,14.0,57.0,28.0,12.0,18.0,12.0,14.0,10.0,11.0,68.0,77.0,54.0,71.0,68.0,2011
66.5,11.0,13.0,12.0,19.0,11.0,12.0,9.0,12.0,26.0,17.0,28.0,28.0,37.0,37.0,41.0,34.0,73.0,56.0,79.0,14.0,57.0,25.0,12.0,18.0,12.0,14.0,10.0,11.0,65.0,74.0,52.5,70.0,66.5,2012
68.2,13.8,15.4,14.6,20.2,13.8,14.6,12.2,14.6,26.0,18.6,28.0,28.0,33.4,57.6,31.1,35.0,58.6,39.2,64.9,16.2,47.2,22.0,14.6,19.4,59.2,16.2,13.0,13.8,71.3,71.6,52.8,64.6,71.5,2013
72.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.71,25.0,28.0,28.0,33.0,62.14,30.0,43.71,57.0,39.0,64.0,25.0,29.71,21.71,25.0,25.0,61.71,25.0,25.0,25.0,75.86,71.29,63.43,70.0,76.29,2014
73.0,11.0,13.0,12.0,19.0,11.0,12.0,13.0,12.0,26.0,17.0,28.0,28.0,33.0,68.0,30.0,24.0,57.0,39.0,64.0,15.0,30.0,22.0,12.0,42.0,22.0,14.0,10.0,11.0,77.0,72.0,65.0,72.0,77.0,2015
74.0,11.0,13.0,12.0,19.0,11.0,12.0,13.0,12.0,26.0,17.0,28.0,28.0,33.0,70.0,30.0,24.0,57.0,39.0,64.0,15.0,30.0,22.0,12.0,42.0,22.0,14.0,10.0,11.0,79.0,70.0,63.0,75.0,79.0,2016
