overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
59.5,56.0,31.0,44.5,61.0,46.0,55.5,42.0,41.0,50.5,61.0,68.0,70.5,74.0,54.0,66.0,59.0,57.0,56.5,62.5,52.0,57.5,56.0,64.0,63.0,47.5,53.5,54.5,70.0,7.0,16.0,50.5,13.5,14.0,2007
60.0,56.0,26.0,51.0,64.0,46.0,62.0,42.0,41.0,52.0,68.0,68.0,72.0,74.0,59.0,66.0,59.0,57.0,59.0,66.0,52.0,67.0,56.0,64.0,63.0,61.0,59.0,57.0,70.0,7.0,20.0,52.0,20.0,20.0,2008
65.0,65.5,45.0,51.0,67.5,46.0,64.5,42.0,41.0,57.5,68.0,73.0,77.0,74.0,61.5,66.0,59.0,57.0,60.0,66.0,52.5,67.0,56.0,64.0,63.0,61.0,59.0,57.0,70.0,7.0,20.0,57.5,20.0,20.0,2009
70.0,71.0,46.0,57.0,69.0,46.0,71.0,42.0,41.0,62.0,70.5,77.0,81.0,74.0,71.0,66.0,65.0,57.0,66.5,67.0,54.5,67.0,66.0,61.0,63.0,59.0,71.5,71.0,70.0,6.5,13.0,35.5,15.5,17.0,2010
69.0,72.0,46.0,59.0,69.0,46.0,71.0,42.0,41.0,62.0,72.0,76.0,79.0,72.0,71.0,72.0,66.0,57.0,67.0,68.0,55.0,67.0,67.0,58.0,54.0,57.0,72.0,71.0,70.0,6.0,6.0,9.0,11.0,14.0,2011
72.5,76.0,52.5,59.0,74.0,47.0,72.5,55.5,41.0,66.5,75.0,77.5,79.0,75.5,74.5,72.5,68.0,57.0,72.0,66.0,55.0,68.0,69.5,67.0,67.5,57.0,67.0,72.5,71.5,6.0,6.0,9.0,11.0,14.0,2012
73.0,78.67,43.5,59.0,76.67,48.0,73.0,59.0,41.0,69.5,76.0,79.67,88.0,76.0,76.0,73.0,68.0,57.0,76.0,64.0,55.0,72.17,66.0,59.5,69.0,52.83,68.0,74.0,73.0,6.0,6.0,9.0,11.0,14.0,2013
73.4,79.0,41.0,59.0,76.2,48.0,74.2,63.0,44.2,70.0,76.4,82.2,88.8,76.0,76.4,72.6,68.0,58.2,76.0,64.4,55.0,73.0,67.4,62.0,69.8,52.0,68.4,74.0,73.0,6.0,6.0,9.0,11.0,14.0,2014
75.43,78.57,41.57,59.57,76.43,48.57,77.71,69.57,49.57,70.43,76.43,84.0,89.43,76.0,77.43,73.71,68.57,64.57,77.14,66.14,55.57,73.57,66.71,71.71,72.43,52.57,69.57,74.57,72.57,6.57,6.57,9.57,11.57,14.57,2015
78.0,79.0,69.0,60.0,79.0,63.0,79.0,70.0,52.0,72.0,77.0,84.0,89.0,76.0,79.0,75.0,69.0,68.0,78.5,67.0,59.0,74.0,65.0,78.0,74.0,53.0,70.0,75.0,73.0,7.0,7.0,10.0,12.0,15.0,2016
