overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
50.0,33.0,41.0,49.0,35.0,43.0,49.0,59.0,45.0,26.0,41.0,71.0,75.0,76.0,77.0,74.0,52.0,68.0,50.0,53.0,44.0,46.0,29.0,31.0,77.0,39.0,21.0,21.0,72.0,3.0,21.0,26.0,21.0,21.0,2007
71.0,66.0,41.0,66.0,76.0,43.0,65.0,59.0,45.0,73.0,69.0,70.0,74.0,76.0,75.0,74.0,52.0,68.0,77.0,67.0,44.0,71.0,67.0,68.0,77.0,69.0,72.0,73.0,72.0,3.0,21.0,73.0,21.0,21.0,2008
74.5,67.0,44.5,66.0,79.0,43.0,66.0,59.0,45.0,73.0,70.5,71.0,74.0,76.0,75.0,74.0,52.0,68.0,77.0,67.0,56.0,75.0,78.0,80.0,77.0,74.0,73.5,75.0,72.0,3.0,21.0,73.0,21.0,21.0,2009
73.5,68.0,48.0,66.0,79.0,43.0,67.0,59.0,45.0,73.0,72.0,72.0,74.0,76.0,75.0,74.0,58.0,68.0,77.0,67.0,64.0,75.0,65.5,56.0,77.0,58.0,75.0,76.0,72.0,4.0,17.5,41.5,16.5,15.0,2010
72.0,68.0,48.0,66.0,79.0,43.0,67.0,59.0,45.0,73.0,72.0,56.0,68.0,76.0,75.0,75.0,58.0,68.0,78.0,67.0,64.0,77.0,53.0,32.0,77.0,42.0,75.0,76.0,72.0,5.0,14.0,10.0,12.0,9.0,2011
72.0,68.0,48.0,66.0,79.0,43.0,67.0,59.0,45.0,73.0,72.0,56.0,68.0,76.0,75.0,75.0,58.0,68.0,78.0,67.0,64.0,77.0,53.0,32.0,77.0,42.0,75.0,76.0,72.0,5.0,14.0,10.0,12.0,9.0,2012
73.0,68.0,53.0,66.0,80.0,43.0,64.0,59.0,45.0,75.0,74.0,68.0,61.0,70.0,75.0,74.0,58.0,65.2,81.2,68.0,65.0,77.0,73.2,54.0,78.0,42.0,74.0,74.2,70.0,5.0,14.0,10.0,12.0,9.0,2013
74.4,68.0,54.2,66.0,80.0,59.2,69.6,59.0,48.6,75.0,74.0,68.0,61.0,70.8,75.0,77.4,70.0,69.2,83.0,69.0,69.8,77.0,75.0,57.0,78.0,47.6,75.0,75.0,70.0,5.0,14.0,10.0,12.0,9.0,2014
75.0,70.5,57.5,66.5,81.0,64.0,71.0,59.5,54.5,74.5,74.5,66.0,61.5,73.5,75.0,78.0,75.0,72.0,82.0,69.0,74.5,82.5,75.5,58.5,78.0,57.5,75.5,75.5,70.0,5.5,14.5,10.5,12.5,9.5,2015
75.5,73.0,58.0,67.0,82.0,67.0,70.0,60.0,55.0,74.0,75.0,64.0,62.0,74.0,75.0,78.0,77.0,73.0,81.0,69.0,75.0,88.0,76.0,61.5,79.0,58.0,76.0,76.0,70.0,6.0,15.0,11.0,13.0,10.0,2016
