overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
71.5,60.0,71.0,65.5,69.0,88.0,69.5,74.0,68.5,42.5,69.5,73.0,70.5,78.0,61.5,72.0,73.0,69.0,70.5,60.5,66.5,54.5,74.0,71.0,73.0,68.5,34.0,41.0,31.0,11.0,17.5,42.5,12.5,15.5,2007
82.0,69.0,84.0,70.0,76.0,88.0,82.0,74.0,78.0,65.0,81.0,88.0,82.0,78.0,80.0,72.0,84.0,69.0,78.0,78.0,94.0,68.0,77.0,79.0,73.0,78.0,29.0,43.0,31.0,11.0,20.0,65.0,20.0,20.0,2008
82.5,71.0,85.0,70.5,76.5,88.0,79.5,74.0,75.0,64.5,83.0,84.0,84.0,78.0,83.0,72.0,85.0,69.0,79.5,77.5,94.0,69.0,79.0,85.0,73.0,83.0,29.0,43.0,31.0,10.5,20.0,64.5,20.0,20.0,2009
81.5,76.0,81.0,73.0,78.0,88.0,79.0,74.0,71.5,65.5,84.0,80.5,80.5,78.0,83.0,72.0,85.5,69.0,78.0,73.5,92.0,66.0,50.0,81.5,73.0,79.0,29.0,39.0,31.0,8.0,13.5,39.0,14.5,14.0,2010
80.5,75.0,82.5,62.0,76.5,90.0,78.5,81.5,65.0,66.5,83.0,77.5,76.5,75.5,81.0,71.5,86.5,69.5,78.0,72.5,90.5,65.0,20.0,84.5,77.5,75.5,29.0,45.0,41.0,6.0,7.0,12.0,9.0,8.0,2011
80.0,70.0,79.0,58.0,76.0,90.0,78.0,84.0,64.5,63.0,84.0,77.0,73.0,75.0,80.5,71.0,86.0,64.0,71.0,76.0,91.5,65.0,20.0,81.0,78.5,77.0,29.0,45.0,41.0,6.0,7.0,12.0,9.0,8.0,2012
80.8,66.2,82.4,68.4,73.2,87.5,73.9,80.8,60.4,63.6,81.8,75.8,71.0,76.9,82.2,74.2,88.0,72.5,66.4,75.8,88.4,52.9,23.4,84.0,69.4,79.8,24.7,26.6,27.4,6.0,7.0,12.0,9.0,8.0,2013
78.36,64.64,80.82,64.45,69.27,85.27,71.73,80.0,64.73,62.91,81.0,77.0,71.18,75.55,73.73,75.0,86.55,70.64,66.73,76.36,89.45,45.18,23.09,82.45,68.91,79.82,25.0,21.55,25.0,5.82,6.82,8.0,6.09,5.64,2014
78.0,65.17,80.5,62.33,68.67,84.17,74.33,78.5,69.67,67.33,80.17,75.33,68.83,80.5,75.33,75.67,86.33,69.17,68.5,78.0,88.17,43.17,25.17,81.5,69.0,79.67,23.33,23.5,23.33,5.17,6.17,4.17,3.17,3.17,2015
78.0,66.0,81.0,60.0,71.0,85.0,75.0,78.5,78.0,71.0,81.0,77.0,69.0,79.0,76.0,75.0,87.0,69.0,69.0,78.0,89.0,44.0,26.0,83.0,71.0,80.0,15.0,21.0,15.0,6.0,7.0,5.0,4.0,4.0,2016
