overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
75.0,24.0,21.0,71.0,62.0,21.0,25.0,47.0,46.0,64.0,67.0,66.0,62.0,61.0,66.0,83.0,33.0,76.0,68.0,77.0,22.0,75.0,64.0,72.0,57.0,70.0,81.0,76.0,74.0,15.0,17.5,64.0,16.5,17.0,2007
74.0,24.0,21.0,71.0,62.0,21.0,25.0,47.0,22.0,64.0,67.0,66.0,62.0,61.0,66.0,83.0,33.0,76.0,68.0,77.0,22.0,75.0,64.0,72.0,57.0,70.0,81.0,76.0,74.0,15.0,20.0,64.0,20.0,20.0,2008
72.0,41.0,21.0,64.5,62.0,21.0,25.0,47.0,22.0,62.5,63.0,63.0,64.0,61.0,71.5,83.0,33.0,76.0,74.5,75.0,22.0,73.5,62.0,71.0,57.0,70.0,76.0,75.0,74.0,15.0,20.0,62.5,20.0,20.0,2009
73.0,58.0,21.0,62.0,62.0,21.0,25.0,47.0,22.0,64.0,63.0,63.0,65.0,61.0,77.0,83.0,33.0,76.0,81.0,76.0,22.0,75.0,70.0,40.0,57.0,35.0,76.0,76.0,74.0,15.0,14.0,7.0,9.0,10.0,2010
71.5,58.0,36.0,62.0,65.0,21.0,41.5,57.0,22.0,64.0,63.0,62.0,65.0,61.0,77.0,77.0,43.0,76.0,81.0,76.0,57.0,75.0,70.0,44.0,57.0,35.0,75.0,75.5,73.5,15.0,14.0,7.0,9.0,10.0,2011
70.0,58.0,51.0,62.0,68.0,21.0,63.0,67.0,22.0,64.0,66.0,61.0,68.0,61.0,77.0,71.0,53.0,76.0,81.0,76.0,62.0,75.0,70.0,48.0,57.0,35.0,74.0,75.0,73.0,15.0,14.0,7.0,9.0,10.0,2012
71.33,58.0,51.0,62.0,68.0,21.0,60.0,67.0,22.0,64.0,60.0,53.67,57.33,61.0,77.0,71.0,53.0,76.0,81.0,76.0,62.0,75.0,70.0,48.0,57.0,35.0,74.33,74.67,72.0,15.0,14.0,7.0,9.0,10.0,2013
72.0,58.0,51.0,64.0,67.33,21.0,52.0,67.0,22.0,64.0,60.0,50.0,56.67,61.0,75.67,71.0,53.0,76.67,63.0,76.0,62.0,75.67,70.0,48.0,53.0,35.0,74.0,74.0,72.0,15.0,14.0,7.0,9.0,10.0,2014
73.0,59.0,52.0,66.0,65.0,22.0,49.0,66.0,23.0,63.0,61.0,47.0,50.0,59.0,75.0,71.0,54.0,80.0,51.0,75.0,61.0,76.0,73.0,49.0,52.0,36.0,77.0,77.0,75.0,16.0,15.0,8.0,10.0,11.0,2015
73.0,59.0,52.0,66.0,65.0,22.0,49.0,66.0,23.0,63.0,61.0,47.0,50.0,58.0,75.0,71.0,54.0,79.5,51.0,75.0,60.0,76.0,73.0,49.0,52.0,36.0,77.0,77.0,75.0,16.0,15.0,8.0,10.0,11.0,2016
