overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
69.0,67.0,61.0,62.0,72.0,65.0,73.0,72.0,42.5,70.0,72.0,73.0,73.0,69.0,70.0,82.0,76.0,76.0,61.0,53.0,60.0,67.0,77.0,65.0,78.0,46.0,45.0,64.0,68.0,16.0,18.0,70.0,18.0,17.5,2007
72.0,67.0,67.0,62.0,75.0,65.0,73.0,72.0,39.0,73.0,74.0,74.0,74.0,69.0,72.0,82.0,79.0,76.0,66.0,72.0,75.0,67.0,77.0,68.0,78.0,61.0,49.0,64.0,68.0,16.0,22.0,73.0,22.0,22.0,2008
73.5,67.0,67.0,62.0,75.0,65.0,73.0,72.0,71.5,73.0,74.0,75.5,76.0,69.0,72.0,82.0,79.0,76.0,67.5,74.0,76.5,69.5,77.0,72.0,78.0,61.0,54.0,67.0,68.0,16.0,22.0,73.0,22.0,22.0,2009
75.5,72.5,68.0,72.5,75.5,65.0,75.0,72.0,80.0,75.0,75.0,76.0,78.0,69.0,72.0,82.0,86.5,76.0,74.0,81.0,84.0,75.0,75.0,75.5,78.0,71.5,61.5,70.0,68.0,14.0,17.5,43.5,18.5,17.5,2010
78.0,76.5,72.5,78.0,82.0,71.5,78.0,79.0,81.0,79.5,79.0,73.5,75.5,73.5,74.5,71.0,88.0,71.0,76.5,85.5,85.5,80.0,74.0,76.0,80.0,67.0,70.0,72.5,70.5,12.0,13.0,13.0,15.0,13.0,2011
80.5,77.0,72.0,73.0,83.0,74.0,79.0,76.0,82.0,81.5,82.0,75.0,74.5,76.0,78.0,66.0,92.5,68.5,86.0,89.0,86.0,84.0,76.5,78.0,82.0,74.0,70.0,76.5,73.5,12.0,13.0,13.0,15.0,13.0,2012
80.85,76.08,74.31,72.15,83.38,77.38,83.38,74.15,82.0,78.69,83.0,77.15,79.0,75.0,81.15,70.38,92.0,74.08,85.38,88.08,86.46,83.08,75.31,77.54,80.69,74.0,61.46,78.31,79.54,12.0,13.0,13.0,15.0,13.0,2013
79.22,74.22,70.22,67.22,81.22,74.22,83.0,72.22,81.22,75.22,82.22,79.44,78.11,77.11,77.11,73.0,91.22,77.0,83.0,87.78,87.0,84.22,68.56,76.22,79.22,73.22,58.0,76.22,78.22,11.22,12.22,12.22,14.22,12.22,2014
78.7,74.7,70.2,67.2,81.2,74.2,83.5,72.2,81.1,75.7,81.5,79.3,77.1,79.0,76.6,73.8,91.2,77.0,85.5,88.7,88.2,84.9,71.5,74.8,78.4,73.2,61.9,76.1,76.7,11.2,12.2,12.2,14.2,12.2,2015
80.0,76.0,71.0,65.0,82.0,75.0,84.0,73.0,81.0,77.0,81.0,75.0,76.0,79.0,76.0,77.0,92.0,77.0,88.0,90.0,90.0,85.0,70.0,75.0,80.0,74.0,63.0,75.0,70.0,12.0,13.0,13.0,15.0,13.0,2016
