overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
74.0,58.0,72.0,65.0,65.5,80.0,69.5,61.0,60.0,53.0,64.5,87.5,92.5,79.0,78.5,84.0,70.0,70.0,86.0,67.5,65.0,63.0,59.0,65.0,68.0,65.5,33.5,26.5,44.0,9.0,17.5,53.0,17.0,17.5,2007
81.0,65.0,86.0,80.0,65.0,80.0,83.0,61.0,50.0,55.0,70.0,96.0,96.0,79.0,87.0,84.0,78.0,70.0,90.0,70.0,62.0,63.0,70.0,75.0,68.0,70.0,34.0,27.0,44.0,9.0,21.0,55.0,21.0,21.0,2008
82.0,73.0,84.0,79.0,72.0,80.0,81.5,61.0,50.0,52.0,78.0,95.0,94.5,79.0,85.5,84.0,79.0,70.0,86.0,76.0,71.5,63.0,74.0,77.0,68.0,70.0,34.0,27.0,44.0,9.0,21.0,52.0,21.0,21.0,2009
79.5,73.0,84.0,78.0,72.0,80.0,82.0,61.0,50.0,52.0,80.0,93.5,92.5,79.0,79.5,84.0,78.5,70.0,78.0,81.5,73.5,63.0,57.0,76.5,68.0,67.5,34.0,40.0,44.0,10.0,13.0,31.0,13.5,14.5,2010
77.5,71.0,80.5,77.5,71.5,74.0,76.5,68.5,50.0,55.0,78.5,91.5,93.5,78.0,67.0,74.5,77.5,71.0,75.0,80.5,71.5,64.5,28.5,70.5,65.5,61.0,39.0,36.5,31.5,11.0,5.0,10.0,6.0,8.0,2011
74.5,73.5,77.0,76.5,69.5,69.0,73.0,76.0,47.5,58.0,75.5,91.0,94.5,76.0,58.0,66.0,77.5,71.0,76.5,80.5,73.0,65.0,19.0,65.0,63.5,57.0,43.5,32.0,19.0,11.0,5.0,10.0,6.0,8.0,2012
73.0,74.5,75.5,77.88,67.5,67.0,73.75,75.5,45.0,55.5,73.0,88.0,92.0,74.5,57.75,65.0,75.12,57.5,78.38,82.0,72.62,73.25,22.0,66.0,63.38,57.5,50.0,31.0,22.0,11.0,5.0,10.0,6.0,8.0,2013
73.0,76.0,77.0,78.0,69.0,65.0,75.0,76.0,45.0,53.0,73.0,88.0,92.0,75.0,59.0,66.0,76.0,56.0,80.75,82.75,74.0,78.0,25.0,65.75,64.0,58.0,47.0,31.0,25.0,11.0,5.0,10.0,6.0,8.0,2014
73.5,71.5,75.5,76.5,69.75,65.75,75.75,76.75,45.75,53.75,73.75,88.0,90.75,75.0,59.75,66.0,76.75,59.0,79.25,83.0,73.25,78.75,21.25,66.5,64.75,64.0,47.75,31.75,21.25,11.75,5.75,10.75,6.75,8.75,2015
74.0,70.0,75.0,76.0,70.0,66.0,76.0,77.0,46.0,54.0,74.0,86.67,87.67,75.0,60.0,66.0,77.0,59.0,79.0,78.0,73.0,79.0,20.0,67.0,65.0,66.0,48.0,32.0,20.0,12.0,6.0,11.0,7.0,9.0,2016
