overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
70.0,28.0,26.0,70.0,56.0,66.0,52.0,48.0,45.0,53.0,47.0,69.0,76.0,56.0,72.0,68.0,40.0,75.0,85.0,72.0,59.0,70.0,65.0,68.0,63.0,63.0,69.0,72.0,83.0,13.0,17.5,53.0,16.0,14.0,2007
72.5,28.0,26.0,72.5,61.0,66.0,52.0,48.0,27.0,53.0,50.5,67.5,77.5,56.0,72.0,68.0,40.0,75.0,85.0,72.0,59.0,73.5,65.0,68.0,63.0,63.0,71.0,76.0,83.0,13.0,21.0,53.0,21.0,21.0,2008
77.0,28.0,26.0,80.0,66.0,66.0,52.0,48.0,27.0,53.0,57.5,70.0,75.0,56.0,76.0,68.0,50.0,75.0,85.0,74.0,59.0,78.0,65.0,70.0,63.0,72.0,79.5,81.5,83.0,13.0,21.0,53.0,21.0,21.0,2009
78.5,28.0,65.5,84.0,66.0,66.0,52.0,48.0,27.0,53.0,61.0,68.0,74.0,56.0,77.0,68.0,60.0,75.0,79.0,77.0,59.0,78.0,73.5,56.0,63.0,55.0,80.0,82.5,83.0,9.0,16.5,31.0,13.0,16.5,2010
78.5,28.0,57.0,84.0,66.0,47.0,56.5,48.0,27.0,59.0,63.0,68.0,72.0,61.0,77.5,66.0,60.0,81.0,72.0,79.5,59.0,78.0,81.0,45.0,59.5,37.0,77.0,83.0,81.5,5.0,12.0,9.0,5.0,12.0,2011
79.0,28.0,60.0,84.5,66.0,47.0,61.0,48.0,27.0,65.0,66.0,68.0,69.0,70.0,78.0,60.0,61.5,81.0,71.0,79.0,62.5,78.0,80.5,45.0,56.0,37.0,77.0,84.5,82.5,5.0,12.0,9.0,5.0,12.0,2012
79.6,28.0,60.0,85.6,63.0,47.0,59.0,48.0,27.0,61.0,64.0,70.6,74.6,70.0,77.8,60.0,63.0,81.0,68.0,79.0,66.0,78.0,80.2,45.0,56.0,53.0,77.0,85.0,83.0,5.0,12.0,9.0,5.0,12.0,2013
80.2,28.0,59.2,86.0,63.4,47.0,58.2,48.0,27.0,61.0,64.0,69.0,76.4,69.4,80.4,58.2,63.0,81.0,68.0,79.0,66.0,78.0,81.6,45.0,56.0,53.0,78.0,85.0,83.6,5.0,12.0,9.0,5.0,12.0,2014
82.33,28.0,56.0,86.0,65.0,47.0,58.0,48.0,27.0,61.0,64.0,69.0,77.33,67.0,84.0,51.0,63.0,81.67,68.0,79.0,66.0,78.0,84.67,45.0,56.0,53.0,83.33,86.33,87.33,5.0,12.0,9.0,5.0,12.0,2015
82.0,28.0,56.0,86.0,65.0,47.0,58.0,48.0,27.0,61.0,64.0,69.0,72.67,67.0,84.0,51.0,63.0,82.0,68.0,79.0,66.0,78.0,85.67,45.0,56.0,53.0,83.67,85.67,86.67,5.0,12.0,9.0,5.0,12.0,2016
