overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
49.0,34.0,22.0,56.0,50.0,51.0,43.0,44.0,48.0,56.0,50.0,44.0,64.0,67.0,50.0,68.0,51.0,63.0,45.0,55.0,23.0,32.0,35.0,45.0,64.0,24.0,25.0,35.0,52.0,7.0,21.0,56.0,21.0,21.0,2007
61.0,49.0,27.0,56.0,72.0,51.0,53.0,44.0,48.0,71.0,61.0,70.0,64.0,67.0,57.0,68.0,51.0,63.0,70.0,61.0,28.0,52.0,54.0,55.0,64.0,44.0,35.0,45.0,52.0,7.0,21.0,71.0,21.0,21.0,2008
62.0,52.0,42.5,56.0,72.0,51.0,57.0,44.0,53.5,71.0,61.0,70.0,64.0,67.0,57.0,68.0,56.0,63.0,70.0,63.0,45.0,58.0,54.0,55.0,64.0,52.0,37.0,51.0,52.0,7.0,21.0,71.0,21.0,21.0,2009
60.5,51.0,43.0,55.0,71.0,51.0,56.0,44.0,54.0,70.0,60.0,69.0,63.0,67.0,56.0,68.0,56.0,63.0,70.5,64.5,44.0,57.0,36.5,49.0,64.0,44.0,36.0,50.0,52.0,10.0,17.0,37.0,17.5,15.5,2010
65.0,54.0,44.0,56.0,77.0,51.0,59.0,44.0,55.0,73.0,66.0,70.0,65.0,68.0,66.0,61.0,57.0,68.0,74.0,68.0,45.0,58.0,44.0,56.0,70.0,38.0,37.0,56.0,52.0,13.0,13.0,5.0,14.0,10.0,2011
65.0,54.0,45.0,56.0,77.0,51.0,59.0,44.0,55.0,73.0,65.0,70.0,65.0,72.0,66.0,61.0,57.0,72.0,74.0,68.0,46.0,58.0,44.0,56.0,70.0,38.0,37.0,56.0,52.0,13.0,13.0,5.0,14.0,10.0,2012
64.75,54.0,45.0,56.0,76.12,51.0,57.5,44.0,55.0,73.75,65.0,69.25,65.0,68.25,66.0,61.0,57.0,72.0,74.0,68.5,46.0,58.0,46.5,56.0,71.25,38.0,37.0,56.75,53.5,13.0,13.0,5.0,14.0,10.0,2013
63.4,54.0,41.0,56.0,69.0,51.0,53.0,44.0,55.0,73.0,65.0,69.0,65.0,67.0,66.0,61.0,57.0,72.0,74.0,72.0,46.0,58.0,54.0,56.0,76.0,38.0,37.0,59.0,58.0,13.0,13.0,5.0,14.0,10.0,2014
63.0,54.5,35.5,56.5,69.5,51.5,53.5,44.5,55.5,66.5,65.5,69.0,59.5,67.0,66.5,61.0,57.5,72.0,74.0,72.0,46.5,58.5,54.5,56.5,65.5,38.5,37.5,59.5,58.5,13.5,13.5,5.5,14.5,10.5,2015
64.0,55.0,36.0,57.0,70.0,52.0,54.0,45.0,56.0,67.0,66.0,69.0,54.0,67.0,67.0,61.0,58.0,72.0,74.0,72.0,47.0,59.0,55.0,57.0,66.0,39.0,38.0,60.0,59.0,14.0,14.0,6.0,15.0,11.0,2016
