overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
49.0,49.0,48.0,41.0,52.0,50.0,55.0,49.0,42.0,46.0,51.0,42.0,48.0,64.0,51.0,56.0,45.0,53.0,46.0,43.0,39.0,47.0,36.0,41.0,53.0,35.0,38.0,40.0,65.0,2.0,23.0,46.0,23.0,23.0,2007
60.0,69.0,48.0,60.0,60.0,50.0,61.0,49.0,42.0,59.0,63.0,63.0,62.0,64.0,62.0,56.0,45.0,53.0,46.0,65.0,39.0,50.0,40.0,46.0,53.0,41.0,65.0,62.0,65.0,2.0,23.0,59.0,23.0,23.0,2008
63.0,69.0,39.0,63.0,60.0,50.0,61.0,49.0,42.0,59.0,63.0,66.0,68.0,64.0,63.0,56.0,45.0,53.0,62.0,65.0,39.0,52.0,54.0,52.0,53.0,48.0,66.0,63.0,65.0,4.0,23.0,59.0,23.0,23.0,2009
63.5,69.0,39.0,63.0,65.0,50.0,61.0,49.0,42.0,60.0,63.0,66.0,68.0,64.0,63.0,56.0,45.0,53.0,65.0,53.0,39.0,52.0,58.5,44.5,53.0,45.0,67.0,66.0,65.0,8.0,19.0,37.0,14.5,18.0,2010
63.5,69.0,39.0,62.5,65.0,50.0,61.5,51.0,42.0,60.0,63.0,66.5,68.0,65.0,63.0,66.5,45.0,59.0,65.5,57.0,39.0,52.0,63.0,37.0,54.5,42.0,67.0,66.0,65.0,12.0,15.0,14.0,6.0,13.0,2011
65.0,68.0,39.0,62.0,65.0,50.0,62.0,53.0,42.0,62.0,65.0,67.0,68.0,71.0,69.0,73.0,52.5,67.0,72.0,58.0,39.0,60.0,68.0,46.0,59.0,42.0,67.0,66.0,65.0,12.0,15.0,14.0,6.0,13.0,2012
67.29,67.0,39.0,62.71,66.14,50.0,62.0,55.14,45.86,63.14,65.0,67.0,66.0,71.0,69.57,73.0,60.0,67.57,72.0,61.0,39.0,65.71,70.71,54.0,65.0,42.0,67.0,68.57,67.86,12.0,15.0,14.0,6.0,13.0,2013
68.0,67.0,39.0,63.0,67.0,50.0,62.0,68.0,69.0,64.0,65.0,67.0,66.0,71.0,70.0,73.0,60.0,71.0,72.0,61.0,39.0,68.0,72.0,54.0,65.0,42.0,67.0,70.0,69.0,12.0,15.0,14.0,6.0,13.0,2014
69.6,66.6,48.6,63.6,69.0,55.2,60.0,66.6,66.2,68.8,66.6,67.0,64.6,71.0,71.0,73.6,72.0,73.0,76.8,62.0,66.4,69.4,74.4,58.0,67.4,62.4,66.6,69.6,69.4,12.2,15.2,14.2,6.2,13.2,2015
71.0,71.0,49.0,65.0,71.0,59.0,60.0,71.0,65.0,72.0,68.0,67.0,61.0,71.0,71.0,74.0,74.0,77.0,78.0,67.0,69.0,74.0,75.0,60.0,68.5,58.0,67.0,72.0,69.0,13.0,16.0,15.0,7.0,14.0,2016
