overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
75.0,74.0,22.0,85.0,73.0,46.0,68.0,39.0,68.0,68.0,67.0,81.0,87.0,70.0,70.0,86.0,73.0,85.0,81.0,77.0,67.0,71.0,78.0,70.0,66.0,69.0,74.0,75.0,91.0,15.0,15.5,68.0,17.0,15.0,2007
85.0,71.0,40.0,84.0,79.0,46.0,59.0,39.0,56.0,72.0,63.0,83.0,82.0,70.0,80.0,86.0,82.0,85.0,87.0,86.0,72.0,90.0,85.0,86.0,66.0,88.0,85.0,89.0,91.0,15.0,23.0,72.0,23.0,23.0,2008
86.0,71.0,40.0,85.5,77.5,46.0,57.5,39.0,56.0,73.0,63.0,80.0,81.0,70.0,80.0,86.0,81.5,85.0,87.0,89.5,72.0,88.5,84.0,85.5,66.0,86.5,86.0,90.5,91.0,15.0,23.0,73.0,23.0,23.0,2009
85.5,69.5,40.5,87.0,70.5,46.0,44.5,39.0,51.0,70.5,60.0,78.5,80.5,70.0,80.0,86.0,81.5,85.0,81.5,86.5,72.0,86.0,86.5,60.0,66.0,69.5,88.5,90.0,91.0,11.0,18.0,42.5,17.5,16.0,2010
84.5,68.5,39.0,82.0,63.0,50.5,40.0,45.0,45.5,65.5,55.0,77.5,82.5,64.5,80.5,75.0,82.5,89.0,75.0,88.5,64.5,83.0,87.5,35.0,55.0,55.5,88.5,87.5,89.0,7.0,13.0,11.0,12.0,9.0,2011
83.5,69.0,39.0,78.0,60.0,56.5,49.0,58.0,45.0,64.5,52.0,77.5,82.5,62.0,80.0,62.5,84.0,91.0,80.5,87.5,59.5,78.5,86.0,35.0,48.0,57.0,87.0,87.0,86.0,7.0,13.0,11.0,12.0,9.0,2012
85.09,67.55,47.82,76.0,62.64,46.09,59.64,64.55,42.0,68.64,54.45,72.45,79.36,62.18,79.27,55.82,83.64,91.91,71.18,87.0,57.82,84.27,88.0,44.55,47.91,59.09,89.73,89.73,86.36,12.0,8.0,8.0,8.0,14.0,2013
84.33,62.17,37.0,77.25,58.92,33.42,57.75,60.67,35.67,63.33,53.58,72.0,79.0,59.5,79.25,60.42,81.58,90.0,74.67,88.25,50.58,86.42,87.58,36.17,49.25,53.92,89.25,88.92,87.0,5.58,4.58,3.83,5.33,6.08,2014
85.57,56.57,32.29,82.29,53.0,38.14,53.71,60.0,31.0,57.86,50.57,73.57,79.0,62.43,79.14,65.14,79.86,89.43,71.57,89.43,49.43,86.71,87.0,32.57,42.14,50.0,90.43,90.43,89.14,3.0,3.0,2.0,4.0,3.0,2015
86.0,52.0,33.5,84.0,49.0,45.0,51.0,58.0,31.0,49.0,49.0,72.0,79.0,64.0,80.0,69.0,79.0,89.0,69.0,90.0,49.0,88.0,87.0,32.0,46.0,50.0,90.0,90.0,90.0,3.0,3.0,2.0,4.0,3.0,2016
