overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
69.0,54.0,40.0,57.0,75.0,76.0,69.0,64.0,60.0,68.0,73.0,73.0,75.0,69.0,58.0,77.0,66.0,75.0,56.0,68.0,64.0,63.0,55.0,54.0,77.0,61.0,56.0,61.0,74.0,9.0,13.0,68.0,17.0,16.5,2007
80.0,76.0,62.0,73.0,85.0,76.0,74.0,64.0,70.0,80.0,80.0,76.0,74.0,69.0,78.0,77.0,88.0,75.0,85.0,82.0,83.0,85.0,83.0,80.0,77.0,78.0,78.0,80.0,74.0,9.0,20.0,80.0,20.0,20.0,2008
80.5,76.0,62.0,73.5,82.5,76.0,74.0,64.0,68.0,79.0,80.5,76.0,75.0,69.0,84.0,77.0,90.5,75.0,87.0,82.0,85.5,85.0,83.0,84.0,77.0,82.0,77.0,81.0,74.0,9.0,20.0,79.0,20.0,20.0,2009
77.0,72.0,62.0,74.0,78.5,76.0,71.5,64.0,68.0,76.5,77.0,75.0,74.5,69.0,78.0,77.0,90.0,75.0,83.0,79.0,85.0,80.5,78.5,75.0,77.0,75.0,71.5,77.0,74.0,10.0,17.0,41.5,15.0,12.5,2010
79.0,76.0,62.0,70.0,79.5,77.5,75.0,64.0,68.0,79.5,79.5,73.5,73.0,71.0,76.0,68.5,89.0,75.0,81.0,78.5,85.5,81.0,79.0,69.0,80.5,72.5,75.0,82.0,80.5,11.0,14.0,6.0,10.0,5.0,2011
80.5,78.0,62.0,68.0,80.5,79.0,75.0,64.0,68.0,82.5,80.5,71.0,68.5,72.0,76.5,60.0,88.0,75.0,82.0,79.0,86.0,80.0,78.5,71.0,82.0,75.0,74.0,81.0,80.0,11.0,14.0,6.0,10.0,5.0,2012
79.86,74.86,61.43,68.0,82.43,78.71,73.57,64.0,68.0,84.43,79.57,69.0,65.86,69.14,76.57,58.43,88.71,75.0,81.57,78.57,86.0,78.29,80.0,72.14,79.57,74.71,70.29,79.86,78.14,11.0,14.0,6.0,10.0,5.0,2013
79.0,69.5,58.5,67.5,81.5,77.5,72.5,63.5,67.5,83.5,78.5,69.0,65.0,68.0,75.5,59.0,88.5,75.0,80.0,76.0,86.0,79.5,79.5,69.5,78.5,73.5,69.5,79.5,77.5,10.5,13.5,5.5,9.5,4.5,2014
79.33,70.0,56.0,68.0,81.33,78.0,73.0,64.0,68.0,83.33,78.33,61.33,59.33,64.0,72.67,59.0,89.0,75.0,75.0,74.67,86.0,80.0,80.0,68.0,77.0,74.0,70.0,80.0,78.0,11.0,14.0,6.0,10.0,5.0,2015
77.67,70.0,56.0,68.0,80.33,78.0,73.0,64.0,68.0,81.67,78.0,53.0,54.0,62.0,71.0,59.0,89.0,75.0,70.33,74.0,86.0,80.0,76.0,61.0,76.0,74.0,70.0,80.0,78.0,11.0,14.0,6.0,10.0,5.0,2016
