overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
71.0,82.0,59.0,60.0,59.0,35.0,71.0,60.0,61.0,51.0,82.0,77.0,51.0,73.0,63.0,62.0,55.0,60.0,60.0,62.0,59.0,67.0,71.0,54.0,58.0,66.0,54.0,36.0,42.0,9.0,15.5,51.0,17.5,16.0,2007
65.0,62.0,34.0,50.0,63.0,35.0,63.0,60.0,47.0,56.0,64.0,78.0,78.0,73.0,72.0,62.0,45.0,60.0,66.0,62.0,49.0,62.0,59.0,63.0,58.0,64.0,24.0,36.0,42.0,9.0,23.0,56.0,23.0,23.0,2008
65.0,62.0,34.0,50.0,63.0,35.0,63.0,60.0,47.0,56.0,64.0,78.0,78.0,73.0,72.0,62.0,45.0,60.0,66.0,62.0,49.0,62.0,59.0,63.0,58.0,64.0,24.0,36.0,42.0,9.0,23.0,56.0,23.0,23.0,2009
64.5,62.0,34.0,50.0,61.5,35.0,63.0,60.0,47.0,55.5,64.0,78.0,78.0,73.0,71.0,62.0,45.0,60.0,66.0,62.0,49.0,62.0,61.0,63.5,58.0,51.0,34.0,46.0,42.0,7.5,15.5,31.5,15.5,17.5,2010
67.0,71.5,34.0,51.5,60.5,35.0,67.0,69.0,47.0,60.0,66.5,76.0,77.0,73.0,70.0,61.0,55.0,72.0,78.5,73.0,49.0,77.0,66.5,52.0,58.0,38.0,57.5,66.0,67.5,6.0,8.0,7.0,8.0,12.0,2011
74.5,84.0,43.0,53.5,62.0,35.0,82.5,80.0,47.0,72.5,81.0,76.0,78.5,78.5,77.5,54.0,65.0,75.0,85.0,70.5,51.5,81.0,76.0,50.0,58.0,56.5,64.5,71.0,78.0,6.0,8.0,7.0,8.0,12.0,2012
75.62,85.0,62.5,58.38,65.62,40.62,82.25,82.0,66.12,72.88,80.88,78.12,81.38,76.75,78.25,54.0,73.25,75.0,86.88,70.75,61.5,81.0,76.62,56.62,59.88,81.12,66.75,71.0,78.12,6.0,8.0,7.0,8.0,12.0,2013
76.6,83.1,61.5,66.0,72.0,44.0,82.0,82.0,70.0,76.0,79.8,76.7,78.1,76.0,78.6,54.0,76.0,75.0,85.5,74.0,64.0,81.0,78.0,67.3,63.0,81.2,71.0,74.2,77.8,6.0,8.0,7.0,8.0,12.0,2014
77.5,82.0,59.5,67.5,75.0,44.5,82.0,83.0,70.5,76.5,80.0,78.0,79.5,76.0,80.0,54.0,78.5,75.0,84.5,74.0,64.5,79.0,77.5,69.0,62.5,81.0,73.0,74.5,77.5,6.5,8.5,7.5,8.5,12.5,2015
78.0,83.0,60.0,68.0,76.0,45.0,82.0,84.0,71.0,77.0,81.0,78.0,79.0,76.0,81.0,54.0,81.0,75.0,83.0,74.0,65.0,77.0,76.0,69.0,62.0,82.0,72.0,74.0,78.0,7.0,9.0,8.0,9.0,13.0,2016
