overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
78.5,52.0,75.0,78.5,76.0,68.0,71.0,69.0,57.5,63.0,82.0,83.0,78.0,76.0,78.0,73.0,81.0,75.0,79.0,68.0,73.0,67.0,73.0,75.0,68.0,63.0,23.0,25.0,26.0,12.0,14.5,63.0,15.0,13.0,2007
76.0,52.0,76.0,77.0,76.0,68.0,72.0,69.0,52.0,63.0,81.0,83.0,78.0,76.0,77.0,73.0,80.0,75.0,79.0,68.0,73.0,67.0,73.0,75.0,68.0,63.0,23.0,25.0,26.0,12.0,20.0,63.0,20.0,20.0,2008
75.0,52.0,75.0,77.0,76.0,68.0,72.0,69.0,52.0,63.0,79.0,80.0,78.0,76.0,75.0,73.0,79.0,75.0,78.0,67.0,73.0,60.0,72.0,74.0,68.0,66.0,26.0,28.0,26.0,12.0,20.0,63.0,20.0,20.0,2009
74.0,52.0,72.5,76.5,73.0,68.0,72.0,69.0,52.0,64.0,78.5,78.0,77.0,76.0,74.5,73.0,76.0,75.0,77.5,70.0,72.5,60.0,51.5,75.0,68.0,69.5,26.0,28.0,26.0,12.0,14.0,37.5,18.0,17.0,2010
77.5,62.0,76.0,76.0,73.0,72.5,78.0,71.0,52.0,63.5,82.0,74.0,75.0,75.5,76.0,69.0,79.5,79.0,78.0,69.5,76.5,65.0,31.0,78.0,69.5,77.5,25.5,28.0,26.5,12.0,8.0,11.0,16.0,14.0,2011
75.5,62.0,67.5,75.5,60.0,85.0,73.0,68.5,52.0,50.5,81.5,70.5,75.5,75.0,76.0,65.0,81.0,80.5,79.0,65.0,63.5,70.5,31.0,80.5,66.0,74.5,25.0,28.0,27.0,12.0,8.0,11.0,16.0,14.0,2012
76.86,62.0,68.86,76.29,59.0,85.0,75.29,66.29,52.0,48.0,81.0,72.14,76.14,75.0,76.14,65.0,83.0,84.57,79.14,71.29,62.29,70.0,31.0,81.0,66.0,70.0,25.0,28.0,27.0,12.0,8.0,11.0,16.0,14.0,2013
76.17,61.33,70.0,83.67,60.33,82.67,74.0,62.0,52.67,48.67,78.67,71.67,75.0,75.33,76.17,65.33,81.67,87.33,79.33,72.0,62.67,70.67,31.67,81.33,66.67,71.0,25.67,28.67,27.67,12.0,8.0,11.0,16.0,14.0,2014
74.0,60.0,71.5,77.0,63.0,76.5,70.5,62.0,54.0,50.0,74.5,70.0,72.0,76.0,75.0,66.0,77.5,86.0,78.0,72.0,62.0,72.0,33.0,83.0,68.0,73.0,27.0,30.0,29.0,12.0,8.0,11.0,16.0,14.0,2015
74.0,60.0,72.0,77.0,63.0,77.0,71.0,62.0,54.0,50.0,75.0,70.0,72.0,76.0,75.0,66.0,77.0,86.0,78.0,72.0,62.0,72.0,33.0,83.0,68.0,73.0,27.0,30.0,29.0,12.0,8.0,11.0,16.0,14.0,2016
