overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
54.0,32.0,54.0,42.0,51.0,68.0,70.0,45.0,60.0,26.0,64.0,72.0,67.0,65.0,58.0,35.0,41.0,65.0,26.0,27.0,48.0,26.0,15.0,23.0,53.0,21.0,21.0,21.0,11.0,9.0,21.0,26.0,21.0,21.0,2007
54.0,32.0,54.0,42.0,51.0,68.0,70.0,45.0,60.0,26.0,64.0,72.0,67.0,65.0,58.0,35.0,41.0,65.0,26.0,27.0,48.0,26.0,15.0,23.0,53.0,21.0,21.0,21.0,11.0,9.0,21.0,26.0,21.0,21.0,2008
62.5,47.0,69.5,53.0,54.0,68.0,69.5,45.0,60.0,30.0,65.5,74.0,69.0,65.0,57.0,35.0,55.0,65.0,40.0,38.0,59.5,26.0,49.0,51.0,53.0,40.0,21.0,21.0,11.0,9.0,21.0,30.0,21.0,21.0,2009
63.0,65.0,66.0,53.0,66.0,68.0,70.0,45.0,60.0,30.0,64.0,74.0,69.0,65.0,56.0,35.0,65.0,65.0,52.0,38.0,57.0,26.0,37.0,56.0,53.0,49.0,18.0,17.5,11.0,9.0,14.0,21.0,17.5,15.5,2010
68.0,65.0,70.0,53.0,69.0,68.0,75.0,45.0,60.0,39.0,66.0,79.0,78.5,77.0,56.0,57.5,65.0,59.5,52.0,43.5,64.5,42.0,34.5,63.5,60.5,58.0,15.0,14.0,11.0,9.0,7.0,12.0,14.0,10.0,2011
71.0,63.5,72.0,59.5,73.0,68.0,79.5,51.5,60.0,60.0,72.0,83.5,86.0,85.5,64.5,80.0,66.0,64.5,57.5,53.0,70.0,55.5,44.0,69.5,70.5,58.0,25.0,22.0,14.5,9.0,7.0,12.0,14.0,10.0,2012
74.8,64.6,73.6,72.0,75.0,68.0,80.0,63.0,60.0,73.4,77.2,83.0,84.0,84.6,75.0,76.0,65.6,82.0,68.4,67.0,67.4,60.0,45.0,73.6,71.6,65.0,50.0,39.0,21.0,9.0,7.0,12.0,14.0,10.0,2013
74.0,65.0,74.0,72.67,75.0,68.0,79.0,63.33,60.0,71.33,77.0,82.33,82.0,84.33,74.67,76.0,66.33,82.33,75.0,67.0,66.67,60.67,46.0,75.0,75.0,65.0,44.0,41.67,26.0,9.0,7.0,12.0,14.0,10.0,2014
76.33,74.33,73.83,76.5,80.0,68.83,81.5,68.83,73.33,78.33,79.5,76.33,76.17,83.0,76.33,76.0,72.83,88.83,76.67,68.0,65.17,58.83,59.83,75.83,80.17,65.83,54.67,56.33,56.0,9.83,7.83,12.83,14.83,10.83,2015
77.0,79.0,74.0,77.0,81.0,69.0,82.0,73.0,76.0,80.0,80.0,77.0,77.0,83.0,77.0,76.0,75.0,90.0,79.0,69.0,65.0,59.0,65.0,76.0,81.0,66.0,60.0,60.0,62.0,10.0,8.0,13.0,15.0,11.0,2016
