overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
66.0,22.0,22.0,22.0,30.0,25.0,22.0,25.0,25.0,65.0,32.0,21.0,40.0,26.0,81.0,30.0,48.0,82.0,41.0,68.0,27.0,50.0,54.0,30.0,41.0,46.0,22.0,22.0,28.0,66.0,63.0,65.0,63.0,66.0,2007
66.0,22.0,22.0,22.0,30.0,25.0,22.0,25.0,25.0,65.0,32.0,21.0,40.0,26.0,81.0,30.0,48.0,82.0,41.0,68.0,27.0,50.0,54.0,30.0,41.0,46.0,22.0,22.0,28.0,66.0,63.0,65.0,63.0,66.0,2008
69.5,22.0,22.0,22.0,30.0,25.0,22.0,25.0,25.0,70.5,32.0,21.0,40.0,26.0,81.0,30.0,48.0,82.0,41.0,68.0,27.0,50.0,54.0,30.0,41.0,46.0,22.0,22.0,28.0,68.0,69.0,70.5,69.0,68.5,2009
69.0,23.5,15.0,23.5,30.0,25.0,14.5,25.0,25.0,50.5,32.0,21.0,40.0,26.0,81.0,30.0,48.0,82.0,41.0,68.0,26.0,50.0,43.5,27.5,41.0,41.0,14.0,22.0,28.0,67.0,68.0,69.0,70.0,68.0,2010
69.0,25.0,25.0,25.0,30.0,25.0,25.0,25.0,25.0,32.0,32.0,32.5,40.0,40.0,80.5,38.0,43.0,77.0,41.0,68.0,25.0,50.0,22.0,25.0,36.0,36.0,25.0,23.5,25.0,68.0,68.0,69.0,68.0,69.5,2011
68.0,25.0,25.0,25.0,30.0,25.0,25.0,25.0,25.0,32.0,32.0,44.0,40.0,54.0,76.0,46.0,38.0,72.0,36.0,68.0,25.0,50.0,22.0,25.0,31.0,36.0,25.0,25.0,25.0,68.0,67.0,69.0,65.0,71.0,2012
68.0,25.0,25.0,25.0,30.0,25.0,25.0,25.0,25.0,32.0,32.0,44.0,40.0,52.67,71.5,53.33,38.0,74.5,31.0,66.0,25.0,44.67,22.0,25.0,27.0,36.0,25.0,25.0,25.0,68.5,67.0,69.0,65.5,71.0,2013
67.2,25.0,25.0,25.0,30.0,25.0,25.0,25.0,25.0,32.0,32.0,44.0,40.0,52.0,60.6,57.0,38.0,77.0,31.0,65.0,25.0,34.0,22.0,25.0,25.0,36.0,25.0,25.0,25.0,69.0,67.0,69.0,64.4,70.6,2014
70.6,20.2,20.2,19.4,30.4,21.4,19.8,19.4,20.2,32.4,27.6,44.0,40.0,52.0,69.6,57.0,31.2,77.0,31.0,65.0,21.4,34.4,22.4,20.6,34.2,28.4,19.4,21.8,21.8,71.8,67.4,70.2,68.2,74.2,2015
72.0,13.0,13.0,11.0,31.0,16.0,12.0,11.0,13.0,33.0,21.0,44.0,40.0,52.0,75.0,57.0,21.0,77.0,31.0,65.0,16.0,35.0,23.0,14.0,48.0,17.0,11.0,17.0,17.0,73.5,67.5,71.5,69.0,75.5,2016
