overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
52.0,54.0,51.0,43.0,58.0,67.0,62.0,54.0,44.0,49.0,63.0,57.0,66.0,80.0,45.0,69.0,44.0,68.0,49.0,41.0,41.0,26.0,38.0,38.0,70.0,36.0,21.0,21.0,49.0,2.0,21.0,49.0,21.0,21.0,2007
52.0,54.0,51.0,43.0,58.0,67.0,62.0,54.0,44.0,49.0,63.0,57.0,66.0,80.0,45.0,69.0,44.0,68.0,49.0,41.0,41.0,26.0,38.0,38.0,70.0,36.0,21.0,21.0,49.0,2.0,21.0,49.0,21.0,21.0,2008
60.0,60.5,52.5,37.5,63.0,67.0,66.5,54.0,47.0,53.0,67.5,69.5,73.5,80.0,58.0,69.0,52.0,68.0,59.5,50.5,49.0,42.5,49.5,50.0,70.0,43.5,21.0,21.0,49.0,2.0,21.0,53.0,21.0,21.0,2009
69.0,64.0,59.0,59.0,75.0,67.0,73.0,54.0,66.0,67.0,75.0,71.0,69.0,80.0,68.0,69.0,73.0,68.0,74.0,69.0,72.0,66.0,48.0,63.0,70.0,65.0,29.0,51.0,49.0,11.0,14.0,5.0,5.0,13.0,2010
76.0,66.0,67.0,59.5,80.0,71.5,77.5,66.5,69.5,76.0,81.0,74.5,73.0,79.5,76.5,75.0,77.0,65.5,75.0,71.5,74.0,66.5,60.0,74.5,78.0,65.0,32.5,58.0,53.0,11.0,14.0,5.0,5.0,13.0,2011
78.0,69.0,64.0,60.0,83.0,75.0,86.0,71.5,74.0,77.0,82.5,84.5,84.5,85.0,77.5,83.0,78.0,66.5,75.5,73.0,75.5,67.5,72.5,75.0,79.0,66.0,38.0,66.0,61.0,11.0,14.0,5.0,5.0,13.0,2012
82.2,73.1,62.5,56.2,88.0,75.6,86.1,81.6,74.5,82.6,84.2,84.0,81.4,86.0,82.4,83.1,77.9,69.4,78.5,74.0,75.6,68.0,78.3,76.9,86.0,67.1,52.8,75.2,66.4,11.0,14.0,5.0,5.0,13.0,2013
83.25,73.0,65.0,54.0,87.5,76.0,87.0,82.0,74.0,84.0,86.0,82.62,78.25,86.0,86.0,84.0,76.0,63.5,71.25,73.5,73.5,68.0,81.0,73.75,86.0,72.0,58.0,71.25,67.0,11.0,14.0,5.0,5.0,13.0,2014
82.73,73.36,65.09,53.27,87.27,74.91,86.27,81.64,73.0,81.73,85.64,79.55,75.27,84.91,86.0,83.64,75.64,63.27,72.09,74.0,73.0,68.36,79.45,74.45,85.55,74.27,56.36,66.0,67.27,11.0,14.0,5.0,5.0,13.0,2015
83.5,74.0,66.25,49.0,89.25,75.0,86.25,81.0,73.0,83.0,86.5,77.25,74.75,84.5,86.5,83.0,77.0,62.0,75.0,74.0,74.0,68.0,78.5,77.0,86.0,76.0,57.0,64.0,64.0,11.0,14.0,5.0,5.0,13.0,2016
