overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
64.0,52.0,31.0,68.0,67.0,52.0,57.0,63.0,58.0,63.0,66.0,60.0,61.0,59.0,67.0,72.0,42.0,56.0,64.0,78.0,51.0,74.0,59.0,61.0,65.0,70.0,44.0,68.0,65.0,3.0,21.0,63.0,21.0,21.0,2007
64.0,52.0,31.0,68.0,67.0,52.0,57.0,63.0,58.0,63.0,66.0,60.0,61.0,59.0,67.0,72.0,42.0,56.0,64.0,78.0,51.0,74.0,59.0,61.0,65.0,70.0,44.0,68.0,65.0,3.0,21.0,63.0,21.0,21.0,2008
64.0,52.0,31.0,68.0,67.0,52.0,57.0,63.0,58.0,63.0,66.0,60.0,61.0,59.0,67.0,72.0,42.0,56.0,64.0,78.0,51.0,74.0,59.0,61.0,65.0,70.0,44.0,68.0,65.0,3.0,21.0,63.0,21.0,21.0,2009
66.0,67.0,31.0,52.0,71.0,52.0,61.0,63.0,58.0,65.0,73.0,64.0,65.0,59.0,67.0,72.0,65.0,56.0,72.0,72.0,66.0,74.0,70.0,55.0,65.0,61.0,44.0,65.0,65.0,5.0,6.0,6.0,5.0,5.0,2010
66.5,67.0,31.0,52.0,71.0,52.0,61.0,63.0,58.0,65.0,73.0,59.0,59.5,55.5,67.0,65.0,65.0,63.0,72.0,75.5,66.0,74.0,70.0,55.0,65.0,61.0,44.0,65.0,65.0,5.0,6.0,6.0,5.0,5.0,2011
67.0,67.0,51.0,52.0,71.0,52.0,61.0,63.0,58.0,65.0,73.0,64.0,54.0,52.0,67.0,58.0,69.0,70.0,72.0,78.0,69.0,74.0,70.0,55.0,65.0,61.0,44.0,65.0,65.0,5.0,6.0,6.0,5.0,5.0,2012
71.22,65.67,47.33,60.0,75.22,54.33,60.11,60.0,58.0,72.11,73.22,60.11,54.33,51.33,65.78,58.0,81.78,71.44,74.56,79.0,75.89,73.44,71.78,61.89,63.67,56.0,63.44,73.67,62.78,5.0,6.0,6.0,5.0,5.0,2013
71.75,62.75,39.75,59.75,76.0,55.25,62.75,59.75,57.75,74.5,72.75,58.25,61.5,57.25,67.75,58.0,83.25,69.75,77.0,81.25,77.75,84.0,75.5,60.5,64.25,50.75,66.75,76.25,73.75,4.75,5.75,5.75,4.75,4.75,2014
72.14,61.57,39.57,66.43,76.14,55.57,64.57,59.57,57.57,76.14,74.57,57.57,64.0,60.0,71.71,58.0,83.57,71.14,78.0,82.0,78.57,84.57,76.86,60.57,66.29,50.57,69.86,75.57,71.29,4.57,5.57,5.57,4.57,4.57,2015
73.0,62.0,40.0,72.0,77.0,56.0,65.0,60.0,58.0,77.0,75.0,55.0,64.0,60.0,73.0,58.0,84.0,72.0,78.0,82.0,79.0,79.0,79.0,61.0,67.0,51.0,72.0,76.0,68.0,5.0,6.0,6.0,5.0,5.0,2016
