overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
87.5,91.0,60.5,48.5,81.0,70.0,91.0,88.0,76.0,75.0,87.0,89.0,93.0,81.0,76.0,75.0,72.0,58.0,72.5,61.5,69.0,52.0,78.0,76.0,78.0,81.0,35.0,36.0,22.0,13.0,16.0,75.0,15.5,16.5,2007
81.0,90.0,69.0,69.0,78.0,70.0,91.0,88.0,75.0,37.0,87.0,87.0,87.0,81.0,72.0,75.0,73.0,58.0,79.0,65.0,75.0,52.0,70.0,72.0,78.0,81.0,60.0,62.0,22.0,9.0,25.0,37.0,25.0,25.0,2008
81.5,90.0,67.5,59.0,78.0,70.0,91.0,88.0,75.0,55.0,87.0,86.5,86.5,81.0,71.5,75.0,72.0,58.0,74.0,64.0,73.5,52.0,70.0,77.0,78.0,81.0,25.0,27.5,22.0,9.0,25.0,55.0,25.0,25.0,2009
80.0,89.0,66.0,54.0,76.5,70.0,89.0,88.0,75.0,55.0,86.0,82.5,84.5,81.0,69.0,75.0,78.5,58.0,66.0,63.0,72.0,52.0,53.0,78.0,78.0,77.5,22.5,23.0,22.0,9.0,19.5,30.5,17.5,18.0,2010
81.0,89.0,70.0,49.0,76.0,70.0,89.0,88.0,75.0,73.0,86.0,79.0,81.0,81.0,70.5,72.5,79.0,53.0,60.0,62.0,73.0,57.0,36.0,79.0,78.0,74.0,20.0,23.0,22.0,9.0,14.0,6.0,10.0,11.0,2011
80.0,89.0,70.0,49.0,76.0,70.0,89.0,88.0,75.0,75.5,86.5,75.5,77.5,80.0,70.0,70.0,79.0,48.0,54.0,60.0,73.0,52.0,36.0,77.0,78.0,74.0,20.0,23.0,22.0,9.0,14.0,6.0,10.0,11.0,2012
81.57,88.43,74.0,49.0,80.71,70.0,88.86,88.0,75.0,81.29,87.0,76.0,75.86,78.43,75.57,70.86,72.86,48.0,56.29,58.71,75.86,52.0,34.29,81.43,78.29,74.0,20.0,24.71,24.29,9.0,14.0,6.0,10.0,11.0,2013
79.5,84.6,69.6,49.3,80.1,69.8,82.9,87.8,74.8,78.1,85.0,76.0,75.4,76.4,70.5,73.4,73.3,54.7,57.5,59.2,76.0,52.8,32.5,77.9,78.9,73.8,21.0,25.8,25.8,8.8,13.8,5.8,9.8,10.8,2014
78.88,86.38,68.38,56.62,79.88,68.88,83.38,88.38,76.25,78.38,83.38,75.75,76.62,76.38,70.12,76.75,73.5,59.5,67.25,60.0,76.5,52.62,33.25,76.38,80.25,74.38,27.12,36.88,35.12,8.5,13.5,5.5,9.5,10.5,2015
79.0,87.0,69.0,56.0,80.0,68.0,85.0,89.0,77.0,79.0,83.0,76.0,79.0,77.0,71.0,77.0,74.0,59.0,67.0,60.0,77.0,53.0,35.0,77.0,81.0,75.0,29.0,41.0,39.0,9.0,14.0,6.0,10.0,11.0,2016
