overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
53.0,55.0,42.0,23.0,57.0,33.0,59.0,56.0,32.0,36.0,60.0,67.0,64.0,65.0,50.0,74.0,47.0,62.0,41.0,31.0,30.0,24.0,21.0,29.0,72.0,34.0,21.0,32.0,56.0,7.0,21.0,36.0,21.0,21.0,2007
53.0,55.0,42.0,23.0,57.0,33.0,59.0,56.0,32.0,36.0,60.0,67.0,64.0,65.0,50.0,74.0,47.0,62.0,41.0,31.0,30.0,24.0,21.0,29.0,72.0,34.0,21.0,32.0,56.0,7.0,21.0,36.0,21.0,21.0,2008
65.0,58.0,56.0,23.0,75.0,33.0,59.0,56.0,32.0,74.0,66.0,67.0,64.0,65.0,70.0,74.0,62.0,62.0,64.0,47.0,58.0,60.0,71.0,67.0,72.0,69.0,33.0,59.0,56.0,7.0,21.0,74.0,21.0,21.0,2009
66.0,58.0,56.0,30.0,75.0,33.0,63.0,56.0,32.0,74.0,68.0,69.0,66.0,65.0,70.0,74.0,62.0,62.0,67.0,65.0,58.0,60.0,55.0,57.0,72.0,32.0,33.0,59.0,56.0,9.0,12.0,11.0,5.0,7.0,2010
67.0,58.0,56.0,30.0,75.0,33.0,64.5,56.0,32.0,74.0,73.0,69.0,67.0,76.0,70.0,82.5,62.0,76.0,67.0,59.0,58.0,60.0,56.0,57.0,72.0,32.0,34.0,59.5,56.5,9.0,12.0,11.0,5.0,7.0,2011
75.5,67.0,60.5,38.5,84.5,37.0,72.0,57.0,49.0,78.0,79.5,75.5,70.5,81.5,79.0,91.0,62.0,84.0,80.0,57.5,59.5,65.0,67.5,66.0,77.5,38.0,52.5,70.5,64.0,9.0,12.0,11.0,5.0,7.0,2012
77.0,67.0,61.0,43.0,86.0,37.0,76.0,57.0,49.0,76.0,83.0,74.5,69.0,83.0,81.0,91.0,62.0,78.0,82.17,48.0,60.33,62.0,74.0,66.0,77.0,51.0,59.0,73.0,65.0,9.0,12.0,11.0,5.0,7.0,2013
77.0,67.0,57.0,43.0,86.0,37.0,76.0,57.0,49.0,76.0,79.0,74.0,67.5,83.0,81.0,91.0,62.0,78.0,80.0,48.0,59.0,62.0,75.5,66.0,77.0,51.0,59.0,73.0,65.0,9.0,12.0,11.0,5.0,7.0,2014
76.5,67.5,57.5,43.5,83.5,37.5,76.5,57.5,49.5,75.5,78.5,73.0,64.5,81.0,81.5,91.0,62.5,78.0,79.0,50.5,59.5,62.5,75.0,66.5,76.5,51.5,59.5,73.5,65.5,9.5,12.5,11.5,5.5,7.5,2015
76.0,68.0,58.0,44.0,84.0,38.0,77.0,58.0,50.0,75.0,77.0,68.67,63.0,79.0,82.0,91.0,63.0,78.0,79.0,55.0,60.0,63.0,74.0,67.0,72.0,52.0,60.0,74.0,66.0,10.0,13.0,12.0,6.0,8.0,2016
