overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
68.0,49.0,47.0,72.0,62.0,33.0,47.0,41.0,46.5,49.0,57.0,62.0,62.0,52.0,54.0,75.0,72.0,72.0,50.0,64.0,51.0,59.0,48.0,48.0,51.0,43.0,72.0,72.0,65.0,6.0,17.0,49.0,17.0,13.5,2007
66.0,27.0,31.0,72.0,62.0,33.0,41.0,41.0,50.0,51.0,57.0,59.0,62.0,52.0,54.0,75.0,54.0,72.0,50.0,64.0,45.0,59.0,48.0,48.0,51.0,43.0,72.0,72.0,65.0,6.0,20.0,51.0,20.0,20.0,2008
68.0,27.0,36.0,60.0,62.0,33.0,40.0,41.0,50.0,54.0,57.0,59.0,62.0,52.0,54.0,75.0,54.0,72.0,65.0,73.0,45.0,72.0,48.0,64.0,51.0,66.0,72.0,72.0,65.0,6.0,20.0,54.0,20.0,20.0,2009
67.5,27.0,36.0,60.0,62.0,33.0,40.0,41.0,50.0,54.0,57.0,59.0,62.0,52.0,54.0,75.0,54.0,72.0,65.0,73.0,45.0,72.0,41.5,39.5,51.0,56.5,72.0,72.0,65.0,6.5,17.5,34.0,12.5,17.0,2010
69.0,27.0,36.0,79.0,62.0,33.0,42.0,41.0,50.0,75.0,58.0,49.0,56.0,34.0,56.0,34.0,54.0,72.0,57.0,82.0,45.0,74.0,41.0,15.0,55.0,47.0,73.0,73.0,66.0,7.0,15.0,14.0,5.0,14.0,2011
69.0,27.0,36.0,79.0,62.0,33.0,42.0,41.0,50.0,75.0,58.0,49.0,55.5,34.0,56.0,34.0,54.0,67.5,72.0,84.0,45.0,74.0,41.0,15.0,55.0,47.0,73.0,73.0,66.0,7.0,15.0,14.0,5.0,14.0,2012
67.0,56.0,36.0,72.0,62.0,33.0,42.0,41.0,50.0,75.0,58.0,52.0,63.0,34.0,62.0,34.0,54.0,63.0,72.0,88.0,45.0,68.0,55.0,20.0,55.0,47.0,70.0,70.0,66.0,7.0,15.0,14.0,5.0,14.0,2013
68.0,56.0,36.0,72.0,62.0,33.0,42.0,41.0,50.0,67.0,55.0,44.5,57.0,34.0,62.0,34.0,54.0,64.5,73.5,90.0,45.0,68.0,55.0,25.0,52.0,47.0,68.0,68.0,66.0,7.0,15.0,14.0,5.0,14.0,2014
68.5,57.0,37.0,73.0,63.0,34.0,43.0,42.0,51.0,68.0,56.0,33.0,34.0,32.0,63.0,34.0,55.0,64.0,73.0,90.0,46.0,68.5,61.0,16.0,50.0,48.0,70.0,71.0,68.5,8.0,16.0,15.0,6.0,15.0,2015
70.0,57.0,37.0,73.0,63.0,34.0,43.0,42.0,51.0,68.0,56.0,33.0,34.0,32.0,63.0,34.0,55.0,63.0,69.5,90.0,46.0,73.0,68.0,16.0,50.0,48.0,69.0,71.0,68.0,8.0,16.0,15.0,6.0,15.0,2016
