overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
69.0,47.0,44.0,66.5,61.0,43.0,51.5,52.0,49.0,58.0,60.0,68.0,77.5,54.0,64.0,78.0,49.5,84.0,80.5,65.5,37.0,78.0,63.0,66.0,62.0,64.0,69.5,72.0,81.0,5.0,16.5,58.0,13.0,15.5,2007
73.5,47.0,34.0,77.0,60.0,43.0,45.0,52.0,38.0,52.0,60.0,69.0,76.5,54.0,64.0,78.0,41.0,84.0,78.0,75.0,32.0,75.0,63.0,66.0,62.0,68.0,72.0,77.0,81.0,5.0,21.0,52.0,21.0,21.0,2008
76.0,47.0,34.0,79.5,71.0,43.0,45.0,52.0,38.0,67.0,66.0,69.0,76.0,54.0,64.0,78.0,41.0,84.0,78.0,79.5,32.0,77.0,63.0,69.0,62.0,68.0,74.0,79.5,81.0,5.0,21.0,67.0,21.0,21.0,2009
78.0,47.0,34.0,82.0,70.0,43.0,45.0,52.0,38.0,67.0,64.5,75.0,77.5,54.0,64.0,78.0,41.0,84.0,74.0,82.5,32.0,78.0,69.0,49.5,62.0,48.0,77.5,80.5,81.0,10.0,17.5,39.5,13.5,17.0,2010
79.0,47.0,34.0,81.0,72.0,43.0,62.0,52.0,38.0,67.0,62.5,74.5,77.0,63.0,77.0,58.0,41.0,82.5,75.5,84.0,32.0,81.0,76.5,30.0,52.0,34.0,78.0,82.0,80.5,15.0,14.0,12.0,6.0,13.0,2011
75.5,47.0,32.5,80.0,70.0,38.5,60.5,52.0,38.0,67.0,62.5,74.0,76.5,56.0,72.0,34.0,41.0,66.0,68.0,83.0,29.5,77.5,71.5,30.0,42.0,40.0,74.0,79.5,77.0,15.0,14.0,12.0,6.0,13.0,2012
75.0,47.0,28.0,80.0,70.0,34.0,57.75,51.5,38.0,67.0,63.38,67.0,76.0,53.0,73.0,33.0,41.0,66.0,55.0,84.88,27.0,75.0,72.0,30.0,43.0,49.0,73.5,76.75,74.25,15.0,14.0,12.0,6.0,13.0,2013
74.0,47.0,28.0,77.8,70.0,34.0,59.0,50.0,38.0,67.4,63.4,66.4,76.0,53.0,73.4,33.0,41.0,66.0,55.0,86.0,27.0,74.4,72.0,30.0,45.4,49.0,73.0,75.0,71.8,15.0,14.0,12.0,6.0,13.0,2014
75.0,46.5,31.5,77.5,70.5,34.0,59.5,45.0,38.5,67.5,63.5,65.5,75.0,52.0,75.0,35.0,41.5,66.0,55.0,86.5,27.5,73.5,76.0,39.0,45.5,47.5,73.5,76.5,71.5,15.5,14.5,12.5,6.5,13.5,2015
76.0,46.0,35.0,78.0,71.0,34.0,60.0,42.0,39.0,68.0,64.0,65.0,74.0,51.0,76.0,37.0,42.0,66.0,55.0,87.0,28.0,74.0,78.0,44.0,46.0,48.0,75.0,78.0,73.0,16.0,15.0,13.0,7.0,14.0,2016
