overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
72.5,58.0,74.0,71.0,62.5,72.0,69.0,57.0,41.5,43.5,68.0,74.0,75.0,77.0,55.5,72.0,71.0,76.0,75.5,60.0,63.0,37.5,66.0,74.0,67.0,47.5,37.5,36.5,38.0,7.0,19.0,43.5,15.0,14.5,2007
69.0,60.0,70.0,75.0,67.0,72.0,67.0,57.0,58.0,46.0,68.0,72.0,75.0,77.0,70.0,72.0,74.0,76.0,73.0,60.0,63.0,40.0,66.0,74.0,67.0,70.0,45.0,45.0,38.0,3.0,20.0,46.0,20.0,20.0,2008
70.0,60.0,71.5,76.5,67.0,72.0,67.0,57.0,58.0,46.0,68.0,72.0,75.0,77.0,70.0,72.0,74.0,76.0,73.0,64.0,63.0,60.0,66.0,74.5,67.0,71.5,45.0,45.0,38.0,3.0,20.0,46.0,20.0,20.0,2009
74.0,60.0,78.0,79.0,67.0,72.0,74.5,57.0,66.5,53.0,70.0,76.0,75.0,77.0,74.0,72.0,77.0,76.0,70.5,67.5,68.0,75.5,48.5,78.5,67.0,72.0,45.0,45.0,38.0,7.5,15.5,30.0,14.0,12.5,2010
77.5,62.0,82.0,69.5,71.5,72.0,81.0,83.0,75.0,53.0,82.0,77.0,74.0,76.5,82.0,68.5,76.0,69.5,68.0,64.0,77.0,68.0,31.0,79.0,67.0,70.0,15.0,25.0,28.0,12.0,11.0,7.0,8.0,5.0,2011
80.5,62.0,76.0,59.0,73.0,68.0,84.0,85.0,75.0,56.0,87.0,75.5,75.0,78.0,80.0,65.0,80.5,64.0,68.0,61.0,79.5,58.0,31.0,81.0,81.0,70.0,15.0,25.0,28.0,12.0,11.0,7.0,8.0,5.0,2012
80.83,62.0,80.33,59.67,76.67,68.0,82.33,85.0,75.0,56.0,87.67,74.67,76.67,77.0,82.33,65.0,78.67,64.0,68.0,61.0,83.67,58.0,31.0,81.67,81.0,70.0,21.67,25.0,28.0,12.0,11.0,7.0,8.0,5.0,2013
80.0,62.5,81.5,65.0,76.0,70.0,80.5,85.0,75.5,57.5,86.0,75.0,77.5,77.0,81.0,65.5,79.5,64.5,68.5,62.0,82.0,58.5,31.5,81.0,79.5,70.5,25.0,25.5,28.0,12.0,11.0,7.0,8.0,5.0,2014
81.08,68.08,85.08,76.62,75.54,78.54,82.0,85.0,76.0,59.0,87.0,75.0,78.0,78.38,83.08,66.85,81.38,65.0,72.46,62.85,82.31,59.46,32.0,85.23,80.0,74.54,20.85,26.92,28.0,12.0,11.0,7.0,8.0,5.0,2015
83.0,74.0,87.0,81.0,79.33,85.0,84.0,85.0,76.33,71.33,88.0,76.0,77.0,82.0,85.0,67.0,82.0,69.0,75.0,62.0,84.0,61.0,32.0,87.0,83.0,83.0,16.0,29.0,28.0,12.0,11.0,7.0,8.0,5.0,2016
