overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
52.0,27.0,22.0,23.0,34.0,23.0,39.0,29.0,32.0,53.0,33.0,61.0,47.0,67.0,52.0,52.0,61.0,77.0,39.0,51.0,34.0,68.0,49.0,44.0,56.0,53.0,41.0,23.0,21.0,59.0,48.0,53.0,57.0,42.0,2007
67.0,27.0,22.0,23.0,34.0,23.0,39.0,29.0,32.0,61.0,33.0,66.0,63.0,67.0,62.0,52.0,61.0,77.0,56.0,55.0,34.0,38.0,55.0,56.0,56.0,63.0,41.0,23.0,21.0,69.0,66.0,61.0,62.0,71.0,2008
69.0,27.0,22.0,23.0,34.0,23.0,31.0,29.0,32.0,66.0,33.0,63.0,62.5,67.0,62.0,52.0,61.0,77.0,59.0,61.5,34.0,38.0,55.0,56.0,56.0,63.0,31.0,23.0,21.0,71.0,66.0,66.0,67.0,71.0,2009
68.5,27.0,22.0,20.5,34.0,23.0,21.0,29.0,32.0,51.0,33.0,60.0,62.0,67.0,65.0,52.0,54.5,77.0,62.0,68.0,18.0,38.0,40.0,31.0,56.0,45.0,21.0,20.0,21.0,70.0,66.0,66.0,67.0,70.5,2010
66.0,12.0,13.0,18.0,34.0,8.5,19.0,14.0,13.0,36.0,33.0,59.5,57.0,67.0,68.0,56.0,43.0,77.0,62.0,68.0,15.0,38.0,25.0,10.0,31.0,31.5,9.0,17.0,14.5,68.0,63.0,66.0,63.0,68.0,2011
65.5,12.0,13.0,18.0,34.0,10.0,19.0,14.0,13.0,36.0,32.0,59.0,52.0,67.0,68.0,60.0,43.0,75.5,57.0,64.0,15.0,38.0,15.0,10.0,26.0,36.0,10.0,17.0,10.0,64.5,63.0,64.0,67.0,68.5,2012
63.14,13.86,14.71,19.0,34.0,12.14,19.86,15.57,14.71,36.0,32.0,59.0,52.0,62.0,66.29,60.0,43.0,74.0,42.0,60.0,16.43,35.14,20.0,12.14,20.14,36.0,12.14,18.14,12.14,62.14,60.29,61.14,63.29,67.0,2013
63.0,25.0,25.0,25.0,34.0,25.0,25.0,25.0,25.0,36.0,32.0,59.0,52.0,60.0,64.0,60.0,43.0,74.0,38.0,60.0,25.0,34.0,22.0,25.0,25.0,36.0,25.0,25.0,25.0,62.0,60.0,61.0,63.0,67.0,2014
63.67,17.0,17.67,21.0,34.67,15.67,21.67,18.33,17.67,36.67,32.67,59.0,52.0,60.0,63.67,60.0,43.67,76.0,38.0,60.0,19.0,34.67,22.67,15.67,33.0,36.67,15.67,20.33,15.67,62.67,60.67,61.67,63.67,67.67,2015
66.0,13.0,14.0,19.0,35.0,11.0,20.0,15.0,14.0,37.0,33.0,59.0,52.0,60.0,64.0,60.0,44.0,77.0,38.0,60.0,16.0,35.0,23.0,11.0,37.0,37.0,11.0,18.0,11.0,66.0,61.0,62.0,65.0,73.0,2016
