overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
51.0,44.0,53.0,52.0,52.0,67.0,48.0,71.0,52.0,52.0,44.0,62.0,63.0,68.0,60.0,73.0,46.0,72.0,45.0,47.0,43.0,50.0,29.0,29.0,74.0,37.0,22.0,22.0,54.0,5.0,22.0,52.0,22.0,22.0,2007
51.0,44.0,53.0,52.0,52.0,67.0,48.0,71.0,52.0,52.0,44.0,62.0,63.0,68.0,60.0,73.0,46.0,72.0,45.0,47.0,43.0,50.0,29.0,29.0,74.0,37.0,22.0,22.0,54.0,5.0,22.0,52.0,22.0,22.0,2008
67.5,68.5,65.0,66.0,68.0,67.0,72.5,71.0,67.0,54.5,71.5,69.0,71.5,68.0,68.0,73.0,71.5,72.0,70.5,67.0,59.5,67.0,60.0,69.5,74.0,66.0,25.0,30.0,54.0,5.0,22.0,54.5,22.0,22.0,2009
73.0,73.5,69.5,65.5,74.5,67.0,77.0,71.0,69.5,62.5,73.5,71.0,78.0,68.0,73.0,73.0,72.5,72.0,91.0,69.5,65.0,71.0,64.0,71.5,74.0,64.5,34.5,46.5,54.0,6.5,17.5,35.0,14.0,15.5,2010
76.0,75.0,73.0,63.5,75.0,62.5,77.0,71.5,67.0,68.5,72.5,75.0,80.5,68.5,76.5,69.0,73.5,62.0,94.0,70.5,71.0,79.0,63.0,77.0,73.5,54.0,37.0,50.5,48.0,8.0,13.0,11.0,6.0,9.0,2011
76.5,75.5,76.5,58.0,76.0,58.0,74.0,74.0,60.5,67.0,74.0,76.0,81.0,67.5,76.5,63.5,72.0,52.0,93.5,68.5,75.0,78.0,66.0,78.5,73.0,44.0,48.0,65.0,59.5,8.0,13.0,11.0,6.0,9.0,2012
74.91,75.36,75.0,55.82,75.55,57.55,72.0,74.0,56.0,67.73,73.45,76.18,83.45,66.82,77.36,62.45,72.64,49.45,93.0,68.0,75.09,83.0,72.09,76.82,73.36,38.09,59.73,70.91,66.91,8.0,13.0,11.0,6.0,9.0,2013
76.25,77.0,74.38,50.62,76.0,58.25,71.62,75.75,56.0,70.38,72.88,76.75,83.0,66.5,78.88,61.0,73.75,47.75,93.0,68.0,76.25,86.75,78.25,75.12,73.12,38.0,69.75,76.88,76.0,8.0,13.0,11.0,6.0,9.0,2014
75.29,79.43,74.0,47.57,76.0,57.71,69.0,76.29,56.43,71.29,72.0,71.29,80.43,63.57,77.57,55.86,66.57,39.0,92.14,68.0,73.71,87.43,79.43,76.43,74.86,32.86,69.43,76.57,77.57,8.43,13.43,11.43,6.43,9.43,2015
75.5,79.0,74.0,47.0,76.0,57.0,69.0,74.0,57.0,72.0,71.0,67.0,77.0,63.0,77.0,54.0,66.0,33.0,91.0,68.0,72.0,88.0,80.0,77.0,76.0,26.0,68.0,77.0,78.0,9.0,14.0,12.0,7.0,10.0,2016
