overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
80.0,75.0,84.0,85.0,81.0,82.0,69.0,60.0,69.0,76.0,79.0,76.0,75.0,47.0,81.0,71.0,81.0,82.0,86.0,83.0,85.0,88.0,84.0,84.0,79.0,82.0,80.0,85.0,77.0,8.0,16.5,76.0,17.0,13.5,2007
79.0,75.0,84.0,82.0,81.0,82.0,68.0,60.0,56.0,76.0,78.0,66.0,75.0,47.0,81.0,71.0,81.0,82.0,86.0,83.0,85.0,88.0,80.0,82.0,79.0,80.0,80.0,83.0,77.0,8.0,20.0,76.0,20.0,20.0,2008
77.0,74.5,83.0,81.0,77.5,82.0,67.0,60.0,55.5,72.5,78.0,65.5,74.5,47.0,79.5,71.0,85.5,82.0,83.5,81.5,84.5,87.0,78.5,80.0,79.0,78.0,76.5,78.5,77.0,8.0,20.0,72.5,20.0,20.0,2009
76.0,74.0,84.0,80.0,77.0,82.0,66.0,60.0,55.0,72.0,78.0,64.0,72.0,47.0,78.0,71.0,85.0,82.0,86.0,80.0,86.0,86.0,72.0,72.0,79.0,47.0,76.0,78.0,77.0,11.0,16.0,10.0,16.0,7.0,2010
78.0,77.0,80.0,80.0,80.5,79.0,72.5,62.0,65.0,77.5,76.5,64.0,70.5,47.0,78.5,64.0,81.0,82.0,86.0,79.0,82.5,82.5,67.0,79.0,81.0,72.0,63.5,66.0,65.0,11.0,16.0,10.0,16.0,7.0,2011
72.0,72.0,74.0,78.0,76.5,77.0,71.0,62.0,65.0,61.0,75.0,61.5,63.0,47.0,76.0,58.0,78.0,82.0,86.0,76.0,78.0,81.5,60.0,80.0,75.0,72.0,61.0,64.0,63.0,11.0,16.0,10.0,16.0,7.0,2012
70.0,69.0,75.78,78.0,73.11,81.0,70.0,62.0,65.0,61.0,74.33,47.0,63.0,47.0,82.22,59.0,81.0,82.0,86.0,77.0,78.0,83.0,60.0,85.44,77.0,72.0,61.0,64.0,63.0,11.0,16.0,10.0,16.0,7.0,2013
70.0,69.0,74.0,78.0,63.0,81.0,70.0,62.0,65.0,61.0,73.0,33.0,52.0,47.0,85.0,59.0,81.0,82.0,82.67,77.0,78.0,83.0,59.0,85.0,77.0,72.0,60.0,64.0,63.0,11.0,16.0,10.0,16.0,7.0,2014
70.0,69.0,74.0,78.0,63.0,81.0,70.0,62.0,61.5,61.0,73.0,33.0,52.0,47.0,85.0,59.0,81.0,68.5,81.0,77.0,78.0,83.0,57.0,85.0,77.0,72.0,58.0,64.0,63.0,11.0,16.0,10.0,16.0,7.0,2015
70.67,69.0,73.33,78.0,63.0,80.33,70.0,62.0,58.0,61.0,73.0,33.0,52.0,47.0,85.0,59.0,81.0,62.0,81.0,79.0,77.33,83.0,57.0,85.0,77.0,72.0,58.0,64.0,63.0,11.0,16.0,10.0,16.0,7.0,2016
